pair_id,source_id,genre,perturbation,magnitude,magnitude_unit,cocola,cocola_h,cocola_p
classical_01::control::ctrl,classical_01,classical,control,0.0,none,64.0899429321289,61.468055725097656,63.502525329589844
classical_01::pitch_shift::-4st,classical_01,classical,pitch_shift,-4.0,semitones,49.07929229736328,45.64561462402344,51.17256546020508
classical_01::pitch_shift::-2st,classical_01,classical,pitch_shift,-2.0,semitones,52.15676498413086,48.84548568725586,51.917823791503906
classical_01::pitch_shift::-1st,classical_01,classical,pitch_shift,-1.0,semitones,45.149314880371094,40.89357376098633,48.03175354003906
classical_01::pitch_shift::+1st,classical_01,classical,pitch_shift,1.0,semitones,43.738075256347656,40.89995193481445,46.544673919677734
classical_01::pitch_shift::+2st,classical_01,classical,pitch_shift,2.0,semitones,51.41374206542969,47.82566452026367,52.153419494628906
classical_01::pitch_shift::+4st,classical_01,classical,pitch_shift,4.0,semitones,46.34070587158203,43.67848587036133,47.861724853515625
classical_01::time_stretch::-20pct,classical_01,classical,time_stretch,-20.0,percent_tempo,62.316802978515625,58.55701446533203,61.544578552246094
classical_01::time_stretch::-10pct,classical_01,classical,time_stretch,-10.0,percent_tempo,62.95582580566406,58.37562942504883,61.43409729003906
classical_01::time_stretch::-5pct,classical_01,classical,time_stretch,-5.0,percent_tempo,63.441253662109375,59.37763977050781,62.91535186767578
classical_01::time_stretch::+5pct,classical_01,classical,time_stretch,5.0,percent_tempo,61.73676300048828,60.533843994140625,62.064083099365234
classical_01::time_stretch::+10pct,classical_01,classical,time_stretch,10.0,percent_tempo,61.961936950683594,59.32097625732422,62.634674072265625
classical_01::time_stretch::+20pct,classical_01,classical,time_stretch,20.0,percent_tempo,61.072200775146484,56.04045104980469,60.80886459350586
classical_01::lowpass::lp8000,classical_01,classical,lowpass,8000.0,hz_cutoff,64.0744857788086,61.477569580078125,63.50889587402344
classical_01::lowpass::lp4000,classical_01,classical,lowpass,4000.0,hz_cutoff,62.77994918823242,61.201438903808594,61.95684051513672
classical_01::lowpass::lp2000,classical_01,classical,lowpass,2000.0,hz_cutoff,62.10615539550781,60.46734619140625,61.452606201171875
classical_01::distortion::drv4,classical_01,classical,distortion,4.0,tanh_drive,64.05545043945312,61.452354431152344,63.439292907714844
classical_01::distortion::drv12,classical_01,classical,distortion,12.0,tanh_drive,63.56340789794922,61.67832565307617,62.80836486816406
classical_01::distortion::drv32,classical_01,classical,distortion,32.0,tanh_drive,62.23661804199219,60.896060943603516,62.191017150878906
classical_01::style_swap::swap_cross,classical_01,classical,style_swap,nan,cross_genre,43.53639221191406,41.69178771972656,47.50455093383789
classical_01::style_swap::swap_same,classical_01,classical,style_swap,nan,same_genre,54.158973693847656,52.173038482666016,54.690982818603516
classical_02::control::ctrl,classical_02,classical,control,0.0,none,52.94063949584961,52.40686798095703,51.06341552734375
classical_02::pitch_shift::-4st,classical_02,classical,pitch_shift,-4.0,semitones,45.894752502441406,45.0625114440918,47.041473388671875
classical_02::pitch_shift::-2st,classical_02,classical,pitch_shift,-2.0,semitones,48.600013732910156,50.005958557128906,49.319793701171875
classical_02::pitch_shift::-1st,classical_02,classical,pitch_shift,-1.0,semitones,45.7495002746582,44.76144027709961,47.06142044067383
classical_02::pitch_shift::+1st,classical_02,classical,pitch_shift,1.0,semitones,47.87554168701172,45.02381896972656,46.659610748291016
classical_02::pitch_shift::+2st,classical_02,classical,pitch_shift,2.0,semitones,49.96920394897461,50.42637252807617,47.86855697631836
classical_02::pitch_shift::+4st,classical_02,classical,pitch_shift,4.0,semitones,48.28460693359375,48.08612060546875,48.81055450439453
classical_02::time_stretch::-20pct,classical_02,classical,time_stretch,-20.0,percent_tempo,51.03237533569336,50.16230010986328,47.3369140625
classical_02::time_stretch::-10pct,classical_02,classical,time_stretch,-10.0,percent_tempo,50.59884262084961,51.6715087890625,48.00827407836914
classical_02::time_stretch::-5pct,classical_02,classical,time_stretch,-5.0,percent_tempo,51.571929931640625,51.466896057128906,49.6299934387207
classical_02::time_stretch::+5pct,classical_02,classical,time_stretch,5.0,percent_tempo,52.135658264160156,50.00956344604492,50.85866165161133
classical_02::time_stretch::+10pct,classical_02,classical,time_stretch,10.0,percent_tempo,50.670936584472656,49.81793975830078,47.38286590576172
classical_02::time_stretch::+20pct,classical_02,classical,time_stretch,20.0,percent_tempo,49.225502014160156,52.31950378417969,48.7325553894043
classical_02::lowpass::lp8000,classical_02,classical,lowpass,8000.0,hz_cutoff,52.964317321777344,52.43777084350586,51.08061981201172
classical_02::lowpass::lp4000,classical_02,classical,lowpass,4000.0,hz_cutoff,50.664093017578125,51.37005615234375,49.73197555541992
classical_02::lowpass::lp2000,classical_02,classical,lowpass,2000.0,hz_cutoff,51.798946380615234,51.51679992675781,50.04142761230469
classical_02::distortion::drv4,classical_02,classical,distortion,4.0,tanh_drive,52.973289489746094,52.407073974609375,51.07498550415039
classical_02::distortion::drv12,classical_02,classical,distortion,12.0,tanh_drive,52.78398513793945,52.49522018432617,50.5443000793457
classical_02::distortion::drv32,classical_02,classical,distortion,32.0,tanh_drive,52.529052734375,52.55412292480469,50.43860626220703
classical_02::style_swap::swap_cross,classical_02,classical,style_swap,nan,cross_genre,45.66063690185547,49.24583435058594,47.20792007446289
classical_02::style_swap::swap_same,classical_02,classical,style_swap,nan,same_genre,46.974063873291016,48.3681640625,48.12281036376953
classical_03::control::ctrl,classical_03,classical,control,0.0,none,49.2049560546875,54.8857421875,51.20072555541992
