pair_id,source_id,genre,perturbation,magnitude,score_H,score_T,score_R,score_S,C_geo,C_lin
classical_01::control::ctrl,classical_01,classical,control,0.0,1.0,1.0,1.0,0.829116,0.954231665077095,0.957279
classical_01::pitch_shift::-4st,classical_01,classical,pitch_shift,-4.0,0.862062,0.612549,0.992494,0.825897,0.8111165799369777,0.8232505
classical_01::pitch_shift::-2st,classical_01,classical,pitch_shift,-2.0,0.824331,0.735423,0.983546,0.820352,0.8362929574458089,0.840913
classical_01::pitch_shift::-1st,classical_01,classical,pitch_shift,-1.0,0.795448,0.849356,0.996963,0.778667,0.8510069187053051,0.8551085
classical_01::pitch_shift::+1st,classical_01,classical,pitch_shift,1.0,0.788337,0.819778,0.996755,0.827911,0.8545649206086264,0.85819525
classical_01::pitch_shift::+2st,classical_01,classical,pitch_shift,2.0,0.840758,0.725842,0.983723,0.814273,0.8361592350839918,0.841149
classical_01::pitch_shift::+4st,classical_01,classical,pitch_shift,4.0,0.861297,0.637273,0.98019,0.79653,0.8090916413251809,0.8188225
classical_01::time_stretch::-20pct,classical_01,classical,time_stretch,-20.0,0.996128,0.857819,0.914693,0.897815,0.9152574136628292,0.91661375
classical_01::time_stretch::-10pct,classical_01,classical,time_stretch,-10.0,0.997444,0.898502,0.904769,0.862071,0.914370233433532,0.9156965
classical_01::time_stretch::-5pct,classical_01,classical,time_stretch,-5.0,0.998224,0.932719,0.907293,0.877346,0.9278426309666354,0.9288955
classical_01::time_stretch::+5pct,classical_01,classical,time_stretch,5.0,0.997039,0.908418,0.932433,0.869116,0.9255999329679149,0.9267515
classical_01::time_stretch::+10pct,classical_01,classical,time_stretch,10.0,0.9955,0.882854,0.913765,0.862229,0.9122141919688991,0.913587
classical_01::time_stretch::+20pct,classical_01,classical,time_stretch,20.0,0.994233,0.851098,0.887089,0.882407,0.9021442192898468,0.90370675
classical_01::lowpass::lp8000,classical_01,classical,lowpass,8000.0,1.0,0.818931,0.998947,0.834595,0.9090052347019361,0.91311825
classical_01::lowpass::lp4000,classical_01,classical,lowpass,4000.0,0.999999,0.58382,0.984677,0.823127,0.8293919081530187,0.84790575
classical_01::lowpass::lp2000,classical_01,classical,lowpass,2000.0,0.999966,0.484488,0.982548,0.782339,0.7811856443269333,0.81233525
classical_01::distortion::drv4,classical_01,classical,distortion,4.0,0.999999,0.939766,0.999491,0.82414,0.937993424373072,0.940849
classical_01::distortion::drv12,classical_01,classical,distortion,12.0,0.999808,0.741767,0.993548,0.787758,0.8728536812753657,0.88072025
classical_01::distortion::drv32,classical_01,classical,distortion,32.0,0.99767,0.59795,0.984828,0.745197,0.8134311831855423,0.8314112499999999
classical_01::style_swap::swap_cross,classical_01,classical,style_swap,nan,0.756144,0.384217,0.934589,0.646745,0.6473418848528175,0.68042375
classical_01::style_swap::swap_same,classical_01,classical,style_swap,nan,0.845911,0.516401,0.90493,0.711641,0.728277551790769,0.7447207499999999
classical_02::control::ctrl,classical_02,classical,control,0.0,1.0,1.0,1.0,0.799097,0.9454746195046462,0.9497742499999999
classical_02::pitch_shift::-4st,classical_02,classical,pitch_shift,-4.0,0.871717,0.518691,0.991982,0.758212,0.7636505490445418,0.7851505
classical_02::pitch_shift::-2st,classical_02,classical,pitch_shift,-2.0,0.854366,0.672871,0.994172,0.723161,0.8018037314546269,0.8111425
classical_02::pitch_shift::-1st,classical_02,classical,pitch_shift,-1.0,0.861364,0.784459,0.994915,0.746091,0.841557290442159,0.84670725
classical_02::pitch_shift::+1st,classical_02,classical,pitch_shift,1.0,0.858125,0.795764,0.993865,0.748212,0.8441540863550707,0.8489915
classical_02::pitch_shift::+2st,classical_02,classical,pitch_shift,2.0,0.860851,0.690338,0.992833,0.760362,0.818411256630752,0.8260959999999999
classical_02::pitch_shift::+4st,classical_02,classical,pitch_shift,4.0,0.872927,0.579022,0.990261,0.721167,0.7751122991606072,0.79084425
classical_02::time_stretch::-20pct,classical_02,classical,time_stretch,-20.0,0.998827,0.794317,0.907132,0.805066,0.8724620112973265,0.8763355
classical_02::time_stretch::-10pct,classical_02,classical,time_stretch,-10.0,0.999,0.792003,0.916804,0.799097,0.872553527582296,0.876726
classical_02::time_stretch::-5pct,classical_02,classical,time_stretch,-5.0,0.999121,0.832235,0.921918,0.787189,0.8813711765400606,0.88511575
classical_02::time_stretch::+5pct,classical_02,classical,time_stretch,5.0,0.999806,0.896479,0.923776,0.784801,0.8978329102663691,0.9012155
classical_02::time_stretch::+10pct,classical_02,classical,time_stretch,10.0,0.999391,0.888793,0.907349,0.755532,0.8833662895039581,0.88776625
classical_02::time_stretch::+20pct,classical_02,classical,time_stretch,20.0,0.994538,0.863815,0.918092,0.767822,0.8821597111676565,0.88606675
classical_02::lowpass::lp8000,classical_02,classical,lowpass,8000.0,1.0,0.540419,0.998866,0.789621,0.8080051567805321,0.8322265
classical_02::lowpass::lp4000,classical_02,classical,lowpass,4000.0,0.996767,0.49875,0.996442,0.772079,0.7864073813934064,0.8160095
classical_02::lowpass::lp2000,classical_02,classical,lowpass,2000.0,0.999545,0.435651,0.992241,0.763336,0.7578242438963475,0.79769325
classical_02::distortion::drv4,classical_02,classical,distortion,4.0,1.0,0.971852,0.999929,0.787935,0.9354378149910613,0.939929
classical_02::distortion::drv12,classical_02,classical,distortion,12.0,0.99995,0.833633,0.998966,0.784493,0.8990280471430605,0.9042605
classical_02::distortion::drv32,classical_02,classical,distortion,32.0,0.992631,0.649915,0.994843,0.740942,0.8304161544741476,0.84458275
