pair_id,source_id,genre,perturbation,magnitude,score_H,score_T,score_R,score_S,C_geo,C_lin
classical_01::control::ctrl,classical_01,classical,control,0.0,1.0,1.0,1.0,0.829116,0.9394458783336457,0.9430386666666666
classical_01::pitch_shift::-4st,classical_01,classical,pitch_shift,-4.0,0.862062,0.612549,0.992494,0.825897,0.7948128342156094,0.8103133333333332
classical_01::pitch_shift::-2st,classical_01,classical,pitch_shift,-2.0,0.824331,0.735423,0.983546,0.820352,0.8403187265693827,0.8464403333333332
classical_01::pitch_shift::-1st,classical_01,classical,pitch_shift,-1.0,0.795448,0.849356,0.996963,0.778667,0.8703758984535067,0.8749953333333332
classical_01::pitch_shift::+1st,classical_01,classical,pitch_shift,1.0,0.788337,0.819778,0.996755,0.827911,0.877854982248321,0.8814813333333332
classical_01::pitch_shift::+2st,classical_01,classical,pitch_shift,2.0,0.840758,0.725842,0.983723,0.814273,0.8346319100891562,0.8412793333333333
classical_01::pitch_shift::+4st,classical_01,classical,pitch_shift,4.0,0.861297,0.637273,0.98019,0.79653,0.7924027508385667,0.8046643333333332
classical_01::time_stretch::-20pct,classical_01,classical,time_stretch,-20.0,0.996128,0.857819,0.914693,0.897815,0.8897867984239561,0.8901089999999999
classical_01::time_stretch::-10pct,classical_01,classical,time_stretch,-10.0,0.997444,0.898502,0.904769,0.862071,0.8882460099338788,0.8884473333333333
classical_01::time_stretch::-5pct,classical_01,classical,time_stretch,-5.0,0.998224,0.932719,0.907293,0.877346,0.9055027246024883,0.905786
classical_01::time_stretch::+5pct,classical_01,classical,time_stretch,5.0,0.997039,0.908418,0.932433,0.869116,0.902943072772774,0.9033223333333332
classical_01::time_stretch::+10pct,classical_01,classical,time_stretch,10.0,0.9955,0.882854,0.913765,0.862229,0.8860305123385437,0.8862826666666667
classical_01::time_stretch::+20pct,classical_01,classical,time_stretch,20.0,0.994233,0.851098,0.887089,0.882407,0.8733840092807781,0.8735313333333333
classical_01::lowpass::lp8000,classical_01,classical,lowpass,8000.0,1.0,0.818931,0.998947,0.834595,0.880552346941903,0.8841576666666666
classical_01::lowpass::lp4000,classical_01,classical,lowpass,4000.0,0.999999,0.58382,0.984677,0.823127,0.7792554888150139,0.7972079999999999
classical_01::lowpass::lp2000,classical_01,classical,lowpass,2000.0,0.999966,0.484488,0.982548,0.782339,0.7194665277673955,0.7497916666666666
classical_01::distortion::drv4,classical_01,classical,distortion,4.0,0.999999,0.939766,0.999491,0.82414,0.9181913629759815,0.9211323333333332
