pair_id,source_id,genre,perturbation,magnitude,score_H,score_T,score_R,score_S,C_geo,C_lin
classical_01::control::ctrl,classical_01,classical,control,0.0,1.0,1.0,1.0,0.829116,0.9394458783336457,0.9430386666666666
classical_01::pitch_shift::-4st,classical_01,classical,pitch_shift,-4.0,0.862062,0.612549,0.992494,0.825897,0.7583477603346604,0.766836
classical_01::pitch_shift::-2st,classical_01,classical,pitch_shift,-2.0,0.824331,0.735423,0.983546,0.820352,0.7922818260828767,0.7933686666666666
classical_01::pitch_shift::-1st,classical_01,classical,pitch_shift,-1.0,0.795448,0.849356,0.996963,0.778667,0.8072680685186332,0.8078236666666666
classical_01::pitch_shift::+1st,classical_01,classical,pitch_shift,1.0,0.788337,0.819778,0.996755,0.827911,0.8118278405569356,0.8120086666666666
classical_01::pitch_shift::+2st,classical_01,classical,pitch_shift,2.0,0.840758,0.725842,0.983723,0.814273,0.7920654064148039,0.7936243333333333
classical_01::pitch_shift::+4st,classical_01,classical,pitch_shift,4.0,0.861297,0.637273,0.98019,0.79653,0.7589739386921902,0.7650333333333332
classical_01::time_stretch::-20pct,classical_01,classical,time_stretch,-20.0,0.996128,0.857819,0.914693,0.897815,0.9154456289338068,0.917254
classical_01::time_stretch::-10pct,classical_01,classical,time_stretch,-10.0,0.997444,0.898502,0.904769,0.862071,0.917593232849152,0.9193389999999999
classical_01::time_stretch::-5pct,classical_01,classical,time_stretch,-5.0,0.998224,0.932719,0.907293,0.877346,0.9347954225712035,0.9360963333333332
classical_01::time_stretch::+5pct,classical_01,classical,time_stretch,5.0,0.997039,0.908418,0.932433,0.869116,0.9233333897264616,0.9248576666666666
classical_01::time_stretch::+10pct,classical_01,classical,time_stretch,10.0,0.9955,0.882854,0.913765,0.862229,0.9116978410623445,0.9135276666666666
classical_01::time_stretch::+20pct,classical_01,classical,time_stretch,20.0,0.994233,0.851098,0.887089,0.882407,0.9072191929576553,0.909246
classical_01::lowpass::lp8000,classical_01,classical,lowpass,8000.0,1.0,0.818931,0.998947,0.834595,0.8808616379633935,0.8845086666666666
