pair_id,source_id,genre,perturbation,magnitude,score_H,score_T,score_R,score_S,C_geo,C_lin
classical_01::control::ctrl,classical_01,classical,control,0.0,1.0,1.0,1.0,0.829116,1.0,1.0
classical_01::pitch_shift::-4st,classical_01,classical,pitch_shift,-4.0,0.862062,0.612549,0.992494,0.825897,0.8062487895303085,0.8223683333333334
classical_01::pitch_shift::-2st,classical_01,classical,pitch_shift,-2.0,0.824331,0.735423,0.983546,0.820352,0.8416751511298368,0.8477666666666667
classical_01::pitch_shift::-1st,classical_01,classical,pitch_shift,-1.0,0.795448,0.849356,0.996963,0.778667,0.876583983845871,0.880589
classical_01::pitch_shift::+1st,classical_01,classical,pitch_shift,1.0,0.788337,0.819778,0.996755,0.827911,0.8636389037349904,0.8682899999999999
classical_01::pitch_shift::+2st,classical_01,classical,pitch_shift,2.0,0.840758,0.725842,0.983723,0.814273,0.8435845998621361,0.8501076666666666
classical_01::pitch_shift::+4st,classical_01,classical,pitch_shift,4.0,0.861297,0.637273,0.98019,0.79653,0.813322724672585,0.8262533333333333
classical_01::time_stretch::-20pct,classical_01,classical,time_stretch,-20.0,0.996128,0.857819,0.914693,0.897815,0.9211465323147744,0.9228799999999999
classical_01::time_stretch::-10pct,classical_01,classical,time_stretch,-10.0,0.997444,0.898502,0.904769,0.862071,0.9324991131730952,0.9335716666666666
classical_01::time_stretch::-5pct,classical_01,classical,time_stretch,-5.0,0.998224,0.932719,0.907293,0.877346,0.9453126372230898,0.9460786666666666
classical_01::time_stretch::+5pct,classical_01,classical,time_stretch,5.0,0.997039,0.908418,0.932433,0.869116,0.9452321924142341,0.9459633333333333
classical_01::time_stretch::+10pct,classical_01,classical,time_stretch,10.0,0.9955,0.882854,0.913765,0.862229,0.9295117645505974,0.9307063333333333
classical_01::time_stretch::+20pct,classical_01,classical,time_stretch,20.0,0.994233,0.851098,0.887089,0.882407,0.9088209140916519,0.9108066666666667
classical_01::lowpass::lp8000,classical_01,classical,lowpass,8000.0,1.0,0.818931,0.998947,0.834595,0.9352547431963659,0.9392926666666666
classical_01::lowpass::lp4000,classical_01,classical,lowpass,4000.0,0.999999,0.58382,0.984677,0.823127,0.8314907892031113,0.8561653333333332
classical_01::lowpass::lp2000,classical_01,classical,lowpass,2000.0,0.999966,0.484488,0.982548,0.782339,0.7808015704094186,0.8223339999999999
classical_01::distortion::drv4,classical_01,classical,distortion,4.0,0.999999,0.939766,0.999491,0.82414,0.9793382731965687,0.979752
classical_01::distortion::drv12,classical_01,classical,distortion,12.0,0.999808,0.741767,0.993548,0.787758,0.9032146845222837,0.9117076666666666
classical_01::distortion::drv32,classical_01,classical,distortion,32.0,0.99767,0.59795,0.984828,0.745197,0.8375371060530339,0.8601493333333332
classical_01::style_swap::swap_cross,classical_01,classical,style_swap,nan,0.756144,0.384217,0.934589,0.646745,0.6475409688605762,0.69165
classical_01::style_swap::swap_same,classical_01,classical,style_swap,nan,0.845911,0.516401,0.90493,0.711641,0.7339090521177704,0.7557473333333333
classical_02::control::ctrl,classical_02,classical,control,0.0,1.0,1.0,1.0,0.799097,1.0,1.0
classical_02::pitch_shift::-4st,classical_02,classical,pitch_shift,-4.0,0.871717,0.518691,0.991982,0.758212,0.7654720538280753,0.79413
classical_02::pitch_shift::-2st,classical_02,classical,pitch_shift,-2.0,0.854366,0.672871,0.994172,0.723161,0.8298745226638233,0.8404696666666666
classical_02::pitch_shift::-1st,classical_02,classical,pitch_shift,-1.0,0.861364,0.784459,0.994915,0.746091,0.8760205924032629,0.880246
classical_02::pitch_shift::+1st,classical_02,classical,pitch_shift,1.0,0.858125,0.795764,0.993865,0.748212,0.8787946677528062,0.8825846666666666
classical_02::pitch_shift::+2st,classical_02,classical,pitch_shift,2.0,0.860851,0.690338,0.992833,0.760362,0.838729639700398,0.8480073333333332
classical_02::pitch_shift::+4st,classical_02,classical,pitch_shift,4.0,0.872927,0.579022,0.990261,0.721167,0.7939763304301685,0.81407
classical_02::time_stretch::-20pct,classical_02,classical,time_stretch,-20.0,0.998827,0.794317,0.907132,0.805066,0.8961585916119694,0.900092
classical_02::time_stretch::-10pct,classical_02,classical,time_stretch,-10.0,0.999,0.792003,0.916804,0.799097,0.89851004786681,0.9026023333333333
classical_02::time_stretch::-5pct,classical_02,classical,time_stretch,-5.0,0.999121,0.832235,0.921918,0.787189,0.9152058469047306,0.9177579999999999
