pair_id,source_id,genre,perturbation,magnitude,score_H,score_T,score_R,score_S,C_geo,C_lin
classical_01::control::ctrl,classical_01,classical,control,0.0,1.0,1.0,1.0,0.829116,0.9394458783336457,0.9430386666666666
classical_01::pitch_shift::-4st,classical_01,classical,pitch_shift,-4.0,0.862062,0.612549,0.992494,0.825897,0.8906985802638775,0.8934843333333333
classical_01::pitch_shift::-2st,classical_01,classical,pitch_shift,-2.0,0.824331,0.735423,0.983546,0.820352,0.8729020565448983,0.8760763333333332
classical_01::pitch_shift::-1st,classical_01,classical,pitch_shift,-1.0,0.795448,0.849356,0.996963,0.778667,0.8515579377304521,0.857026
classical_01::pitch_shift::+1st,classical_01,classical,pitch_shift,1.0,0.788337,0.819778,0.996755,0.827911,0.8664855582168682,0.8710009999999999
classical_01::pitch_shift::+2st,classical_01,classical,pitch_shift,2.0,0.840758,0.725842,0.983723,0.814273,0.8765390918288385,0.8795846666666667
classical_01::pitch_shift::+4st,classical_01,classical,pitch_shift,4.0,0.861297,0.637273,0.98019,0.79653,0.8761028904085456,0.8793389999999999
classical_01::time_stretch::-20pct,classical_01,classical,time_stretch,-20.0,0.996128,0.857819,0.914693,0.897815,0.9352458435291119,0.9362119999999999
classical_01::time_stretch::-10pct,classical_01,classical,time_stretch,-10.0,0.997444,0.898502,0.904769,0.862071,0.9197216786488953,0.9214279999999999
classical_01::time_stretch::-5pct,classical_01,classical,time_stretch,-5.0,0.998224,0.932719,0.907293,0.877346,0.9262228466083797,0.927621
classical_01::time_stretch::+5pct,classical_01,classical,time_stretch,5.0,0.997039,0.908418,0.932433,0.869116,0.9313991608393785,0.9328626666666666
classical_01::time_stretch::+10pct,classical_01,classical,time_stretch,10.0,0.9955,0.882854,0.913765,0.862229,0.9222163192785489,0.9238313333333333
classical_01::time_stretch::+20pct,classical_01,classical,time_stretch,20.0,0.994233,0.851098,0.887089,0.882407,0.9198311316550326,0.921243
classical_01::lowpass::lp8000,classical_01,classical,lowpass,8000.0,1.0,0.818931,0.998947,0.834595,0.9411801126090334,0.944514
classical_01::lowpass::lp4000,classical_01,classical,lowpass,4000.0,0.999999,0.58382,0.984677,0.823127,0.9323666605732395,0.9359343333333333
classical_01::lowpass::lp2000,classical_01,classical,lowpass,2000.0,0.999966,0.484488,0.982548,0.782339,0.9160334444848974,0.9216176666666667
classical_01::distortion::drv4,classical_01,classical,distortion,4.0,0.999999,0.939766,0.999491,0.82414,0.9374033091227402,0.9412099999999999
classical_01::distortion::drv12,classical_01,classical,distortion,12.0,0.999808,0.741767,0.993548,0.787758,0.9215086744816186,0.9270379999999999
classical_01::distortion::drv32,classical_01,classical,distortion,32.0,0.99767,0.59795,0.984828,0.745197,0.9013071152540131,0.9092316666666667
classical_01::style_swap::swap_cross,classical_01,classical,style_swap,nan,0.756144,0.384217,0.934589,0.646745,0.7702873252503551,0.7791593333333333
classical_01::style_swap::swap_same,classical_01,classical,style_swap,nan,0.845911,0.516401,0.90493,0.711641,0.816708119521074,0.8208273333333334
classical_02::control::ctrl,classical_02,classical,control,0.0,1.0,1.0,1.0,0.799097,0.9279683556639209,0.9330323333333332
classical_02::pitch_shift::-4st,classical_02,classical,pitch_shift,-4.0,0.871717,0.518691,0.991982,0.758212,0.8687403370016958,0.8739703333333333
