pair_id,source_id,genre,dim_target,perturbation,magnitude,score_H,score_T,score_R,score_S,score_scs,score_clap_htsat,score_cbase
classical_01::control::ctrl,classical_01,classical,control,control,0.0,1.000000,1.000000,1.000000,0.829116,1.000000,1.000000,1.000000
classical_01::pitch_shift::-4st,classical_01,classical,H,pitch_shift,-4.0,0.864113,0.612303,0.992673,0.825897,0.949832,0.974351,0.962013
classical_01::pitch_shift::-2st,classical_01,classical,H,pitch_shift,-2.0,0.824667,0.734894,0.995101,0.820352,0.969484,0.984112,0.976771
classical_01::pitch_shift::-1st,classical_01,classical,H,pitch_shift,-1.0,0.787760,0.849246,0.996772,0.778667,0.966062,0.988727,0.977329
classical_01::pitch_shift::+1st,classical_01,classical,H,pitch_shift,1.0,0.788619,0.819998,0.996755,0.827911,0.969586,0.992108,0.980783
classical_01::pitch_shift::+2st,classical_01,classical,H,pitch_shift,2.0,0.842670,0.727144,0.983819,0.814273,0.962299,0.978586,0.970408
classical_01::pitch_shift::+4st,classical_01,classical,H,pitch_shift,4.0,0.860251,0.637512,0.980056,0.796530,0.944871,0.967374,0.956056
classical_01::time_stretch::-20pct,classical_01,classical,R,time_stretch,-20.0,0.996247,0.861653,0.914808,0.897815,0.654362,0.974647,0.798606
classical_01::time_stretch::-10pct,classical_01,classical,R,time_stretch,-10.0,0.997108,0.898333,0.899642,0.862071,0.714893,0.983357,0.838448
classical_01::time_stretch::-5pct,classical_01,classical,R,time_stretch,-5.0,0.998156,0.932403,0.907294,0.877346,0.788738,0.985475,0.881636
classical_01::time_stretch::+5pct,classical_01,classical,R,time_stretch,5.0,0.997116,0.908869,0.932434,0.869116,0.765241,0.991535,0.871070
classical_01::time_stretch::+10pct,classical_01,classical,R,time_stretch,10.0,0.995629,0.883222,0.913560,0.862229,0.705810,0.971304,0.827983
classical_01::time_stretch::+20pct,classical_01,classical,R,time_stretch,20.0,0.993441,0.848716,0.887090,0.882407,0.631808,0.980416,0.787042
