pair_id,source_id,genre,dim_target,perturbation,magnitude,score_H,score_T,score_R,score_S
classical_01::control::ctrl,classical_01,classical,control,control,0.0,1.000000,1.000000,1.000000,0.615140
classical_01::pitch_shift::-4st,classical_01,classical,H,pitch_shift,-4.0,0.864113,0.612303,0.992673,0.447327
classical_01::pitch_shift::-2st,classical_01,classical,H,pitch_shift,-2.0,0.824667,0.734894,0.995101,0.454209
classical_01::pitch_shift::-1st,classical_01,classical,H,pitch_shift,-1.0,0.787760,0.849246,0.996772,0.349127
classical_01::pitch_shift::+1st,classical_01,classical,H,pitch_shift,1.0,0.788619,0.819998,0.996755,0.467178
classical_01::pitch_shift::+2st,classical_01,classical,H,pitch_shift,2.0,0.842670,0.727144,0.983819,0.492853
classical_01::pitch_shift::+4st,classical_01,classical,H,pitch_shift,4.0,0.860251,0.637512,0.980056,0.442033
classical_01::time_stretch::-20pct,classical_01,classical,R,time_stretch,-20.0,0.996247,0.861653,0.914808,0.705400
classical_01::time_stretch::-10pct,classical_01,classical,R,time_stretch,-10.0,0.997108,0.898333,0.899642,0.716517
classical_01::time_stretch::-5pct,classical_01,classical,R,time_stretch,-5.0,0.998156,0.932403,0.907294,0.715987
classical_01::time_stretch::+5pct,classical_01,classical,R,time_stretch,5.0,0.997116,0.908869,0.932434,0.691900
classical_01::time_stretch::+10pct,classical_01,classical,R,time_stretch,10.0,0.995629,0.883222,0.913560,0.688989
classical_01::time_stretch::+20pct,classical_01,classical,R,time_stretch,20.0,0.993441,0.848716,0.887090,0.752779
classical_01::lowpass::lp8000,classical_01,classical,T,lowpass,8000.0,1.000000,0.818931,0.998947,0.635521
classical_01::lowpass::lp4000,classical_01,classical,T,lowpass,4000.0,0.999999,0.583820,0.984677,0.632610
classical_01::lowpass::lp2000,classical_01,classical,T,lowpass,2000.0,0.999966,0.484488,0.982548,0.485707
classical_01::distortion::drv4,classical_01,classical,T,distortion,4.0,0.999999,0.939767,0.999491,0.586818
classical_01::distortion::drv12,classical_01,classical,T,distortion,12.0,0.999808,0.741768,0.993548,0.494177
classical_01::distortion::drv32,classical_01,classical,T,distortion,32.0,0.997670,0.597949,0.984828,0.248809
classical_01::style_swap::swap_cross,classical_01,classical,S,style_swap,nan,0.756144,0.384217,0.934590,0.080995
classical_01::style_swap::swap_same,classical_01,classical,S,style_swap,nan,0.845911,0.516402,0.904931,0.209370
classical_02::control::ctrl,classical_02,classical,control,control,0.0,1.000000,1.000000,1.000000,0.627184
classical_02::pitch_shift::-4st,classical_02,classical,H,pitch_shift,-4.0,0.876858,0.519232,0.992366,0.329010
classical_02::pitch_shift::-2st,classical_02,classical,H,pitch_shift,-2.0,0.854270,0.672519,0.994177,0.258602
classical_02::pitch_shift::-1st,classical_02,classical,H,pitch_shift,-1.0,0.860895,0.783541,0.994913,0.342245
classical_02::pitch_shift::+1st,classical_02,classical,H,pitch_shift,1.0,0.855980,0.795642,0.993839,0.272366
classical_02::pitch_shift::+2st,classical_02,classical,H,pitch_shift,2.0,0.855895,0.689406,0.992812,0.377184
classical_02::pitch_shift::+4st,classical_02,classical,H,pitch_shift,4.0,0.861920,0.579241,0.990348,0.299894
classical_02::time_stretch::-20pct,classical_02,classical,R,time_stretch,-20.0,0.998915,0.795302,0.907132,0.632080
classical_02::time_stretch::-10pct,classical_02,classical,R,time_stretch,-10.0,0.998979,0.792034,0.916513,0.599656
classical_02::time_stretch::-5pct,classical_02,classical,R,time_stretch,-5.0,0.992919,0.828905,0.921832,0.546321
classical_02::time_stretch::+5pct,classical_02,classical,R,time_stretch,5.0,0.999822,0.898014,0.923681,0.533351
classical_02::time_stretch::+10pct,classical_02,classical,R,time_stretch,10.0,0.999419,0.886192,0.907166,0.415564
classical_02::time_stretch::+20pct,classical_02,classical,R,time_stretch,20.0,0.994589,0.865308,0.917850,0.408947
classical_02::lowpass::lp8000,classical_02,classical,T,lowpass,8000.0,1.000000,0.540419,0.998866,0.610641
classical_02::lowpass::lp4000,classical_02,classical,T,lowpass,4000.0,0.996767,0.498750,0.996442,0.547644
classical_02::lowpass::lp2000,classical_02,classical,T,lowpass,2000.0,0.999545,0.435651,0.992241,0.415299
classical_02::distortion::drv4,classical_02,classical,T,distortion,4.0,1.000000,0.971852,0.999929,0.569349
classical_02::distortion::drv12,classical_02,classical,T,distortion,12.0,0.999950,0.833633,0.998966,0.510588
classical_02::distortion::drv32,classical_02,classical,T,distortion,32.0,0.992631,0.649915,0.994843,0.454738
classical_02::style_swap::swap_cross,classical_02,classical,S,style_swap,nan,0.867470,0.357396,0.917488,0.021175
classical_02::style_swap::swap_same,classical_02,classical,S,style_swap,nan,0.942536,0.471134,0.900222,0.136051
classical_03::control::ctrl,classical_03,classical,control,control,0.0,1.000000,0.999997,1.000000,0.830069
classical_03::pitch_shift::-4st,classical_03,classical,H,pitch_shift,-4.0,0.750486,0.581610,0.880385,0.516411
classical_03::pitch_shift::-2st,classical_03,classical,H,pitch_shift,-2.0,0.784584,0.716112,0.874670,0.493912
classical_03::pitch_shift::-1st,classical_03,classical,H,pitch_shift,-1.0,0.684936,0.823785,0.989732,0.418475
classical_03::pitch_shift::+1st,classical_03,classical,H,pitch_shift,1.0,0.685355,0.815827,0.989258,0.523822
classical_03::pitch_shift::+2st,classical_03,classical,H,pitch_shift,2.0,0.779941,0.714954,0.881136,0.541821
classical_03::pitch_shift::+4st,classical_03,classical,H,pitch_shift,4.0,0.757959,0.595320,0.863607,0.358655
classical_03::time_stretch::-20pct,classical_03,classical,R,time_stretch,-20.0,0.988867,0.715848,0.829220,0.769190
classical_03::time_stretch::-10pct,classical_03,classical,R,time_stretch,-10.0,0.994111,0.825710,0.831412,0.813658
classical_03::time_stretch::-5pct,classical_03,classical,R,time_stretch,-5.0,0.998174,0.900534,0.793413,0.817893
classical_03::time_stretch::+5pct,classical_03,classical,R,time_stretch,5.0,0.997193,0.892898,0.775429,0.728692
classical_03::time_stretch::+10pct,classical_03,classical,R,time_stretch,10.0,0.992930,0.888176,0.812694,0.771308
classical_03::time_stretch::+20pct,classical_03,classical,R,time_stretch,20.0,0.983839,0.850548,0.766852,0.598200
classical_03::lowpass::lp8000,classical_03,classical,T,lowpass,8000.0,1.000000,0.987020,0.999866,0.839068
classical_03::lowpass::lp4000,classical_03,classical,T,lowpass,4000.0,1.000000,0.981225,0.999840,0.889359
classical_03::lowpass::lp2000,classical_03,classical,T,lowpass,2000.0,1.000000,0.956241,0.999435,0.898359
