pair_id,source_id,genre,perturbation,magnitude,score_H,score_T,score_R,score_S,C_geo,C_lin
classical_01::control::ctrl,classical_01,classical,control,0.0,1.0,1.0,1.0,0.829116,0.9559138977697577,0.958885174170773
classical_01::pitch_shift::-4st,classical_01,classical,pitch_shift,-4.0,0.864113,0.612303,0.992673,0.825897,0.7968430551255854,0.8099833650098769
classical_01::pitch_shift::-2st,classical_01,classical,pitch_shift,-2.0,0.824667,0.734894,0.995101,0.820352,0.8315729438558364,0.8367434068458486
classical_01::pitch_shift::-1st,classical_01,classical,pitch_shift,-1.0,0.78776,0.849246,0.996772,0.778667,0.8487867444785702,0.85275563563082
classical_01::pitch_shift::+1st,classical_01,classical,pitch_shift,1.0,0.788619,0.819998,0.996755,0.827911,0.8526665436681785,0.8560847099077876
classical_01::pitch_shift::+2st,classical_01,classical,pitch_shift,2.0,0.84267,0.727144,0.983819,0.814273,0.8293352358342484,0.8344349577963264
classical_01::pitch_shift::+4st,classical_01,classical,pitch_shift,4.0,0.860251,0.637512,0.980056,0.79653,0.7962805069591953,0.8065957591865685
classical_01::time_stretch::-20pct,classical_01,classical,time_stretch,-20.0,0.996247,0.861653,0.914808,0.897815,0.912143996471166,0.9134367759520383
classical_01::time_stretch::-10pct,classical_01,classical,time_stretch,-10.0,0.997108,0.898333,0.899642,0.862071,0.9111674866964696,0.9124108650027051
classical_01::time_stretch::-5pct,classical_01,classical,time_stretch,-5.0,0.998156,0.932403,0.907294,0.877346,0.9272827139398298,0.928260770871725
classical_01::time_stretch::+5pct,classical_01,classical,time_stretch,5.0,0.997116,0.908869,0.932434,0.869116,0.9238323421383936,0.9249130536591161
classical_01::time_stretch::+10pct,classical_01,classical,time_stretch,10.0,0.995629,0.883222,0.91356,0.862229,0.9095682700846403,0.9108659467288829
classical_01::time_stretch::+20pct,classical_01,classical,time_stretch,20.0,0.993441,0.848716,0.88709,0.882407,0.8972108444542813,0.8987565208225691
classical_01::lowpass::lp8000,classical_01,classical,lowpass,8000.0,1.0,0.818931,0.998947,0.834595,0.9019096796836771,0.9060306357405167
classical_01::lowpass::lp4000,classical_01,classical,lowpass,4000.0,0.999999,0.58382,0.984677,0.823127,0.8100009404767999,0.8299130226063428
classical_01::lowpass::lp2000,classical_01,classical,lowpass,2000.0,0.999966,0.484488,0.982548,0.782339,0.7565357766549194,0.7900106869705077
classical_01::distortion::drv4,classical_01,classical,distortion,4.0,0.999999,0.939767,0.999491,0.82414,0.9369205303150583,0.9396299079338352
classical_01::distortion::drv12,classical_01,classical,distortion,12.0,0.999808,0.741768,0.993548,0.787758,0.8624988823930663,0.8704745432388181
classical_01::distortion::drv32,classical_01,classical,distortion,32.0,0.99767,0.597949,0.984828,0.745197,0.7961052245412603,0.8148758155632124
classical_01::style_swap::swap_cross,classical_01,classical,style_swap,nan,0.756144,0.384217,0.93459,0.646745,0.6254918409242175,0.6607784393865078
classical_01::style_swap::swap_same,classical_01,classical,style_swap,nan,0.845911,0.516402,0.904931,0.711641,0.7116699093822033,0.7292701885470715
classical_02::control::ctrl,classical_02,classical,control,0.0,1.0,1.0,1.0,0.799097,0.9474697706855673,0.9516625789800731
classical_02::pitch_shift::-4st,classical_02,classical,pitch_shift,-4.0,0.876858,0.519232,0.992366,0.758212,0.7456400422793616,0.768810532276105
classical_02::pitch_shift::-2st,classical_02,classical,pitch_shift,-2.0,0.85427,0.672519,0.994177,0.723161,0.791855008191096,0.8013086117422931
classical_02::pitch_shift::-1st,classical_02,classical,pitch_shift,-1.0,0.860895,0.783541,0.994913,0.746091,0.8365837647530089,0.841571498574349
classical_02::pitch_shift::+1st,classical_02,classical,pitch_shift,1.0,0.85598,0.795642,0.993839,0.748212,0.8396771978989854,0.8443152354063225
classical_02::pitch_shift::+2st,classical_02,classical,pitch_shift,2.0,0.855895,0.689406,0.992812,0.760362,0.8075016428565536,0.8153394799139471
classical_02::pitch_shift::+4st,classical_02,classical,pitch_shift,4.0,0.86192,0.579241,0.990348,0.721167,0.7577652427661721,0.7738955081120114
classical_02::time_stretch::-20pct,classical_02,classical,time_stretch,-20.0,0.998915,0.795302,0.907132,0.805066,0.8663915162427902,0.8701732530026891
classical_02::time_stretch::-10pct,classical_02,classical,time_stretch,-10.0,0.998979,0.792034,0.916513,0.799097,0.8658747475875122,0.8699718738228145
classical_02::time_stretch::-5pct,classical_02,classical,time_stretch,-5.0,0.992919,0.828905,0.921832,0.787189,0.8744949103504894,0.8779513469507416
classical_02::time_stretch::+5pct,classical_02,classical,time_stretch,5.0,0.999822,0.898014,0.923681,0.784801,0.8967809761758005,0.8999635916521952
classical_02::time_stretch::+10pct,classical_02,classical,time_stretch,10.0,0.999419,0.886192,0.907166,0.755532,0.8813103775205107,0.8854472359658108
classical_02::time_stretch::+20pct,classical_02,classical,time_stretch,20.0,0.994589,0.865308,0.91785,0.767822,0.8799138141684016,0.8835825686951154
classical_02::lowpass::lp8000,classical_02,classical,lowpass,8000.0,1.0,0.540419,0.998866,0.789621,0.7863295017816622,0.8122435389961524
classical_02::lowpass::lp4000,classical_02,classical,lowpass,4000.0,0.996767,0.49875,0.996442,0.772079,0.7626258976209631,0.7943098053412287
classical_02::lowpass::lp2000,classical_02,classical,lowpass,2000.0,0.999545,0.435651,0.992241,0.763336,0.7302514107894466,0.7730642960367489
classical_02::distortion::drv4,classical_02,classical,distortion,4.0,1.0,0.971852,0.999929,0.787935,0.9362575356056564,0.9405772599350558
classical_02::distortion::drv12,classical_02,classical,distortion,12.0,0.99995,0.833633,0.998966,0.784493,0.893290112029594,0.8983477086174393
classical_02::distortion::drv32,classical_02,classical,distortion,32.0,0.992631,0.649915,0.994843,0.740942,0.8159765396307798,0.8305228121723793
classical_02::style_swap::swap_cross,classical_02,classical,style_swap,nan,0.86747,0.357396,0.917488,0.49678,0.5902102294917746,0.6380650166706747
classical_02::style_swap::swap_same,classical_02,classical,style_swap,nan,0.942536,0.471134,0.900222,0.693582,0.7045227181627536,0.7323490335377967
classical_03::control::ctrl,classical_03,classical,control,0.0,1.0,0.999997,1.0,0.839157,0.9586856588934097,0.9613001532584269
classical_03::pitch_shift::-4st,classical_03,classical,pitch_shift,-4.0,0.750486,0.58161,0.880385,0.793982,0.7319277744024836,0.7410291054590499
classical_03::pitch_shift::-2st,classical_03,classical,pitch_shift,-2.0,0.784584,0.716112,0.87467,0.80961,0.7891265155403061,0.7912767381995001
classical_03::pitch_shift::-1st,classical_03,classical,pitch_shift,-1.0,0.684936,0.823785,0.989732,0.797457,0.8180852361192386,0.8246289052126201
classical_03::pitch_shift::+1st,classical_03,classical,pitch_shift,1.0,0.685355,0.815827,0.989258,0.83292,0.8243302393525973,0.8307758507756177
classical_03::pitch_shift::+2st,classical_03,classical,pitch_shift,2.0,0.779941,0.714954,0.881136,0.801912,0.7872267936969293,0.7895341376871625
classical_03::pitch_shift::+4st,classical_03,classical,pitch_shift,4.0,0.757959,0.59532,0.863607,0.780281,0.7323000533340117,0.7395947488098225
classical_03::time_stretch::-20pct,classical_03,classical,time_stretch,-20.0,0.988867,0.715848,0.82922,0.826457,0.8255079705401814,0.831150726886781
classical_03::time_stretch::-10pct,classical_03,classical,time_stretch,-10.0,0.994111,0.82571,0.831412,0.821946,0.8618023066775089,0.8644917269799473
classical_03::time_stretch::-5pct,classical_03,classical,time_stretch,-5.0,0.998174,0.900534,0.793413,0.829734,0.8775375824899215,0.8806902526673174
classical_03::time_stretch::+5pct,classical_03,classical,time_stretch,5.0,0.997193,0.892898,0.775429,0.823327,0.8688180309432049,0.8724460752476559
classical_03::time_stretch::+10pct,classical_03,classical,time_stretch,10.0,0.99293,0.888176,0.812694,0.828741,0.8775473267915523,0.8800847980547436
classical_03::time_stretch::+20pct,classical_03,classical,time_stretch,20.0,0.983839,0.850548,0.766852,0.802008,0.8461347156439906,0.8496569682696565
classical_03::lowpass::lp8000,classical_03,classical,lowpass,8000.0,1.0,0.98702,0.999866,0.844438,0.956376012869194,0.9586745803650447
classical_03::lowpass::lp4000,classical_03,classical,lowpass,4000.0,1.0,0.981225,0.99984,0.853351,0.9571092640779271,0.9590870895556971
classical_03::lowpass::lp2000,classical_03,classical,lowpass,2000.0,1.0,0.956241,0.999435,0.858405,0.9510457646963749,0.9527675697398471
classical_03::distortion::drv4,classical_03,classical,distortion,4.0,1.0,0.963296,0.998157,0.83188,0.9456762650202682,0.9481879538728075
classical_03::distortion::drv12,classical_03,classical,distortion,12.0,0.999997,0.820762,0.992396,0.807928,0.8941085886928881,0.8986274025342781
classical_03::distortion::drv32,classical_03,classical,distortion,32.0,0.999737,0.639981,0.892109,0.721117,0.7879319935215022,0.8003913536171747
classical_03::style_swap::swap_cross,classical_03,classical,style_swap,nan,0.876702,0.363711,0.767462,0.589374,0.5943565183354439,0.6292473208075877
classical_03::style_swap::swap_same,classical_03,classical,style_swap,nan,0.791802,0.405002,0.900865,0.664596,0.6407767822067749,0.6714993129360937
classical_04::control::ctrl,classical_04,classical,control,0.0,1.0,1.0,1.0,0.770551,0.9392134955802182,0.9447943887567573
classical_04::pitch_shift::-4st,classical_04,classical,pitch_shift,-4.0,0.902721,0.521585,0.984788,0.643491,0.7212212087483741,0.7460278662592269
classical_04::pitch_shift::-2st,classical_04,classical,pitch_shift,-2.0,0.902272,0.678855,0.987639,0.719199,0.8017184914164724,0.811646312140272
classical_04::pitch_shift::-1st,classical_04,classical,pitch_shift,-1.0,0.881021,0.787717,0.98896,0.77639,0.8492446667832857,0.853297022987694
classical_04::pitch_shift::+1st,classical_04,classical,pitch_shift,1.0,0.878067,0.802675,0.986214,0.744842,0.8443387747083175,0.8488465306172577
classical_04::pitch_shift::+2st,classical_04,classical,pitch_shift,2.0,0.905087,0.681803,0.982374,0.791483,0.8210221877203571,0.829325943209794
classical_04::pitch_shift::+4st,classical_04,classical,pitch_shift,4.0,0.908763,0.550489,0.974613,0.721649,0.7527100112340904,0.7724379908706186
classical_04::time_stretch::-20pct,classical_04,classical,time_stretch,-20.0,0.998906,0.885519,0.682633,0.767258,0.8273938747832617,0.8354506555851643
classical_04::time_stretch::-10pct,classical_04,classical,time_stretch,-10.0,0.999131,0.906359,0.74433,0.772562,0.851627643930392,0.8574107567341394
classical_04::time_stretch::-5pct,classical_04,classical,time_stretch,-5.0,0.999511,0.907233,0.799437,0.776949,0.8674741512320443,0.8716983056934334
classical_04::time_stretch::+5pct,classical_04,classical,time_stretch,5.0,0.999458,0.88612,0.663581,0.784653,0.8266521473182398,0.8354858558273317
classical_04::time_stretch::+10pct,classical_04,classical,time_stretch,10.0,0.998985,0.880722,0.671884,0.792519,0.8294508478365544,0.8376044613300809
classical_04::time_stretch::+20pct,classical_04,classical,time_stretch,20.0,0.998412,0.871281,0.675436,0.753843,0.8178005154869064,0.8261872646087433
classical_04::lowpass::lp8000,classical_04,classical,lowpass,8000.0,0.999962,0.494824,0.956801,0.78058,0.7561845052874374,0.7866446649806376
classical_04::lowpass::lp4000,classical_04,classical,lowpass,4000.0,0.999988,0.451422,0.946613,0.694652,0.7136465675379473,0.7506679414760462
classical_04::lowpass::lp2000,classical_04,classical,lowpass,2000.0,0.999784,0.424381,0.776986,0.695091,0.669093836931086,0.7030112608490215
classical_04::distortion::drv4,classical_04,classical,distortion,4.0,0.998683,0.915623,0.998689,0.760515,0.9114423549210108,0.9166437858270384
classical_04::distortion::drv12,classical_04,classical,distortion,12.0,0.999733,0.727059,0.99052,0.740661,0.8441291152802914,0.8540371916306323
classical_04::distortion::drv32,classical_04,classical,distortion,32.0,0.997847,0.596923,0.933518,0.657715,0.7625772435935116,0.7815649532788761
classical_04::style_swap::swap_cross,classical_04,classical,style_swap,nan,0.718854,0.437217,0.680685,0.598123,0.5855652968083652,0.597003226369855
classical_04::style_swap::swap_same,classical_04,classical,style_swap,nan,0.865958,0.423247,0.690669,0.636853,0.616346779342131,0.6379991845605837
classical_05::control::ctrl,classical_05,classical,control,0.0,1.0,1.0,1.0,0.863103,0.9651984530445069,0.9670624733061979
classical_05::pitch_shift::-4st,classical_05,classical,pitch_shift,-4.0,0.82643,0.543608,0.986932,0.696754,0.7298175031449089,0.7485276378856199
