pair_id,mos
ambient_03::pitch_shift::-1st,4.0
ambient_03::style_swap::swap_cross,1.0
ambient_04::pitch_shift::+1st,3.0
ambient_09::distortion::drv12,3.0
ambient_11::style_swap::swap_cross,1.0
ambient_15::distortion::drv4,5.0
ambient_15::pitch_shift::+2st,3.5
classical_02::distortion::drv4,5.0
classical_02::time_stretch::+5pct,4.0
classical_03::lowpass::lp2000,4.6667
classical_03::pitch_shift::-4st,2.0
classical_04::lowpass::lp4000,2.5
classical_04::time_stretch::-10pct,4.0
classical_06::pitch_shift::+1st,4.0
classical_06::time_stretch::-20pct,4.0
classical_07::control::ctrl,4.6667
classical_07::pitch_shift::+2st,3.3333
classical_07::style_swap::swap_cross,1.0
classical_08::lowpass::lp8000,5.0
classical_08::pitch_shift::-4st,3.5
classical_08::time_stretch::+5pct,4.3333
classical_09::control::ctrl,4.0
classical_09::pitch_shift::+2st,3.0
classical_09::time_stretch::-20pct,2.0
classical_10::time_stretch::+10pct,4.5
classical_11::distortion::drv4,4.0
classical_11::time_stretch::+10pct,5.0
classical_12::lowpass::lp4000,3.5
classical_12::pitch_shift::-1st,4.0
electronic_02::distortion::drv12,2.0
electronic_02::time_stretch::+20pct,3.0
electronic_04::distortion::drv12,4.0
electronic_04::time_stretch::-10pct,3.0
electronic_07::lowpass::lp2000,2.6667
electronic_07::style_swap::swap_cross,1.0
electronic_12::lowpass::lp2000,3.0
electronic_12::pitch_shift::-2st,3.0
electronic_12::time_stretch::+10pct,3.5
folk_01::control::ctrl,4.6667
folk_01::pitch_shift::+4st,3.0
folk_01::pitch_shift::-4st,3.0
folk_05::distortion::drv4,5.0
folk_05::time_stretch::-20pct,3.0
folk_06::lowpass::lp4000,3.0
folk_06::time_stretch::+5pct,4.5
folk_12::time_stretch::+20pct,5.0
folk_13::distortion::drv32,2.5
folk_13::pitch_shift::-2st,3.0
folk_13::time_stretch::-5pct,5.0
jazz_03::lowpass::lp8000,3.0
jazz_04::pitch_shift::+1st,3.0
jazz_07::distortion::drv12,2.0
jazz_12::control::ctrl,4.6667
jazz_12::time_stretch::-20pct,3.3333
jazz_14::pitch_shift::+2st,3.0
jazz_15::pitch_shift::-1st,3.5
jazz_15::time_stretch::-5pct,5.0
rock_01::distortion::drv12,2.5
rock_01::time_stretch::-20pct,3.5
rock_04::pitch_shift::+4st,3.0
rock_04::pitch_shift::-2st,3.5
rock_05::control::ctrl,5.0
rock_05::lowpass::lp8000,3.0
rock_05::style_swap::swap_cross,1.0
rock_05::time_stretch::+20pct,3.5
rock_06::distortion::drv32,1.0
rock_06::pitch_shift::+1st,3.3333
rock_06::time_stretch::+10pct,3.0
rock_11::distortion::drv4,2.0
rock_13::lowpass::lp2000,2.5
