pair_id,mos
ambient_03::pitch_shift::-1st,3.5556
ambient_03::style_swap::swap_cross,1.1
ambient_03::time_stretch::-5pct,3.875
ambient_04::distortion::drv32,2.375
ambient_04::pitch_shift::+1st,3.0
ambient_04::time_stretch::+10pct,4.5
ambient_05::control::ctrl,4.875
ambient_05::pitch_shift::-2st,3.25
ambient_05::time_stretch::-5pct,4.75
ambient_06::lowpass::lp2000,3.625
ambient_06::pitch_shift::-4st,3.125
ambient_06::time_stretch::+20pct,4.125
ambient_07::lowpass::lp4000,3.625
ambient_07::time_stretch::-10pct,4.75
ambient_08::lowpass::lp8000,3.5
ambient_08::pitch_shift::+1st,4.125
ambient_09::distortion::drv12,3.8571
ambient_09::pitch_shift::+4st,2.5
ambient_11::control::ctrl,4.375
ambient_11::style_swap::swap_cross,1.1
ambient_11::time_stretch::+5pct,4.75
ambient_13::lowpass::lp8000,4.125
ambient_13::pitch_shift::+2st,2.75
ambient_13::time_stretch::-20pct,4.125
ambient_14::distortion::drv12,3.0
ambient_14::pitch_shift::-2st,3.0
ambient_15::distortion::drv4,4.7143
ambient_15::pitch_shift::+2st,3.2857
ambient_15::time_stretch::-20pct,3.625
classical_01::lowpass::lp2000,3.25
classical_01::pitch_shift::-1st,3.625
classical_01::style_swap::swap_cross,1.375
classical_02::distortion::drv4,4.625
classical_02::pitch_shift::-2st,3.0
classical_02::time_stretch::+5pct,4.3333
classical_02::time_stretch::-5pct,4.5
classical_03::lowpass::lp2000,4.575
classical_03::pitch_shift::-4st,2.4444
classical_03::time_stretch::-5pct,4.5
classical_04::lowpass::lp4000,3.0
classical_04::pitch_shift::+1st,3.0
classical_04::time_stretch::-10pct,3.7143
classical_05::distortion::drv32,2.375
classical_05::lowpass::lp8000,4.125
classical_05::time_stretch::+20pct,2.5
classical_06::distortion::drv12,2.25
classical_06::pitch_shift::+1st,3.5
classical_06::time_stretch::-20pct,4.1429
classical_07::control::ctrl,4.85
classical_07::pitch_shift::+2st,3.075
