pair_id,mos,n_ratings,sd,stimulus_id,stimulus_set,condition
ambient_03::pitch_shift::-1st,3.5556,9,0.527,stim_0006,matrix,pitch_shift:-1
ambient_03::style_swap::swap_cross,1.1,40,0.496,stim_0007,matrix,style_swap:cross_genre
ambient_03::time_stretch::-5pct,3.875,8,0.835,stim_0008,matrix,time_stretch:-5
ambient_04::distortion::drv32,2.375,8,0.744,stim_0009,matrix,distortion:32
ambient_04::pitch_shift::+1st,3.0,7,0.0,stim_0010,matrix,pitch_shift:1
ambient_04::time_stretch::+10pct,4.5,8,0.535,stim_0011,matrix,time_stretch:10
ambient_05::control::ctrl,4.875,8,0.354,stim_0012,matrix,control
ambient_05::pitch_shift::-2st,3.25,8,0.707,stim_0013,matrix,pitch_shift:-2
ambient_05::time_stretch::-5pct,4.75,8,0.463,stim_0014,matrix,time_stretch:-5
ambient_06::lowpass::lp2000,3.625,8,0.518,stim_0015,matrix,lowpass:2000
ambient_06::pitch_shift::-4st,3.125,8,0.991,stim_0016,matrix,pitch_shift:-4
ambient_06::time_stretch::+20pct,4.125,8,0.641,stim_0017,matrix,time_stretch:20
ambient_07::lowpass::lp4000,3.625,8,1.061,stim_0018,matrix,lowpass:4000
ambient_07::time_stretch::-10pct,4.75,8,0.463,stim_0019,matrix,time_stretch:-10
ambient_08::lowpass::lp8000,3.5,8,0.756,stim_0020,matrix,lowpass:8000
ambient_08::pitch_shift::+1st,4.125,8,0.641,stim_0021,matrix,pitch_shift:1
ambient_09::distortion::drv12,3.8571,7,1.069,stim_0022,matrix,distortion:12
ambient_09::pitch_shift::+4st,2.5,8,0.535,stim_0023,matrix,pitch_shift:4
ambient_11::control::ctrl,4.375,8,0.744,stim_0027,matrix,control
ambient_11::style_swap::swap_cross,1.1,40,0.304,stim_0028,matrix,style_swap:cross_genre
ambient_11::time_stretch::+5pct,4.75,8,0.463,stim_0029,matrix,time_stretch:5
ambient_13::lowpass::lp8000,4.125,8,0.835,stim_0033,matrix,lowpass:8000
ambient_13::pitch_shift::+2st,2.75,8,0.707,stim_0034,matrix,pitch_shift:2
ambient_13::time_stretch::-20pct,4.125,8,0.641,stim_0035,matrix,time_stretch:-20
ambient_14::distortion::drv12,3.0,8,0.756,stim_0036,matrix,distortion:12
ambient_14::pitch_shift::-2st,3.0,8,0.535,stim_0037,matrix,pitch_shift:-2
ambient_15::distortion::drv4,4.7143,7,0.488,stim_0038,matrix,distortion:4
ambient_15::pitch_shift::+2st,3.2857,7,0.488,stim_0039,matrix,pitch_shift:2
ambient_15::time_stretch::-20pct,3.625,8,0.518,stim_0040,matrix,time_stretch:-20
classical_01::lowpass::lp2000,3.25,8,0.886,stim_0041,matrix,lowpass:2000
classical_01::pitch_shift::-1st,3.625,8,0.744,stim_0042,matrix,pitch_shift:-1
classical_01::style_swap::swap_cross,1.375,8,0.744,stim_0043,matrix,style_swap:cross_genre
classical_02::distortion::drv4,4.625,40,0.628,stim_0044,matrix,distortion:4
classical_02::pitch_shift::-2st,3.0,8,0.0,stim_0045,matrix,pitch_shift:-2
classical_02::time_stretch::+5pct,4.3333,9,0.866,stim_0046,matrix,time_stretch:5
classical_02::time_stretch::-5pct,4.5,8,0.535,stim_0047,matrix,time_stretch:-5
classical_03::lowpass::lp2000,4.575,40,0.594,stim_0048,matrix,lowpass:2000
classical_03::pitch_shift::-4st,2.4444,9,0.726,stim_0049,matrix,pitch_shift:-4
classical_03::time_stretch::-5pct,4.5,8,0.756,stim_0050,matrix,time_stretch:-5
classical_04::lowpass::lp4000,3.0,7,0.816,stim_0051,matrix,lowpass:4000
classical_04::pitch_shift::+1st,3.0,8,0.535,stim_0052,matrix,pitch_shift:1
classical_04::time_stretch::-10pct,3.7143,7,0.488,stim_0053,matrix,time_stretch:-10
classical_05::distortion::drv32,2.375,8,0.518,stim_0054,matrix,distortion:32
classical_05::lowpass::lp8000,4.125,8,0.641,stim_0055,matrix,lowpass:8000
classical_05::time_stretch::+20pct,2.5,8,0.535,stim_0056,matrix,time_stretch:20
classical_06::distortion::drv12,2.25,8,0.463,stim_0057,matrix,distortion:12
classical_06::pitch_shift::+1st,3.5,8,0.756,stim_0058,matrix,pitch_shift:1
classical_06::time_stretch::-20pct,4.1429,7,0.69,stim_0059,matrix,time_stretch:-20
classical_07::control::ctrl,4.85,40,0.362,stim_0060,matrix,control
classical_07::pitch_shift::+2st,3.075,40,0.572,stim_0061,matrix,pitch_shift:2
classical_07::style_swap::swap_cross,1.2222,9,0.441,stim_0062,matrix,style_swap:cross_genre
classical_08::lowpass::lp8000,4.7778,9,0.441,stim_0063,matrix,lowpass:8000
classical_08::pitch_shift::-4st,3.2857,7,0.951,stim_0064,matrix,pitch_shift:-4
classical_08::time_stretch::+5pct,4.4,40,0.672,stim_0065,matrix,time_stretch:5
classical_09::control::ctrl,4.7143,7,0.488,stim_0066,matrix,control
