pair_id,mos
ambient_01::lowpass::lp4000,3.5
ambient_01::pitch_shift::+4st,3.75
ambient_01::time_stretch::-20pct,3.75
ambient_02::lowpass::lp8000,4.0
ambient_02::pitch_shift::-1st,4.0
ambient_02::time_stretch::-5pct,3.25
ambient_03::distortion::drv12,2.875
ambient_03::pitch_shift::+2st,4.125
ambient_04::pitch_shift::-1st,3.625
ambient_04::style_swap::swap_cross,1.75
ambient_04::time_stretch::+5pct,4.5
ambient_05::control::ctrl,4.75
ambient_05::pitch_shift::+4st,3.375
ambient_06::lowpass::lp4000,3.375
ambient_06::pitch_shift::+2st,3.0
ambient_06::time_stretch::+20pct,3.875
ambient_07::distortion::drv32,2.875
ambient_07::pitch_shift::-2st,3.375
ambient_07::time_stretch::+10pct,4.5
ambient_08::lowpass::lp2000,3.0
ambient_08::pitch_shift::+1st,3.375
ambient_08::time_stretch::+5pct,3.75
ambient_09::distortion::drv12,3.25
ambient_09::time_stretch::-10pct,3.625
ambient_09::time_stretch::-5pct,4.25
ambient_10::lowpass::lp8000,3.25
ambient_10::style_swap::swap_cross,2.35
ambient_10::time_stretch::+10pct,3.375
ambient_11::control::ctrl,4.625
ambient_11::pitch_shift::-4st,2.75
ambient_12::lowpass::lp2000,3.0
ambient_12::pitch_shift::-2st,2.875
ambient_12::time_stretch::+20pct,3.625
ambient_13::distortion::drv4,4.5
ambient_13::pitch_shift::-4st,2.375
ambient_14::distortion::drv32,2.625
ambient_14::pitch_shift::+1st,2.375
ambient_14::time_stretch::-20pct,3.875
ambient_15::distortion::drv4,4.25
ambient_15::time_stretch::-10pct,3.875
classical_01::lowpass::lp8000,4.25
classical_01::style_swap::swap_cross,2.125
classical_01::time_stretch::-20pct,4.375
classical_02::distortion::drv32,3.625
classical_02::pitch_shift::+2st,3.5
classical_02::time_stretch::-5pct,4.375
classical_03::lowpass::lp4000,4.625
classical_03::time_stretch::+10pct,4.375
classical_03::time_stretch::-10pct,4.125
classical_04::lowpass::lp8000,3.625
classical_04::pitch_shift::-4st,3.75
classical_04::time_stretch::-20pct,4.0
classical_05::pitch_shift::+4st,2.625
classical_05::pitch_shift::-1st,3.25
classical_06::lowpass::lp4000,3.25
classical_06::style_swap::swap_cross,2.125
classical_07::control::ctrl,4.425
classical_07::pitch_shift::+1st,3.25
classical_07::time_stretch::-5pct,3.5
classical_08::control::ctrl,4.625
classical_08::pitch_shift::+1st,3.375
classical_08::time_stretch::+20pct,4.125
classical_09::lowpass::lp2000,3.0
classical_09::time_stretch::-10pct,3.75
classical_10::lowpass::lp2000,3.25
classical_10::pitch_shift::-2st,3.375
classical_10::time_stretch::+5pct,4.5
classical_11::distortion::drv12,4.125
classical_11::pitch_shift::-2st,2.75
classical_11::time_stretch::+20pct,4.25
classical_12::distortion::drv4,4.45
classical_12::pitch_shift::-4st,2.875
classical_12::time_stretch::+5pct,4.5
classical_13::distortion::drv12,4.0
classical_13::pitch_shift::+4st,2.375
classical_14::distortion::drv4,4.5
classical_14::pitch_shift::+2st,3.375
classical_14::time_stretch::+10pct,4.125
classical_15::distortion::drv32,4.625
classical_15::pitch_shift::-1st,4.0
electronic_01::distortion::drv32,4.125
electronic_01::time_stretch::+5pct,3.875
electronic_02::lowpass::lp4000,3.25
electronic_03::pitch_shift::-2st,3.625
electronic_04::pitch_shift::-1st,3.875
electronic_05::distortion::drv4,4.5
electronic_05::time_stretch::-5pct,4.25
electronic_06::lowpass::lp2000,2.875
electronic_06::time_stretch::+10pct,3.625
electronic_07::distortion::drv4,3.5
electronic_07::style_swap::swap_cross,1.75
electronic_08::lowpass::lp2000,3.375
electronic_08::time_stretch::-20pct,3.375
electronic_09::distortion::drv12,2.875
electronic_09::pitch_shift::+1st,4.375
electronic_10::control::ctrl,4.575
electronic_10::time_stretch::+20pct,3.75
electronic_11::distortion::drv12,2.625
electronic_12::distortion::drv32,3.125
electronic_12::time_stretch::-10pct,2.6
electronic_13::lowpass::lp8000,4.125
electronic_14::control::ctrl,4.5
electronic_14::pitch_shift::+2st,3.875
electronic_15::pitch_shift::+4st,2.25
electronic_15::pitch_shift::-4st,2.875
folk_01::pitch_shift::-2st,3.5
folk_01::time_stretch::+10pct,3.5
folk_02::pitch_shift::+2st,3.875
folk_03::style_swap::swap_cross,2.0
folk_03::time_stretch::-5pct,4.125
folk_04::pitch_shift::-1st,3.875
folk_05::distortion::drv4,4.25
folk_06::pitch_shift::-4st,1.95
folk_07::pitch_shift::+1st,3.5
folk_08::lowpass::lp2000,3.25
folk_08::time_stretch::+20pct,3.75
folk_09::time_stretch::-10pct,4.125
folk_10::lowpass::lp8000,3.5
folk_11::control::ctrl,4.5
folk_12::pitch_shift::+4st,2.875
folk_12::time_stretch::+5pct,3.25
folk_13::lowpass::lp4000,2.375
folk_13::time_stretch::-20pct,3.875
folk_14::distortion::drv32,2.75
folk_15::distortion::drv12,3.75
jazz_01::pitch_shift::+4st,3.25
jazz_01::time_stretch::-5pct,3.875
jazz_02::control::ctrl,4.5
jazz_03::time_stretch::+10pct,3.25
jazz_03::time_stretch::-10pct,3.375
jazz_04::distortion::drv4,3.375
jazz_05::lowpass::lp8000,4.125
jazz_06::distortion::drv32,3.125
jazz_06::time_stretch::-20pct,2.875
jazz_07::style_swap::swap_cross,2.0
jazz_08::lowpass::lp4000,4.125
jazz_09::pitch_shift::-4st,3.0
jazz_10::lowpass::lp2000,2.75
jazz_11::pitch_shift::+2st,4.625
jazz_11::time_stretch::+20pct,3.5
jazz_12::pitch_shift::-2st,4.125
jazz_12::time_stretch::+5pct,4.125
jazz_13::pitch_shift::-1st,4.4
jazz_14::pitch_shift::+1st,3.875
jazz_15::distortion::drv12,3.375
rerank_ace/s01::cand04,2.75
rerank_ace/s01::cand07,2.125
rerank_ace/s02::cand01,3.625
rerank_ace/s02::cand04,3.75
rerank_ace/s03::cand02,2.875
rerank_ace/s03::cand06,2.5
rerank_ace/s04::cand03,2.25
rerank_ace/s04::cand07,3.5
rerank_ace/s05::cand01,3.5
rerank_ace/s05::cand07,3.625
rerank_ace/s06::cand01,1.875
rerank_ace/s06::cand02,3.625
rerank_ace/s07::cand04,3.5
rerank_ace/s07::cand06,3.875
rerank_ace/s08::cand02,3.75
