pair_id,mos,n_ratings,sd,stimulus_id,stimulus_set,condition
ambient_01::lowpass::lp4000,3.5,8,1.069,stim_0001,matrix,lowpass:4000
ambient_01::pitch_shift::+4st,3.75,8,1.035,stim_0002,matrix,pitch_shift:4
ambient_01::time_stretch::-20pct,3.75,8,0.886,stim_0003,matrix,time_stretch:-20
ambient_02::lowpass::lp8000,4.0,8,1.414,stim_0004,matrix,lowpass:8000
ambient_02::pitch_shift::-1st,4.0,8,0.926,stim_0005,matrix,pitch_shift:-1
ambient_02::time_stretch::-5pct,3.25,8,1.165,stim_0006,matrix,time_stretch:-5
ambient_03::distortion::drv12,2.875,8,0.641,stim_0007,matrix,distortion:12
ambient_03::pitch_shift::+2st,4.125,8,0.641,stim_0008,matrix,pitch_shift:2
ambient_04::pitch_shift::-1st,3.625,8,1.061,stim_0009,matrix,pitch_shift:-1
ambient_04::style_swap::swap_cross,1.75,8,0.707,stim_0010,matrix,style_swap:cross_genre
ambient_04::time_stretch::+5pct,4.5,8,0.535,stim_0011,matrix,time_stretch:5
ambient_05::control::ctrl,4.75,8,0.707,stim_0012,matrix,control
ambient_05::pitch_shift::+4st,3.375,8,0.916,stim_0013,matrix,pitch_shift:4
ambient_06::lowpass::lp4000,3.375,8,0.518,stim_0014,matrix,lowpass:4000
ambient_06::pitch_shift::+2st,3.0,8,0.535,stim_0015,matrix,pitch_shift:2
ambient_06::time_stretch::+20pct,3.875,8,0.641,stim_0016,matrix,time_stretch:20
ambient_07::distortion::drv32,2.875,8,1.126,stim_0017,matrix,distortion:32
ambient_07::pitch_shift::-2st,3.375,8,1.061,stim_0018,matrix,pitch_shift:-2
ambient_07::time_stretch::+10pct,4.5,8,0.535,stim_0019,matrix,time_stretch:10
ambient_08::lowpass::lp2000,3.0,8,0.756,stim_0020,matrix,lowpass:2000
ambient_08::pitch_shift::+1st,3.375,8,1.061,stim_0021,matrix,pitch_shift:1
ambient_08::time_stretch::+5pct,3.75,8,0.886,stim_0022,matrix,time_stretch:5
ambient_09::distortion::drv12,3.25,8,0.886,stim_0023,matrix,distortion:12
ambient_09::time_stretch::-10pct,3.625,8,0.916,stim_0024,matrix,time_stretch:-10
ambient_09::time_stretch::-5pct,4.25,8,0.707,stim_0025,matrix,time_stretch:-5
ambient_10::lowpass::lp8000,3.25,8,0.707,stim_0026,matrix,lowpass:8000
ambient_10::style_swap::swap_cross,2.35,40,0.864,stim_0027,matrix,style_swap:cross_genre
ambient_10::time_stretch::+10pct,3.375,8,1.061,stim_0028,matrix,time_stretch:10
ambient_11::control::ctrl,4.625,8,1.061,stim_0029,matrix,control
ambient_11::pitch_shift::-4st,2.75,8,1.035,stim_0030,matrix,pitch_shift:-4
ambient_12::lowpass::lp2000,3.0,8,0.756,stim_0031,matrix,lowpass:2000
