loop_position,stimulus_id,pair_id,stimulus_set,condition,perturbation,attention_check,C_uniform
1,stim_0089,electronic_05::lowpass::lp8000,matrix,lowpass:8000,lowpass,,0.790188
2,stim_0054,classical_05::distortion::drv32,matrix,distortion:32,distortion,,0.711732
3,stim_0119,folk_12::pitch_shift::-1st,matrix,pitch_shift:-1,pitch_shift,,0.759162
4,stim_0036,ambient_14::distortion::drv12,matrix,distortion:12,distortion,,0.781138
5,stim_0011,ambient_04::time_stretch::+10pct,matrix,time_stretch:10,time_stretch,,0.891648
6,stim_0061,classical_07::pitch_shift::+2st,matrix,pitch_shift:2,pitch_shift,,0.674644
7,stim_0095,electronic_10::control::ctrl,matrix,control,control,expect_high,0.948804
8,stim_0129,jazz_03::time_stretch::-10pct,matrix,time_stretch:-10,time_stretch,,0.824907
9,stim_0117,folk_06::time_stretch::-10pct,matrix,time_stretch:-10,time_stretch,,0.893311
10,stim_0017,ambient_06::time_stretch::+20pct,matrix,time_stretch:20,time_stretch,,0.808102
11,stim_0139,jazz_12::control::ctrl,matrix,control,control,expect_high,0.962648
12,stim_0183,rock_06::pitch_shift::+1st,matrix,pitch_shift:1,pitch_shift,,0.898999
13,stim_0013,ambient_05::pitch_shift::-2st,matrix,pitch_shift:-2,pitch_shift,,0.77446
14,stim_0016,ambient_06::pitch_shift::-4st,matrix,pitch_shift:-4,pitch_shift,,0.7366
15,stim_0092,electronic_07::lowpass::lp2000,matrix,lowpass:2000,lowpass,,0.686249
16,stim_0060,classical_07::control::ctrl,matrix,control,control,expect_high,0.923348
17,stim_0070,classical_10::pitch_shift::+4st,matrix,pitch_shift:4,pitch_shift,,0.759161
18,stim_0179,rock_05::lowpass::lp8000,matrix,lowpass:8000,lowpass,,0.790042
19,stim_0141,jazz_13::distortion::drv4,matrix,distortion:4,distortion,,0.92288
20,stim_0043,classical_01::style_swap::swap_cross,matrix,style_swap:cross_genre,style_swap,expect_low,0.647342
21,stim_0033,ambient_13::lowpass::lp8000,matrix,lowpass:8000,lowpass,,0.80912
22,stim_0065,classical_08::time_stretch::+5pct,matrix,time_stretch:5,time_stretch,,0.90753
23,stim_0050,classical_03::time_stretch::-5pct,matrix,time_stretch:-5,time_stretch,,0.877074
24,stim_0040,ambient_15::time_stretch::-20pct,matrix,time_stretch:-20,time_stretch,,0.845058
25,stim_0015,ambient_06::lowpass::lp2000,matrix,lowpass:2000,lowpass,,0.733611
26,stim_0172,rock_01::pitch_shift::+2st,matrix,pitch_shift:2,pitch_shift,,0.852796
27,stim_0132,jazz_07::distortion::drv12,matrix,distortion:12,distortion,,0.772623
28,stim_0048,classical_03::lowpass::lp2000,matrix,lowpass:2000,lowpass,,0.951708
29,stim_0106,folk_01::control::ctrl,matrix,control,control,expect_high,0.941725
30,stim_0127,jazz_02::lowpass::lp2000,matrix,lowpass:2000,lowpass,,0.755659
31,stim_0140,jazz_12::time_stretch::-20pct,matrix,time_stretch:-20,time_stretch,,0.724187
32,stim_0007,ambient_03::style_swap::swap_cross,matrix,style_swap:cross_genre,style_swap,expect_low,0.508636
33,stim_0028,ambient_11::style_swap::swap_cross,matrix,style_swap:cross_genre,style_swap,expect_low,0.657749
34,stim_0077,classical_12::time_stretch::+20pct,matrix,time_stretch:20,time_stretch,,0.893635
35,stim_0137,jazz_11::pitch_shift::+4st,matrix,pitch_shift:4,pitch_shift,,0.846653
36,stim_0126,jazz_01::pitch_shift::-2st,matrix,pitch_shift:-2,pitch_shift,,0.8436
37,stim_0174,rock_04::lowpass::lp4000,matrix,lowpass:4000,lowpass,,0.732356
38,stim_0044,classical_02::distortion::drv4,matrix,distortion:4,distortion,,0.935438
39,stim_0085,electronic_03::pitch_shift::+1st,matrix,pitch_shift:1,pitch_shift,,0.838528
40,stim_0008,ambient_03::time_stretch::-5pct,matrix,time_stretch:-5,time_stretch,,0.80487
41,stim_0094,electronic_07::time_stretch::+5pct,matrix,time_stretch:5,time_stretch,,0.852717
42,stim_0027,ambient_11::control::ctrl,matrix,control,control,expect_high,0.952626
43,stim_0084,electronic_03::distortion::drv32,matrix,distortion:32,distortion,,0.743713
