loop_index,stimulus_id
1,stim_0089
2,stim_0054
3,stim_0119
4,stim_0036
5,stim_0011
6,stim_0061
7,stim_0095
8,stim_0129
9,stim_0117
10,stim_0017
12,stim_0139
13,stim_0183
14,stim_0013
15,stim_0016
16,stim_0092
17,stim_0060
19,stim_0070
20,stim_0179
21,stim_0141
22,stim_0043
24,stim_0033
25,stim_0065
26,stim_0050
27,stim_0040
28,stim_0015
29,stim_0172
30,stim_0132
31,stim_0048
32,stim_0106
33,stim_0127
34,stim_0140
35,stim_0007
36,stim_0028
37,stim_0077
39,stim_0137
40,stim_0126
41,stim_0174
42,stim_0044
43,stim_0085
44,stim_0008
45,stim_0094
47,stim_0027
48,stim_0084
