trial_id,seed,opt_a_role,opt_b_role,c_pick,rival_pick,c_margin,settles,musecp_pick
t001,s01,rival,c,s01::cand04,s01::cand05,0.0309,clap_htsat;cocola,c
t002,s01,rival,c,s01::cand05,s01::cand02,0.0482,scs,c
t003,s02,c,rival,s02::cand01,s02::cand04,0.061,C_noS;cocola,rival
t004,s02,rival,c,s02::cand00,s02::cand07,0.0398,clap_htsat,rival
t005,s03,c,rival,s03::cand05,s03::cand06,0.0318,C_noS;clap_music;scs,c
t006,s03,rival,c,s03::cand00,s03::cand06,0.0409,clap_htsat,c
t007,s04,rival,c,s04::cand07,s04::cand02,0.0436,clap_music;cocola,c
t008,s04,c,rival,s04::cand07,s04::cand00,0.0387,scs,rival
t009,s06,c,rival,s06::cand02,s06::cand01,0.0782,C_noS;clap_music;cocola;scs,c
t010,s08,rival,c,s08::cand00,s08::cand07,0.0364,clap_music;cocola,c
t011,s09,rival,c,s09::cand01,s09::cand06,0.0765,C_noS;clap_music;cocola;scs,rival
t012,s09,c,rival,s09::cand07,s09::cand05,0.0993,clap_htsat,c
t013,s10,c,rival,s10::cand02,s10::cand04,0.0537,clap_music;cocola;scs,c
t014,s10,c,rival,s10::cand06,s10::cand07,0.0488,clap_htsat,c
t015,s11,rival,c,s11::cand06,s11::cand05,0.0362,C_noS;clap_htsat;scs,c
t016,s11,rival,c,s11::cand02,s11::cand06,0.0353,cocola,rival
t017,s12,c,rival,s12::cand03,s12::cand06,0.055,clap_music,c
t018,s12,c,rival,s12::cand00,s12::cand01,0.0428,clap_htsat,rival
t019,s13,rival,c,s13::cand03,s13::cand01,0.0611,clap_music;cocola,c
t020,s14,rival,c,s14::cand04,s14::cand02,0.0691,clap_htsat;clap_music;scs,c
t021,s14,c,rival,s14::cand00,s14::cand06,0.0958,cocola,c
t022,s15,rival,c,s15::cand04,s15::cand02,0.0529,C_noS;scs,rival
t023,s15,c,rival,s15::cand01,s15::cand03,0.0879,cocola,rival
t024,s15,c,rival,s15::cand01,s15::cand00,0.0531,clap_htsat,rival
t025,s16,c,rival,s16::cand01,s16::cand02,0.0397,clap_htsat;clap_music;scs,rival
t026,s16,c,rival,s16::cand06,s16::cand03,0.1446,cocola,c
t027,s17,c,rival,s17::cand02,s17::cand04,0.0615,clap_htsat;cocola,c
t028,s18,rival,c,s18::cand00,s18::cand05,0.0325,clap_htsat;clap_music;scs,rival
t029,s19,rival,c,s19::cand07,s19::cand01,0.0454,clap_music;cocola;scs,c
t030,s19,rival,c,s19::cand02,s19::cand01,0.0536,clap_htsat,c
t031,s20,c,rival,s20::cand02,s20::cand04,0.0334,cocola;scs,rival
t032,s21,rival,c,s21::cand03,s21::cand00,0.0492,C_noS;clap_htsat;clap_music;scs,rival
t033,s21,c,rival,s21::cand01,s21::cand02,0.0671,cocola,c
t034,s22,rival,c,s22::cand01,s22::cand05,0.1107,clap_htsat;clap_music;scs,c
t035,s22,c,rival,s22::cand00,s22::cand03,0.1881,cocola,c
t036,s23,c,rival,s23::cand07,s23::cand00,0.0481,clap_htsat;cocola,c
t037,s23,c,rival,s23::cand05,s23::cand06,0.0322,C_noS;clap_music,rival
t038,s23,rival,c,s23::cand04,s23::cand00,0.0411,scs,c
t039,s24,rival,c,s24::cand00,s24::cand03,0.0457,C_noS;clap_music;scs,rival
t040,s24,c,rival,s24::cand04,s24::cand07,0.1169,cocola,c
t041,s25,c,rival,s25::cand06,s25::cand07,0.0315,C_noS;clap_music;cocola;scs,rival
t042,s26,rival,c,s26::cand04,s26::cand07,0.1037,clap_htsat;cocola,c
t043,s26,c,rival,s26::cand04,s26::cand02,0.0616,scs,rival
t044,s27,c,rival,s27::cand06,s27::cand02,0.0975,clap_htsat;cocola;scs,c
t045,s27,c,rival,s27::cand06,s27::cand07,0.068,clap_music,rival
t046,s28,rival,c,s28::cand03,s28::cand02,0.054,C_noS;clap_htsat;clap_music;cocola;scs,rival
t047,s29,rival,c,s29::cand03,s29::cand00,0.0482,clap_htsat;cocola,rival
t048,s29,rival,c,s29::cand03,s29::cand07,0.0641,scs,c
t049,s30,rival,c,s30::cand02,s30::cand04,0.0601,clap_htsat;cocola,rival
t050,s30,rival,c,s30::cand06,s30::cand03,0.0463,clap_music,c
t051,s31,rival,c,s31::cand00,s31::cand04,0.0394,clap_htsat;clap_music;scs,c
t052,s31,rival,c,s31::cand05,s31::cand07,0.1407,cocola,c
t053,s31,rival,c,s31::cand00,s31::cand01,0.0562,C_noS,rival
t054,s32,c,rival,s32::cand01,s32::cand03,0.0406,C_noS;clap_htsat;clap_music;cocola;scs,rival
t055,s34,c,rival,s34::cand05,s34::cand07,0.0482,C_noS;clap_htsat;scs,c
t056,s34,c,rival,s34::cand04,s34::cand00,0.0623,clap_music,c
t057,s34,c,rival,s34::cand06,s34::cand00,0.032,cocola,c
t058,s35,rival,c,s35::cand06,s35::cand04,0.0445,clap_music;cocola;scs,c
t059,s36,c,rival,s36::cand02,s36::cand03,0.0324,clap_music;scs,c
t060,s36,rival,c,s36::cand03,s36::cand01,0.033,cocola,c
t061,s36,c,rival,s36::cand01,s36::cand06,0.0309,clap_htsat,c
t062,s36,c,rival,s36::cand03,s36::cand00,0.0306,C_noS,rival
t063,s38,rival,c,s38::cand02,s38::cand06,0.0315,C_noS;cocola;scs,c
t064,s38,rival,c,s38::cand00,s38::cand01,0.0324,clap_htsat,c
t065,s39,c,rival,s39::cand04,s39::cand03,0.0587,C_noS;clap_htsat;clap_music;cocola;scs,rival
t066,s40,c,rival,s40::cand04,s40::cand01,0.0381,clap_htsat;cocola;scs,rival
t067,s21,rival,c,s21::cand06,s21::cand00,0.0631,C_noS,c
t068,s34,c,rival,s34::cand04,s34::cand07,0.0497,C_noS,c
t069,s32,rival,c,s32::cand01,s32::cand00,0.0491,C_noS,rival
t070,s25,c,rival,s25::cand03,s25::cand07,0.0354,C_noS,rival
t071,s14,rival,c,s14::cand07,s14::cand06,0.0286,C_noS,c
t072,s22,rival,c,s22::cand04,s22::cand06,0.0267,C_noS,c
t073,s27,c,rival,s27::cand06,s27::cand04,0.025,C_noS,c
t074,s30,rival,c,s30::cand02,s30::cand03,0.0243,C_noS,rival
t075,s04,c,rival,s04::cand06,s04::cand01,0.0231,C_noS,rival
t076,s40,rival,c,s40::cand04,s40::cand05,0.0226,C_noS,c
t077,s01,c,rival,s01::cand05,s01::cand06,0.0218,C_noS,rival
t078,s31,rival,c,s31::cand06,s31::cand01,0.0821,clap_music,c
t079,s19,c,rival,s19::cand07,s19::cand00,0.0467,cocola,rival
t080,s17,rival,c,s17::cand03,s17::cand07,0.0299,scs,rival
