trial_id,file_a,file_b
t001,t001_A.mp3,t001_B.mp3
t002,t002_A.mp3,t002_B.mp3
t003,t003_A.mp3,t003_B.mp3
t004,t004_A.mp3,t004_B.mp3
t005,t005_A.mp3,t005_B.mp3
t006,t006_A.mp3,t006_B.mp3
t007,t007_A.mp3,t007_B.mp3
t008,t008_A.mp3,t008_B.mp3
t009,t009_A.mp3,t009_B.mp3
t010,t010_A.mp3,t010_B.mp3
t011,t011_A.mp3,t011_B.mp3
t012,t012_A.mp3,t012_B.mp3
t013,t013_A.mp3,t013_B.mp3
t014,t014_A.mp3,t014_B.mp3
t015,t015_A.mp3,t015_B.mp3
t016,t016_A.mp3,t016_B.mp3
t017,t017_A.mp3,t017_B.mp3
t018,t018_A.mp3,t018_B.mp3
t019,t019_A.mp3,t019_B.mp3
t020,t020_A.mp3,t020_B.mp3
t021,t021_A.mp3,t021_B.mp3
t022,t022_A.mp3,t022_B.mp3
t023,t023_A.mp3,t023_B.mp3
t024,t024_A.mp3,t024_B.mp3
t025,t025_A.mp3,t025_B.mp3
t026,t026_A.mp3,t026_B.mp3
t027,t027_A.mp3,t027_B.mp3
t028,t028_A.mp3,t028_B.mp3
t029,t029_A.mp3,t029_B.mp3
t030,t030_A.mp3,t030_B.mp3
t031,t031_A.mp3,t031_B.mp3
t032,t032_A.mp3,t032_B.mp3
t033,t033_A.mp3,t033_B.mp3
t034,t034_A.mp3,t034_B.mp3
t035,t035_A.mp3,t035_B.mp3
t036,t036_A.mp3,t036_B.mp3
t037,t037_A.mp3,t037_B.mp3
t038,t038_A.mp3,t038_B.mp3
t039,t039_A.mp3,t039_B.mp3
t040,t040_A.mp3,t040_B.mp3
t041,t041_A.mp3,t041_B.mp3
t042,t042_A.mp3,t042_B.mp3
t043,t043_A.mp3,t043_B.mp3
t044,t044_A.mp3,t044_B.mp3
t045,t045_A.mp3,t045_B.mp3
t046,t046_A.mp3,t046_B.mp3
t047,t047_A.mp3,t047_B.mp3
t048,t048_A.mp3,t048_B.mp3
t049,t049_A.mp3,t049_B.mp3
t050,t050_A.mp3,t050_B.mp3
t051,t051_A.mp3,t051_B.mp3
t052,t052_A.mp3,t052_B.mp3
t053,t053_A.mp3,t053_B.mp3
t054,t054_A.mp3,t054_B.mp3
t055,t055_A.mp3,t055_B.mp3
t056,t056_A.mp3,t056_B.mp3
t057,t057_A.mp3,t057_B.mp3
t058,t058_A.mp3,t058_B.mp3
t059,t059_A.mp3,t059_B.mp3
t060,t060_A.mp3,t060_B.mp3
t061,t061_A.mp3,t061_B.mp3
t062,t062_A.mp3,t062_B.mp3
t063,t063_A.mp3,t063_B.mp3
t064,t064_A.mp3,t064_B.mp3
t065,t065_A.mp3,t065_B.mp3
t066,t066_A.mp3,t066_B.mp3
t067,t067_A.mp3,t067_B.mp3
t068,t068_A.mp3,t068_B.mp3
t069,t069_A.mp3,t069_B.mp3
t070,t070_A.mp3,t070_B.mp3
t071,t071_A.mp3,t071_B.mp3
t072,t072_A.mp3,t072_B.mp3
t073,t073_A.mp3,t073_B.mp3
t074,t074_A.mp3,t074_B.mp3
t075,t075_A.mp3,t075_B.mp3
t076,t076_A.mp3,t076_B.mp3
t077,t077_A.mp3,t077_B.mp3
t078,t078_A.mp3,t078_B.mp3
t079,t079_A.mp3,t079_B.mp3
t080,t080_A.mp3,t080_B.mp3
