pair_id,block,stimulus_set,source_id,genre,perturbation,condition,magnitude,ref_path,cand_path,score_H,score_T,score_R,score_S,C_uniform
classical_07::control::ctrl,anchor,matrix,classical_07,classical,control,control,0.0,perturbations/audio/classical_07__A.wav,perturbations/audio/classical_07__control__ctrl.wav,1.0,1.0,1.0,0.726878,0.923348
folk_01::control::ctrl,anchor,matrix,folk_01,folk,control,control,0.0,perturbations/audio/folk_01__A.wav,perturbations/audio/folk_01__control__ctrl.wav,1.0,1.0,1.0,0.786495,0.941725
jazz_12::control::ctrl,anchor,matrix,jazz_12,jazz,control,control,0.0,perturbations/audio/jazz_12__A.wav,perturbations/audio/jazz_12__control__ctrl.wav,1.0,1.0,1.0,0.858757,0.962648
ambient_12::distortion::drv32,anchor,matrix,ambient_12,ambient,distortion,distortion:32,32.0,perturbations/audio/ambient_12__A.wav,perturbations/audio/ambient_12__distortion__drv32.wav,0.999091,0.483179,0.988339,0.424497,0.670847
jazz_07::distortion::drv12,anchor,matrix,jazz_07,jazz,distortion,distortion:12,12.0,perturbations/audio/jazz_07__A.wav,perturbations/audio/jazz_07__distortion__drv12.wav,0.999672,0.672901,0.766822,0.690822,0.772623
classical_02::distortion::drv4,anchor,matrix,classical_02,classical,distortion,distortion:4,4.0,perturbations/audio/classical_02__A.wav,perturbations/audio/classical_02__distortion__drv4.wav,1.0,0.971852,0.999929,0.787935,0.935438
electronic_07::lowpass::lp2000,anchor,matrix,electronic_07,electronic,lowpass,lowpass:2000,2000.0,perturbations/audio/electronic_07__A.wav,perturbations/audio/electronic_07__lowpass__lp2000.wav,0.999806,0.343797,0.974246,0.662279,0.686249
rock_05::lowpass::lp8000,anchor,matrix,rock_05,rock,lowpass,lowpass:8000,8000.0,perturbations/audio/rock_05__A.wav,perturbations/audio/rock_05__lowpass__lp8000.wav,0.999536,0.509874,0.984144,0.776751,0.790042
classical_03::lowpass::lp2000,anchor,matrix,classical_03,classical,lowpass,lowpass:2000,2000.0,perturbations/audio/classical_03__A.wav,perturbations/audio/classical_03__lowpass__lp2000.wav,1.0,0.956241,0.999435,0.858405,0.951708
classical_07::pitch_shift::+2st,anchor,matrix,classical_07,classical,pitch_shift,pitch_shift:2,2.0,perturbations/audio/classical_07__A.wav,perturbations/audio/classical_07__pitch_shift__+2st.wav,0.502097,0.669379,0.975721,0.631703,0.674644
rock_06::pitch_shift::+1st,anchor,matrix,rock_06,rock,pitch_shift,pitch_shift:1,1.0,perturbations/audio/rock_06__A.wav,perturbations/audio/rock_06__pitch_shift__+1st.wav,0.947815,0.83086,0.989846,0.83795,0.898999
ambient_03::style_swap::swap_cross,anchor,matrix,ambient_03,ambient,style_swap,style_swap:cross_genre,nan,perturbations/audio/ambient_03__A.wav,perturbations/audio/ambient_03__style_swap__swap_cross.wav,0.806611,0.376423,0.373747,0.589807,0.508636
ambient_11::style_swap::swap_cross,anchor,matrix,ambient_11,ambient,style_swap,style_swap:cross_genre,nan,perturbations/audio/ambient_11__A.wav,perturbations/audio/ambient_11__style_swap__swap_cross.wav,0.91437,0.374194,0.747802,0.731537,0.657749
jazz_12::time_stretch::-20pct,anchor,matrix,jazz_12,jazz,time_stretch,time_stretch:-20,-20.0,perturbations/audio/jazz_12__A.wav,perturbations/audio/jazz_12__time_stretch__-20pct.wav,0.990616,0.753734,0.43562,0.845612,0.724187
classical_08::time_stretch::+5pct,anchor,matrix,classical_08,classical,time_stretch,time_stretch:5,5.0,perturbations/audio/classical_08__A.wav,perturbations/audio/classical_08__time_stretch__+5pct.wav,0.998499,0.862341,0.945829,0.832922,0.90753
ambient_11::control::ctrl,block1,matrix,ambient_11,ambient,control,control,0.0,perturbations/audio/ambient_11__A.wav,perturbations/audio/ambient_11__control__ctrl.wav,0.999997,0.992369,0.999991,0.829892,0.952626
electronic_10::control::ctrl,block1,matrix,electronic_10,electronic,control,control,0.0,perturbations/audio/electronic_10__A.wav,perturbations/audio/electronic_10__control__ctrl.wav,1.0,1.0,1.0,0.810411,0.948804
ambient_14::distortion::drv12,block1,matrix,ambient_14,ambient,distortion,distortion:12,12.0,perturbations/audio/ambient_14__A.wav,perturbations/audio/ambient_14__distortion__drv12.wav,0.989304,0.555726,0.969931,0.698201,0.781138
classical_05::distortion::drv32,block1,matrix,classical_05,classical,distortion,distortion:32,32.0,perturbations/audio/classical_05__A.wav,perturbations/audio/classical_05__distortion__drv32.wav,0.992742,0.462087,0.937098,0.596926,0.711732
electronic_03::distortion::drv32,block1,matrix,electronic_03,electronic,distortion,distortion:32,32.0,perturbations/audio/electronic_03__A.wav,perturbations/audio/electronic_03__distortion__drv32.wav,0.997222,0.489519,0.970613,0.645676,0.743713
jazz_13::distortion::drv4,block1,matrix,jazz_13,jazz,distortion,distortion:4,4.0,perturbations/audio/jazz_13__A.wav,perturbations/audio/jazz_13__distortion__drv4.wav,0.999466,0.794882,0.99447,0.91816,0.92288
jazz_02::lowpass::lp2000,block1,matrix,jazz_02,jazz,lowpass,lowpass:2000,2000.0,perturbations/audio/jazz_02__A.wav,perturbations/audio/jazz_02__lowpass__lp2000.wav,0.999951,0.438284,0.981574,0.757959,0.755659
ambient_06::lowpass::lp2000,block1,matrix,ambient_06,ambient,lowpass,lowpass:2000,2000.0,perturbations/audio/ambient_06__A.wav,perturbations/audio/ambient_06__lowpass__lp2000.wav,0.999978,0.39032,0.975047,0.761074,0.733611
rock_04::lowpass::lp4000,block1,matrix,rock_04,rock,lowpass,lowpass:4000,4000.0,perturbations/audio/rock_04__A.wav,perturbations/audio/rock_04__lowpass__lp4000.wav,0.999998,0.41205,0.916593,0.761662,0.732356
ambient_13::lowpass::lp8000,block1,matrix,ambient_13,ambient,lowpass,lowpass:8000,8000.0,perturbations/audio/ambient_13__A.wav,perturbations/audio/ambient_13__lowpass__lp8000.wav,1.0,0.536139,0.984054,0.812374,0.80912
electronic_05::lowpass::lp8000,block1,matrix,electronic_05,electronic,lowpass,lowpass:8000,8000.0,perturbations/audio/electronic_05__A.wav,perturbations/audio/electronic_05__lowpass__lp8000.wav,0.999999,0.419915,0.998368,0.929973,0.790188
folk_12::pitch_shift::-1st,block1,matrix,folk_12,folk,pitch_shift,pitch_shift:-1,-1.0,perturbations/audio/folk_12__A.wav,perturbations/audio/folk_12__pitch_shift__-1st.wav,0.536185,0.859081,0.996037,0.723957,0.759162
ambient_05::pitch_shift::-2st,block1,matrix,ambient_05,ambient,pitch_shift,pitch_shift:-2,-2.0,perturbations/audio/ambient_05__A.wav,perturbations/audio/ambient_05__pitch_shift__-2st.wav,0.677017,0.699875,0.976582,0.777441,0.77446
jazz_01::pitch_shift::-2st,block1,matrix,jazz_01,jazz,pitch_shift,pitch_shift:-2,-2.0,perturbations/audio/jazz_01__A.wav,perturbations/audio/jazz_01__pitch_shift__-2st.wav,0.986926,0.692887,0.992331,0.74635,0.8436
ambient_06::pitch_shift::-4st,block1,matrix,ambient_06,ambient,pitch_shift,pitch_shift:-4,-4.0,perturbations/audio/ambient_06__A.wav,perturbations/audio/ambient_06__pitch_shift__-4st.wav,0.933492,0.608839,0.685669,0.75544,0.7366
ambient_02::pitch_shift::-4st,block1,matrix,ambient_02,ambient,pitch_shift,pitch_shift:-4,-4.0,perturbations/audio/ambient_02__A.wav,perturbations/audio/ambient_02__pitch_shift__-4st.wav,0.979569,0.675632,0.939457,0.651064,0.797648
electronic_03::pitch_shift::+1st,block1,matrix,electronic_03,electronic,pitch_shift,pitch_shift:1,1.0,perturbations/audio/electronic_03__A.wav,perturbations/audio/electronic_03__pitch_shift__+1st.wav,0.835002,0.836081,0.994608,0.712004,0.838528
rock_01::pitch_shift::+2st,block1,matrix,rock_01,rock,pitch_shift,pitch_shift:2,2.0,perturbations/audio/rock_01__A.wav,perturbations/audio/rock_01__pitch_shift__+2st.wav,0.881669,0.760299,0.988921,0.797864,0.852796
classical_10::pitch_shift::+4st,block1,matrix,classical_10,classical,pitch_shift,pitch_shift:4,4.0,perturbations/audio/classical_10__A.wav,perturbations/audio/classical_10__pitch_shift__+4st.wav,0.728684,0.641817,0.994792,0.713927,0.759161
jazz_11::pitch_shift::+4st,block1,matrix,jazz_11,jazz,pitch_shift,pitch_shift:4,4.0,perturbations/audio/jazz_11__A.wav,perturbations/audio/jazz_11__pitch_shift__+4st.wav,0.94394,0.677091,0.983693,0.81728,0.846653
classical_01::style_swap::swap_cross,block1,matrix,classical_01,classical,style_swap,style_swap:cross_genre,nan,perturbations/audio/classical_01__A.wav,perturbations/audio/classical_01__style_swap__swap_cross.wav,0.756144,0.384217,0.93459,0.646745,0.647342
jazz_03::time_stretch::-10pct,block1,matrix,jazz_03,jazz,time_stretch,time_stretch:-10,-10.0,perturbations/audio/jazz_03__A.wav,perturbations/audio/jazz_03__time_stretch__-10pct.wav,0.999376,0.916906,0.625293,0.808133,0.824907
folk_06::time_stretch::-10pct,block1,matrix,folk_06,folk,time_stretch,time_stretch:-10,-10.0,perturbations/audio/folk_06__A.wav,perturbations/audio/folk_06__time_stretch__-10pct.wav,0.997732,0.903953,0.935872,0.754456,0.893311
ambient_15::time_stretch::-20pct,block1,matrix,ambient_15,ambient,time_stretch,time_stretch:-20,-20.0,perturbations/audio/ambient_15__A.wav,perturbations/audio/ambient_15__time_stretch__-20pct.wav,0.996613,0.821128,0.805354,0.773788,0.845058
ambient_03::time_stretch::-5pct,block1,matrix,ambient_03,ambient,time_stretch,time_stretch:-5,-5.0,perturbations/audio/ambient_03__A.wav,perturbations/audio/ambient_03__time_stretch__-5pct.wav,0.998781,0.938444,0.541582,0.826722,0.80487
classical_03::time_stretch::-5pct,block1,matrix,classical_03,classical,time_stretch,time_stretch:-5,-5.0,perturbations/audio/classical_03__A.wav,perturbations/audio/classical_03__time_stretch__-5pct.wav,0.998174,0.900534,0.793413,0.829734,0.877074
ambient_04::time_stretch::+10pct,block1,matrix,ambient_04,ambient,time_stretch,time_stretch:10,10.0,perturbations/audio/ambient_04__A.wav,perturbations/audio/ambient_04__time_stretch__+10pct.wav,0.997237,0.867047,0.969424,0.754081,0.891648
