stimulus_id,file,pair_id,block,stimulus_set,condition,perturbation,genre,source_id,attention_check,attenuated,duration_s,C_uniform,sha256_16
stim_0001,stim_0001.mp3,ambient_01::lowpass::lp4000,block3,matrix,lowpass:4000,lowpass,ambient,ambient_01,,1.0,13.0,0.771029,661c7647cd924a96
stim_0002,stim_0002.mp3,ambient_01::time_stretch::-10pct,block2,matrix,time_stretch:-10,time_stretch,ambient,ambient_01,,1.0,13.0,0.881542,321d3bf016acf0a1
stim_0003,stim_0003.mp3,ambient_02::lowpass::lp2000,block2,matrix,lowpass:2000,lowpass,ambient,ambient_02,,1.0,13.0,0.693404,79c3216ee34cb440
stim_0004,stim_0004.mp3,ambient_02::pitch_shift::-4st,block1,matrix,pitch_shift:-4,pitch_shift,ambient,ambient_02,,1.0,13.0,0.797648,7c72c03fd83076c3
stim_0005,stim_0005.mp3,ambient_02::time_stretch::+10pct,block2,matrix,time_stretch:10,time_stretch,ambient,ambient_02,,1.0,13.0,0.763446,789f7d1dc5159e1e
stim_0006,stim_0006.mp3,ambient_03::pitch_shift::-1st,block3,matrix,pitch_shift:-1,pitch_shift,ambient,ambient_03,,0.25,13.0,0.863175,b600e2870803a76b
stim_0007,stim_0007.mp3,ambient_03::style_swap::swap_cross,anchor,matrix,style_swap:cross_genre,style_swap,ambient,ambient_03,expect_low,0.25,13.0,0.508636,0e7fdfef6b1f6987
stim_0008,stim_0008.mp3,ambient_03::time_stretch::-5pct,block1,matrix,time_stretch:-5,time_stretch,ambient,ambient_03,,0.25,13.0,0.80487,d699d2f258a37d84
stim_0009,stim_0009.mp3,ambient_04::distortion::drv32,block2,matrix,distortion:32,distortion,ambient,ambient_04,,1.0,13.0,0.731754,eade8bdd24c7e3bf
stim_0010,stim_0010.mp3,ambient_04::pitch_shift::+1st,block4,matrix,pitch_shift:1,pitch_shift,ambient,ambient_04,,1.0,13.0,0.710932,a877b2caf08fe157
stim_0011,stim_0011.mp3,ambient_04::time_stretch::+10pct,block1,matrix,time_stretch:10,time_stretch,ambient,ambient_04,,1.0,13.0,0.891648,35e3d589bd078e11
stim_0012,stim_0012.mp3,ambient_05::control::ctrl,block5,matrix,control,control,ambient,ambient_05,expect_high,1.0,13.0,0.937588,d101b8df35b559df
stim_0013,stim_0013.mp3,ambient_05::pitch_shift::-2st,block1,matrix,pitch_shift:-2,pitch_shift,ambient,ambient_05,,1.0,13.0,0.77446,756e6d82830131fb
stim_0014,stim_0014.mp3,ambient_05::time_stretch::-5pct,block2,matrix,time_stretch:-5,time_stretch,ambient,ambient_05,,1.0,13.0,0.870783,ff1f548f7102d88a
stim_0015,stim_0015.mp3,ambient_06::lowpass::lp2000,block1,matrix,lowpass:2000,lowpass,ambient,ambient_06,,0.5,13.0,0.733611,7cf6dd2147dae781
stim_0016,stim_0016.mp3,ambient_06::pitch_shift::-4st,block1,matrix,pitch_shift:-4,pitch_shift,ambient,ambient_06,,0.5,13.0,0.7366,c384e9733bc3c623
stim_0017,stim_0017.mp3,ambient_06::time_stretch::+20pct,block1,matrix,time_stretch:20,time_stretch,ambient,ambient_06,,0.5,13.0,0.808102,57169b3e8a1fd067
