pair_id,source_id,genre,dim_target,perturbation,magnitude,score_H,score_T,score_R,score_S
classical_01::time_stretch::-20pct,classical_01,classical,R,time_stretch,-20.0,0.992700,0.832874,0.899010,0.677054
classical_01::lowpass::lp8000,classical_01,classical,T,lowpass,8000.0,1.000000,0.769588,0.998931,0.702932
classical_01::style_swap::swap_cross,classical_01,classical,S,style_swap,nan,0.752344,0.368767,0.923001,0.176412
classical_02::pitch_shift::+2st,classical_02,classical,H,pitch_shift,2.0,0.853691,0.668537,0.987932,0.441408
classical_02::time_stretch::-5pct,classical_02,classical,R,time_stretch,-5.0,0.987616,0.887476,0.871704,0.506985
classical_02::distortion::drv32,classical_02,classical,T,distortion,32.0,0.999584,0.700835,0.991625,0.470777
classical_03::time_stretch::-10pct,classical_03,classical,R,time_stretch,-10.0,0.998640,0.827331,0.911539,0.584044
classical_03::time_stretch::+10pct,classical_03,classical,R,time_stretch,10.0,0.995055,0.823081,0.795428,0.620597
classical_03::lowpass::lp4000,classical_03,classical,T,lowpass,4000.0,1.000000,0.972752,0.999907,0.598615
classical_04::pitch_shift::-4st,classical_04,classical,H,pitch_shift,-4.0,0.869044,0.510307,0.836366,0.357573
classical_04::time_stretch::-20pct,classical_04,classical,R,time_stretch,-20.0,0.990022,0.810012,0.768752,0.537521
classical_04::lowpass::lp8000,classical_04,classical,T,lowpass,8000.0,0.997413,0.502134,0.997216,0.507775
classical_05::pitch_shift::-1st,classical_05,classical,H,pitch_shift,-1.0,0.741797,0.775013,0.993046,0.434098
classical_05::pitch_shift::+4st,classical_05,classical,H,pitch_shift,4.0,0.782209,0.541134,0.971788,0.302900
classical_06::lowpass::lp4000,classical_06,classical,T,lowpass,4000.0,0.998771,0.490043,0.957920,0.241743
classical_06::style_swap::swap_cross,classical_06,classical,S,style_swap,nan,0.792884,0.419755,0.816154,0.237341
classical_07::control::ctrl,classical_07,classical,control,control,0.0,1.000000,1.000000,1.000000,0.446105
classical_07::pitch_shift::+1st,classical_07,classical,H,pitch_shift,1.0,0.600514,0.763957,0.996124,0.297539
classical_07::time_stretch::-5pct,classical_07,classical,R,time_stretch,-5.0,0.998958,0.913179,0.764064,0.431593
classical_08::control::ctrl,classical_08,classical,control,control,0.0,1.000000,0.999999,1.000000,0.655191
classical_08::pitch_shift::+1st,classical_08,classical,H,pitch_shift,1.0,0.518705,0.724380,0.978514,0.575449
classical_08::time_stretch::+20pct,classical_08,classical,R,time_stretch,20.0,0.995619,0.858115,0.902028,0.612793
classical_09::time_stretch::-10pct,classical_09,classical,R,time_stretch,-10.0,0.996058,0.879424,0.826647,0.392878
classical_09::lowpass::lp2000,classical_09,classical,T,lowpass,2000.0,0.999938,0.493333,0.997980,0.347230
classical_10::pitch_shift::-2st,classical_10,classical,H,pitch_shift,-2.0,0.398501,0.717309,0.998499,0.438344
classical_10::time_stretch::+5pct,classical_10,classical,R,time_stretch,5.0,0.998959,0.921803,0.822893,0.538598
classical_10::lowpass::lp2000,classical_10,classical,T,lowpass,2000.0,0.999695,0.523815,0.895710,0.437991
classical_11::pitch_shift::-2st,classical_11,classical,H,pitch_shift,-2.0,0.642655,0.659545,0.975134,0.476390
classical_11::time_stretch::+20pct,classical_11,classical,R,time_stretch,20.0,0.994651,0.840143,0.891559,0.529224
classical_11::distortion::drv12,classical_11,classical,T,distortion,12.0,0.999528,0.677214,0.926972,0.492230
classical_12::pitch_shift::-4st,classical_12,classical,H,pitch_shift,-4.0,0.582538,0.561240,0.989128,0.574395
classical_12::time_stretch::+5pct,classical_12,classical,R,time_stretch,5.0,0.996357,0.818449,0.887994,0.581581
classical_12::distortion::drv4,classical_12,classical,T,distortion,4.0,0.999976,0.911601,0.999164,0.553816
classical_13::pitch_shift::+4st,classical_13,classical,H,pitch_shift,4.0,0.940872,0.510135,0.953590,0.383715
classical_13::distortion::drv12,classical_13,classical,T,distortion,12.0,0.999149,0.874491,0.999662,0.381545
classical_14::pitch_shift::+2st,classical_14,classical,H,pitch_shift,2.0,0.847323,0.701918,0.994254,0.531120
classical_14::time_stretch::+10pct,classical_14,classical,R,time_stretch,10.0,0.995918,0.877451,0.788686,0.583598
classical_14::distortion::drv4,classical_14,classical,T,distortion,4.0,0.999901,0.732630,0.996008,0.446074
classical_15::pitch_shift::-1st,classical_15,classical,H,pitch_shift,-1.0,0.980375,0.796266,0.980046,0.530666
classical_15::distortion::drv32,classical_15,classical,T,distortion,32.0,0.999995,0.795471,0.984163,0.430897
ambient_01::pitch_shift::+4st,ambient_01,ambient,H,pitch_shift,4.0,0.990242,0.554156,0.977953,0.387655
ambient_01::time_stretch::-20pct,ambient_01,ambient,R,time_stretch,-20.0,0.996081,0.854459,0.940198,0.419180
ambient_01::lowpass::lp4000,ambient_01,ambient,T,lowpass,4000.0,0.999705,0.420645,0.976311,0.432117
ambient_02::pitch_shift::-1st,ambient_02,ambient,H,pitch_shift,-1.0,0.980168,0.863342,0.965930,0.260561
