pair_id,source_id,genre,dim_target,perturbation,magnitude,score_H,score_T,score_R,score_S
classical_01::pitch_shift::-1st,classical_01,classical,H,pitch_shift,-1.0,0.773409,0.823617,0.996726,0.551741
classical_01::lowpass::lp2000,classical_01,classical,T,lowpass,2000.0,0.999897,0.447459,0.995020,0.588024
classical_01::style_swap::swap_cross,classical_01,classical,S,style_swap,nan,0.752344,0.368767,0.923001,0.176412
classical_02::pitch_shift::-2st,classical_02,classical,H,pitch_shift,-2.0,0.850515,0.612686,0.989118,0.434874
classical_02::time_stretch::-5pct,classical_02,classical,R,time_stretch,-5.0,0.987616,0.887476,0.871704,0.506985
classical_02::time_stretch::+5pct,classical_02,classical,R,time_stretch,5.0,0.999667,0.884532,0.873896,0.470308
classical_02::distortion::drv4,classical_02,classical,T,distortion,4.0,1.000000,0.991234,0.999961,0.492805
classical_03::pitch_shift::-4st,classical_03,classical,H,pitch_shift,-4.0,0.743883,0.505066,0.893154,0.453713
classical_03::time_stretch::-5pct,classical_03,classical,R,time_stretch,-5.0,0.999616,0.873160,0.845440,0.628047
classical_03::lowpass::lp2000,classical_03,classical,T,lowpass,2000.0,1.000000,0.932596,0.999682,0.576991
classical_04::pitch_shift::+1st,classical_04,classical,H,pitch_shift,1.0,0.862156,0.796530,0.841588,0.440559
classical_04::time_stretch::-10pct,classical_04,classical,R,time_stretch,-10.0,0.993786,0.885142,0.743578,0.479207
classical_04::lowpass::lp4000,classical_04,classical,T,lowpass,4000.0,0.998009,0.453295,0.830629,0.403786
classical_05::time_stretch::+20pct,classical_05,classical,R,time_stretch,20.0,0.996384,0.853765,0.544148,0.631732
classical_05::lowpass::lp8000,classical_05,classical,T,lowpass,8000.0,0.999997,0.547405,0.998037,0.661953
classical_05::distortion::drv32,classical_05,classical,T,distortion,32.0,0.990873,0.451862,0.884618,0.231601
classical_06::pitch_shift::+1st,classical_06,classical,H,pitch_shift,1.0,0.639381,0.818789,0.972333,0.266896
classical_06::time_stretch::-20pct,classical_06,classical,R,time_stretch,-20.0,0.984872,0.841679,0.884841,0.331157
classical_06::distortion::drv12,classical_06,classical,T,distortion,12.0,0.989751,0.547070,0.919195,0.172789
classical_07::control::ctrl,classical_07,classical,control,control,0.0,1.000000,1.000000,1.000000,0.446105
classical_07::pitch_shift::+2st,classical_07,classical,H,pitch_shift,2.0,0.512218,0.642260,0.990351,0.301236
classical_07::style_swap::swap_cross,classical_07,classical,S,style_swap,nan,0.611105,0.408110,0.742014,0.282932
classical_08::pitch_shift::-4st,classical_08,classical,H,pitch_shift,-4.0,0.587435,0.507567,0.963658,0.416377
classical_08::time_stretch::+5pct,classical_08,classical,R,time_stretch,5.0,0.996530,0.851320,0.947581,0.647964
classical_08::lowpass::lp8000,classical_08,classical,T,lowpass,8000.0,0.999998,0.951256,0.999996,0.627162
classical_09::control::ctrl,classical_09,classical,control,control,0.0,1.000000,1.000000,1.000000,0.385950
classical_09::pitch_shift::+2st,classical_09,classical,H,pitch_shift,2.0,0.750430,0.686646,0.994961,0.321462
classical_09::time_stretch::-20pct,classical_09,classical,R,time_stretch,-20.0,0.986372,0.798935,0.777632,0.423118
classical_10::pitch_shift::+4st,classical_10,classical,H,pitch_shift,4.0,0.637121,0.592700,0.991184,0.357637
classical_10::time_stretch::+10pct,classical_10,classical,R,time_stretch,10.0,0.998279,0.880319,0.857874,0.561283
classical_10::distortion::drv32,classical_10,classical,T,distortion,32.0,0.987013,0.536137,0.993398,0.304502
classical_11::pitch_shift::-2st,classical_11,classical,H,pitch_shift,-2.0,0.642655,0.659545,0.975134,0.476390
classical_11::time_stretch::+10pct,classical_11,classical,R,time_stretch,10.0,0.994861,0.817477,0.904121,0.553410
classical_11::distortion::drv4,classical_11,classical,T,distortion,4.0,0.999982,0.892925,0.929683,0.559280
classical_12::pitch_shift::-1st,classical_12,classical,H,pitch_shift,-1.0,0.647955,0.750249,0.975974,0.566149
classical_12::time_stretch::+20pct,classical_12,classical,R,time_stretch,20.0,0.998360,0.853302,0.873539,0.589317
classical_12::lowpass::lp4000,classical_12,classical,T,lowpass,4000.0,0.997822,0.514223,0.997405,0.563579
classical_14::pitch_shift::+4st,classical_14,classical,H,pitch_shift,4.0,0.793376,0.574225,0.967294,0.453813
classical_14::time_stretch::-10pct,classical_14,classical,R,time_stretch,-10.0,0.996197,0.878060,0.783938,0.569363
classical_14::distortion::drv12,classical_14,classical,T,distortion,12.0,0.998228,0.576621,0.988833,0.198841
ambient_01::time_stretch::-10pct,ambient_01,ambient,R,time_stretch,-10.0,0.998948,0.886292,0.906619,0.484349
ambient_01::lowpass::lp4000,ambient_01,ambient,T,lowpass,4000.0,0.999705,0.420645,0.976311,0.432117
ambient_02::pitch_shift::-4st,ambient_02,ambient,H,pitch_shift,-4.0,0.975344,0.677761,0.943008,0.276976
ambient_02::time_stretch::+10pct,ambient_02,ambient,R,time_stretch,10.0,0.998365,0.865775,0.620714,0.302809
ambient_02::lowpass::lp2000,ambient_02,ambient,T,lowpass,2000.0,0.999810,0.412276,0.957966,0.196999
ambient_03::pitch_shift::-1st,ambient_03,ambient,H,pitch_shift,-1.0,0.961196,0.724149,0.996749,0.386759
ambient_03::time_stretch::-5pct,ambient_03,ambient,R,time_stretch,-5.0,0.998778,0.930950,0.547392,0.556240
ambient_03::style_swap::swap_cross,ambient_03,ambient,S,style_swap,nan,0.789014,0.380399,0.358579,0.201673
ambient_04::pitch_shift::+1st,ambient_04,ambient,H,pitch_shift,1.0,0.524521,0.708827,0.981804,0.389674
ambient_04::time_stretch::+10pct,ambient_04,ambient,R,time_stretch,10.0,0.990041,0.857902,0.933926,0.500335
ambient_04::distortion::drv32,ambient_04,ambient,T,distortion,32.0,0.979316,0.472503,0.970551,0.254351
ambient_05::control::ctrl,ambient_05,ambient,control,control,0.0,1.000000,1.000000,1.000000,0.477227
ambient_05::pitch_shift::-2st,ambient_05,ambient,H,pitch_shift,-2.0,0.658496,0.678448,0.960135,0.393540
ambient_05::time_stretch::-5pct,ambient_05,ambient,R,time_stretch,-5.0,0.997141,0.777259,0.948865,0.415689
ambient_06::pitch_shift::-4st,ambient_06,ambient,H,pitch_shift,-4.0,0.933041,0.575039,0.978371,0.476697
ambient_06::time_stretch::+20pct,ambient_06,ambient,R,time_stretch,20.0,0.997393,0.858057,0.544828,0.575818
ambient_06::lowpass::lp2000,ambient_06,ambient,T,lowpass,2000.0,0.999899,0.385750,0.679161,0.407846
ambient_07::time_stretch::-10pct,ambient_07,ambient,R,time_stretch,-10.0,0.997602,0.810986,0.865230,0.544889
ambient_07::lowpass::lp4000,ambient_07,ambient,T,lowpass,4000.0,1.000000,0.584971,0.998675,0.537878
ambient_08::pitch_shift::+1st,ambient_08,ambient,H,pitch_shift,1.0,0.412957,0.648361,0.980038,0.461683
ambient_08::lowpass::lp8000,ambient_08,ambient,T,lowpass,8000.0,0.999901,0.435923,0.998125,0.592007
ambient_09::pitch_shift::+4st,ambient_09,ambient,H,pitch_shift,4.0,0.648383,0.603821,0.978053,0.348960
ambient_09::distortion::drv12,ambient_09,ambient,T,distortion,12.0,0.997609,0.603286,0.973955,0.484512
ambient_10::pitch_shift::-1st,ambient_10,ambient,H,pitch_shift,-1.0,0.967300,0.666608,0.980310,0.427627
ambient_10::time_stretch::+5pct,ambient_10,ambient,R,time_stretch,5.0,0.997842,0.733136,0.973965,0.479231
ambient_10::distortion::drv4,ambient_10,ambient,T,distortion,4.0,0.999966,0.917518,0.991418,0.464337
ambient_11::control::ctrl,ambient_11,ambient,control,control,0.0,1.000000,0.999877,1.000000,0.568523
ambient_11::time_stretch::+5pct,ambient_11,ambient,R,time_stretch,5.0,0.998992,0.923900,0.773223,0.560412
ambient_11::style_swap::swap_cross,ambient_11,ambient,S,style_swap,nan,0.867606,0.377407,0.684787,0.295009
ambient_12::pitch_shift::+4st,ambient_12,ambient,H,pitch_shift,4.0,0.984316,0.498927,0.997828,0.147270
ambient_12::time_stretch::+20pct,ambient_12,ambient,R,time_stretch,20.0,0.998811,0.809149,0.972630,0.184172
ambient_12::distortion::drv32,ambient_12,ambient,T,distortion,32.0,0.999704,0.463507,0.983309,0.134863
ambient_13::pitch_shift::+2st,ambient_13,ambient,H,pitch_shift,2.0,0.675438,0.641114,0.976918,0.476882
ambient_13::time_stretch::-20pct,ambient_13,ambient,R,time_stretch,-20.0,0.984220,0.674482,0.897016,0.568514
ambient_13::lowpass::lp8000,ambient_13,ambient,T,lowpass,8000.0,0.999994,0.664459,0.994022,0.582702
ambient_14::pitch_shift::-2st,ambient_14,ambient,H,pitch_shift,-2.0,0.450600,0.603182,0.987915,0.523380
ambient_14::distortion::drv12,ambient_14,ambient,T,distortion,12.0,0.992058,0.535830,0.983750,0.358157
ambient_15::pitch_shift::+2st,ambient_15,ambient,H,pitch_shift,2.0,0.924136,0.458771,0.985365,0.500045
ambient_15::time_stretch::-20pct,ambient_15,ambient,R,time_stretch,-20.0,0.994320,0.803531,0.842127,0.461627
ambient_15::distortion::drv4,ambient_15,ambient,T,distortion,4.0,0.999996,0.916117,0.997311,0.507857
electronic_02::pitch_shift::-1st,electronic_02,electronic,H,pitch_shift,-1.0,0.804049,0.648315,0.994537,0.600354
electronic_02::time_stretch::+20pct,electronic_02,electronic,R,time_stretch,20.0,0.996482,0.783743,0.693286,0.668193
electronic_02::distortion::drv12,electronic_02,electronic,T,distortion,12.0,0.997236,0.357805,0.960834,0.492448
electronic_03::pitch_shift::+1st,electronic_03,electronic,H,pitch_shift,1.0,0.776031,0.818350,0.994798,0.468949
electronic_03::distortion::drv32,electronic_03,electronic,T,distortion,32.0,0.996658,0.479006,0.969514,0.344098
electronic_04::time_stretch::-10pct,electronic_04,electronic,R,time_stretch,-10.0,0.996333,0.915177,0.648713,0.565082
electronic_04::distortion::drv12,electronic_04,electronic,T,distortion,12.0,0.999255,0.841908,0.997953,0.598610
electronic_05::lowpass::lp8000,electronic_05,electronic,T,lowpass,8000.0,1.000000,0.408919,0.998038,0.733252
electronic_05::distortion::drv4,electronic_05,electronic,T,distortion,4.0,0.999875,0.794447,0.957147,0.737746
electronic_06::pitch_shift::+4st,electronic_06,electronic,H,pitch_shift,4.0,0.832869,0.578978,0.979121,0.332506
electronic_06::distortion::drv4,electronic_06,electronic,T,distortion,4.0,0.998686,0.705766,0.993320,0.354162
electronic_07::time_stretch::+5pct,electronic_07,electronic,R,time_stretch,5.0,0.994286,0.941496,0.731634,0.417003
electronic_07::lowpass::lp2000,electronic_07,electronic,T,lowpass,2000.0,0.999763,0.355825,0.975240,0.294771
electronic_07::style_swap::swap_cross,electronic_07,electronic,S,style_swap,nan,0.835134,0.417770,0.632037,0.232721
electronic_10::control::ctrl,electronic_10,electronic,control,control,0.0,1.000000,1.000000,1.000000,0.553827
electronic_10::pitch_shift::+2st,electronic_10,electronic,H,pitch_shift,2.0,0.908935,0.800588,0.990559,0.416829
electronic_12::pitch_shift::-2st,electronic_12,electronic,H,pitch_shift,-2.0,0.977664,0.740643,0.991137,0.553464
electronic_12::time_stretch::+10pct,electronic_12,electronic,R,time_stretch,10.0,0.994392,0.904748,0.400913,0.575447
electronic_12::lowpass::lp2000,electronic_12,electronic,T,lowpass,2000.0,0.999999,0.500768,0.992749,0.530072
electronic_13::pitch_shift::-4st,electronic_13,electronic,H,pitch_shift,-4.0,0.968795,0.593348,0.947009,0.372702
electronic_13::lowpass::lp4000,electronic_13,electronic,T,lowpass,4000.0,0.999963,0.466768,0.955501,0.372823
electronic_14::control::ctrl,electronic_14,electronic,control,control,0.0,1.000000,1.000000,1.000000,0.477563
electronic_14::time_stretch::-20pct,electronic_14,electronic,R,time_stretch,-20.0,0.995543,0.862544,0.500081,0.432071
electronic_15::time_stretch::-5pct,electronic_15,electronic,R,time_stretch,-5.0,0.998379,0.816101,0.902817,0.409265
electronic_15::distortion::drv32,electronic_15,electronic,T,distortion,32.0,0.996626,0.592312,0.936878,0.261309
folk_01::control::ctrl,folk_01,folk,control,control,0.0,1.000000,1.000000,1.000000,0.447708
folk_01::pitch_shift::-4st,folk_01,folk,H,pitch_shift,-4.0,0.878673,0.510813,0.986257,0.337352
folk_01::pitch_shift::+4st,folk_01,folk,H,pitch_shift,4.0,0.852213,0.525020,0.974929,0.318439
folk_01::time_stretch::+10pct,folk_01,folk,R,time_stretch,10.0,0.999226,0.860793,0.617776,0.530178
folk_05::pitch_shift::+1st,folk_05,folk,H,pitch_shift,1.0,0.497059,0.763923,0.992668,0.388190
folk_05::time_stretch::-20pct,folk_05,folk,R,time_stretch,-20.0,0.983434,0.758413,0.830364,0.492413
folk_05::lowpass::lp8000,folk_05,folk,T,lowpass,8000.0,1.000000,0.979235,0.999986,0.484788
folk_05::distortion::drv4,folk_05,folk,T,distortion,4.0,0.999988,0.847597,0.998040,0.477744
folk_06::time_stretch::-10pct,folk_06,folk,R,time_stretch,-10.0,0.994512,0.887521,0.851625,0.530319
folk_06::time_stretch::+5pct,folk_06,folk,R,time_stretch,5.0,0.998981,0.923384,0.888578,0.484976
