pair_id,musecp_key,musecp_chroma_mean,musecp_chroma_dtw,musecp_bpm,musecp_beat_f,musecp_beat_ig,musecp_struct_f,musecp_ari,musecp_contour,musecp_motif,musecp_mfcc_skl,musecp_mfcc_cos,musecp_mean12,musecp_mean10
s01::cand01,0.833333,0.985710,0.959201,0.010724,0.000000,0.000000,0.966121,0.000000,0.654370,0.000000,0.235090,0.995923,0.427946,0.393190
s01::cand03,1.000000,0.950244,0.937067,0.341450,0.000000,0.000000,1.000000,1.000000,0.606073,0.000000,0.138738,0.991064,0.518162,0.517252
s01::cand05,1.000000,0.957560,0.931393,0.287811,0.000000,0.000000,1.000000,1.000000,0.620876,0.500000,0.112349,0.988269,0.554366,0.566145
s01::cand02,1.000000,0.900750,0.911543,0.400340,0.000000,0.000000,1.000000,1.000000,0.613327,0.000000,0.194572,0.975575,0.493544,0.492542
s01::cand04,1.000000,0.973652,0.931586,0.796997,0.000000,0.000000,1.000000,1.000000,0.651965,0.000000,0.344417,0.990478,0.592668,0.581299
s01::cand00,0.833333,0.957858,0.914826,0.405358,0.000000,0.000000,1.000000,1.000000,0.635738,0.500000,0.152539,0.991473,0.553791,0.557963
s01::cand07,1.000000,0.947004,0.940322,0.196270,0.000000,0.000000,1.000000,1.000000,0.574777,0.000000,0.204103,0.968550,0.492562,0.495537
s01::cand06,1.000000,0.949140,0.922000,0.859245,0.000000,0.000000,1.000000,1.000000,0.613487,0.250000,0.202527,0.988183,0.582856,0.589083
s02::cand00,1.000000,0.998872,0.992288,1.000000,1.000000,1.000000,1.000000,1.000000,0.793308,0.285714,0.671343,0.994031,0.893163,0.898156
s02::cand01,0.833333,0.997339,0.986986,1.000000,1.000000,1.000000,1.000000,1.000000,0.678012,0.142857,0.698439,0.987931,0.842167,0.838222
s02::cand02,0.833333,0.997473,0.977511,1.000000,1.000000,1.000000,1.000000,1.000000,0.732854,0.285714,0.685965,0.993834,0.863708,0.861125
s02::cand03,0.833333,0.995356,0.975794,1.000000,1.000000,1.000000,1.000000,1.000000,0.663044,0.285714,0.687280,0.992071,0.848172,0.843664
s02::cand04,1.000000,0.999157,0.985170,1.000000,1.000000,1.000000,0.960472,0.750122,0.731813,0.571429,0.659291,0.996415,0.872807,0.873418
s02::cand05,0.833333,0.999258,0.988310,1.000000,1.000000,1.000000,1.000000,1.000000,0.778267,0.285714,0.606484,0.991182,0.866622,0.876623
s02::cand07,1.000000,0.998566,0.986168,1.000000,1.000000,1.000000,1.000000,1.000000,0.714488,0.571429,0.608473,0.997589,0.895577,0.906221
s02::cand06,0.833333,0.996834,0.977357,1.000000,1.000000,1.000000,1.000000,1.000000,0.682690,0.571429,0.686319,0.997125,0.879886,0.877980
s03::cand00,0.166667,0.988727,0.968220,1.000000,0.000000,0.000000,1.000000,1.000000,0.664035,0.272727,0.418433,0.992332,0.592094,0.569905
s03::cand01,0.166667,0.985577,0.953148,1.000000,0.000000,0.000000,1.000000,1.000000,0.670508,0.272727,0.569019,0.996308,0.605302,0.563821
s03::cand04,1.000000,0.995060,0.965497,1.000000,0.000000,0.000000,1.000000,1.000000,0.696273,0.272727,0.517272,0.988797,0.677109,0.662224
s03::cand03,1.000000,0.996478,0.979526,1.000000,0.000000,0.000000,1.000000,1.000000,0.711715,0.454545,0.548944,0.986411,0.702272,0.690268
s03::cand05,1.000000,0.991217,0.948184,1.000000,0.000000,0.000000,1.000000,1.000000,0.646078,0.272727,0.623736,0.978925,0.665161,0.642071
s03::cand02,1.000000,0.995694,0.978528,1.000000,0.000000,0.000000,1.000000,1.000000,0.695701,0.272727,0.568215,0.987577,0.686225,0.667702
s03::cand07,1.000000,0.973834,0.930379,1.000000,0.000000,0.000000,1.000000,1.000000,0.628788,0.272727,0.531772,0.993821,0.649316,0.623212
s03::cand06,0.166667,0.971948,0.932716,1.000000,0.000000,0.000000,1.000000,1.000000,0.591220,0.272727,0.479429,0.990789,0.565473,0.531486
s04::cand00,1.000000,0.991708,0.972084,1.000000,0.000000,0.000000,1.000000,1.000000,0.680750,0.200000,0.084637,0.997541,0.629460,0.652649
s04::cand01,1.000000,0.987147,0.947772,0.600094,0.000000,0.000000,1.000000,1.000000,0.664276,1.000000,0.051306,0.997221,0.646028,0.676957
s04::cand02,0.333333,0.982407,0.977266,0.025465,0.000000,0.000000,1.000000,1.000000,0.658072,0.600000,0.087655,0.995395,0.519013,0.521373
s04::cand03,1.000000,0.997820,0.976552,0.000908,0.000000,0.000000,1.000000,1.000000,0.692971,0.400000,0.311920,0.994521,0.590757,0.579994
s04::cand04,1.000000,0.911988,0.891828,1.000000,0.000000,0.000000,1.000000,1.000000,0.642002,0.200000,0.278337,0.992693,0.582686,0.575920
s04::cand05,1.000000,0.979253,0.946033,1.000000,0.000000,0.000000,1.000000,1.000000,0.644269,1.000000,0.100857,0.998653,0.678188,0.708238
s04::cand06,1.000000,0.929617,0.921859,1.000000,0.000000,0.000000,1.000000,1.000000,0.662859,0.200000,0.253279,0.983666,0.594964,0.600696
s04::cand07,1.000000,0.997987,0.987063,0.010382,0.000000,0.000000,1.000000,1.000000,0.707013,0.800000,0.238345,0.998275,0.625874,0.628497
s05::cand00,1.000000,0.996091,0.973284,0.727439,0.000000,0.000000,1.000000,1.000000,0.699717,0.428571,0.532198,0.997584,0.678214,0.654962
s05::cand01,1.000000,0.996151,0.970104,1.000000,0.000000,0.000000,0.983051,0.000000,0.664422,0.285714,0.554561,0.996711,0.595608,0.553694
s05::cand02,1.000000,0.997798,0.984458,1.000000,0.000000,0.000000,0.983051,0.000000,0.736427,0.285714,0.504242,0.995160,0.608458,0.576614
s05::cand04,1.000000,0.996389,0.977178,0.540514,0.000000,0.000000,0.866837,0.000000,0.758082,1.000000,0.539917,0.997477,0.607568,0.569299
s05::cand06,1.000000,0.997853,0.980254,0.727439,0.000000,0.000000,0.866837,0.000000,0.781392,0.428571,0.482198,0.992656,0.572415,0.538042
s05::cand05,1.000000,0.997399,0.975067,1.000000,0.000000,0.000000,1.000000,1.000000,0.732404,0.428571,0.606090,0.996600,0.715298,0.690943
s05::cand03,1.000000,0.996870,0.973205,0.727439,0.000000,0.000000,1.000000,1.000000,0.709442,1.000000,0.491632,0.997840,0.723851,0.714620
s05::cand07,0.833333,0.972166,0.950780,1.000000,0.000000,0.000000,0.983051,0.000000,0.614965,0.142857,0.456147,0.975464,0.521257,0.493060
s06::cand00,1.000000,0.961251,0.920606,0.038499,0.000000,0.000000,0.820393,0.000000,0.527165,0.000000,0.347404,0.995629,0.373921,0.314491
s06::cand01,1.000000,0.963862,0.918940,0.009308,0.000000,0.000000,0.791396,0.000000,0.592086,0.000000,0.333045,0.979644,0.365372,0.318252
s06::cand03,0.333333,0.935386,0.914980,0.429798,0.000000,0.000000,1.000000,1.000000,0.509036,0.000000,0.385061,0.989461,0.463393,0.421846
