key,id,ref,est,degraded_metrics,dim_target,genre,harmony_tonality.chroma_similarity.chroma_dtw_cosine,harmony_tonality.chroma_similarity.mean_chroma_cosine,harmony_tonality.key_relatedness.distance_norm_0to1,magnitude,melodic_content.contour_dtw_similarity,melodic_content.motif_3gram_recall,perturbation,rhythm_meter.beat_mir_eval.F-measure,rhythm_meter.beat_mir_eval.Information gain,rhythm_meter.delta_bpm_folded,source_id,structural_form.ari,structural_form.pairwise_f,timbre_texture.mean_mfcc_cosine,timbre_texture.mfcc_skl_similarity
s01::cand01,s01::cand01,results/rerank_ace/audio/s01__A.wav,results/rerank_ace/audio/s01_cand01__B.wav,,rerank,s01,0.9592012411393295,0.9857098330184505,0.16666666666666666,1.0,0.6543695546317986,0.0,ace_inpaint_candidate,0.0,0.0,45.35246548587329,s01,0.0,0.9661214953271028,0.9959226634299425,0.23508950116277838
s01::cand03,s01::cand03,results/rerank_ace/audio/s01__A.wav,results/rerank_ace/audio/s01_cand03__B.wav,,rerank,s01,0.937067323652772,0.9502442410848827,0.0,3.0,0.6060730420008166,0.0,ace_inpaint_candidate,0.0,0.0,10.745531892123289,s01,1.0,1.0,0.9910641399049909,0.1387379911599663
s01::cand05,s01::cand05,results/rerank_ace/audio/s01__A.wav,results/rerank_ace/audio/s01_cand05__B.wav,,rerank,s01,0.9313929450069879,0.9575601322990719,0.0,5.0,0.620876255919866,0.5,ace_inpaint_candidate,0.0,0.0,12.454516267123289,s01,1.0,1.0,0.988269456806821,0.11234880192599331
s01::cand02,s01::cand02,results/rerank_ace/audio/s01__A.wav,results/rerank_ace/audio/s01_cand02__B.wav,,rerank,s01,0.9115433339532888,0.9007502770488919,0.0,2.0,0.6133268595777108,0.0,ace_inpaint_candidate,0.0,0.0,9.154408508502598,s01,1.0,1.0,0.975574898470105,0.19457200862866003
s01::cand04,s01::cand04,results/rerank_ace/audio/s01__A.wav,results/rerank_ace/audio/s01_cand04__B.wav,,rerank,s01,0.9315857424687121,0.9736517134916228,0.0,4.0,0.6519649975890368,0.0,ace_inpaint_candidate,0.0,0.0,2.2690414251844047,s01,1.0,1.0,0.9904780489353233,0.34441706940948374
s01::cand00,s01::cand00,results/rerank_ace/audio/s01__A.wav,results/rerank_ace/audio/s01_cand00__B.wav,,rerank,s01,0.9148256749249156,0.9578580685346428,0.16666666666666666,0.0,0.6357384373874825,0.5,ace_inpaint_candidate,0.0,0.0,9.029858732876711,s01,1.0,1.0,0.9914734434557931,0.15253923654199358
s01::cand07,s01::cand07,results/rerank_ace/audio/s01__A.wav,results/rerank_ace/audio/s01_cand07__B.wav,,rerank,s01,0.9403215244844673,0.947003538680127,0.0,7.0,0.5747768561772248,0.0,ace_inpaint_candidate,0.0,0.0,16.28264126712329,s01,1.0,1.0,0.9685502237639244,0.20410274107064585
s01::cand06,s01::cand06,results/rerank_ace/audio/s01__A.wav,results/rerank_ace/audio/s01_cand06__B.wav,,rerank,s01,0.9220004055500255,0.9491396366689404,0.0,6.0,0.6134873346820773,0.25,ace_inpaint_candidate,0.0,0.0,1.5170162671232887,s01,1.0,1.0,0.9881827086660866,0.2025270279222716
s02::cand00,s02::cand00,results/rerank_ace/audio/s02__A.wav,results/rerank_ace/audio/s02_cand00__B.wav,,rerank,s02,0.9922882771516653,0.9988722686641108,0.0,0.0,0.7933080154909624,0.2857142857142857,ace_inpaint_candidate,1.0,1.0,0.0,s02,1.0,1.0,0.9940312588052883,0.6713429369747093
s02::cand01,s02::cand01,results/rerank_ace/audio/s02__A.wav,results/rerank_ace/audio/s02_cand01__B.wav,,rerank,s02,0.9869861512114728,0.9973389932632387,0.16666666666666666,1.0,0.6780118657224466,0.14285714285714285,ace_inpaint_candidate,1.0,1.0,0.0,s02,1.0,1.0,0.9879312505559398,0.6984394255626997
s02::cand02,s02::cand02,results/rerank_ace/audio/s02__A.wav,results/rerank_ace/audio/s02_cand02__B.wav,,rerank,s02,0.9775109149445353,0.9974734267590485,0.16666666666666666,2.0,0.7328540071658647,0.2857142857142857,ace_inpaint_candidate,1.0,1.0,0.0,s02,1.0,1.0,0.9938337574206663,0.6859646808573291
s02::cand03,s02::cand03,results/rerank_ace/audio/s02__A.wav,results/rerank_ace/audio/s02_cand03__B.wav,,rerank,s02,0.9757939761587296,0.9953559680789863,0.16666666666666666,3.0,0.6630440428242086,0.2857142857142857,ace_inpaint_candidate,1.0,1.0,0.0,s02,1.0,1.0,0.9920708534761511,0.6872798971866523
s02::cand04,s02::cand04,results/rerank_ace/audio/s02__A.wav,results/rerank_ace/audio/s02_cand04__B.wav,,rerank,s02,0.9851695991922459,0.9991569836488672,0.0,4.0,0.7318125256330138,0.5714285714285714,ace_inpaint_candidate,1.0,1.0,0.0,s02,0.7501223421018245,0.9604715672676838,0.9964154889040157,0.6592911781098718
s02::cand05,s02::cand05,results/rerank_ace/audio/s02__A.wav,results/rerank_ace/audio/s02_cand05__B.wav,,rerank,s02,0.9883101403342672,0.9992584484598726,0.16666666666666666,5.0,0.7782672818879313,0.2857142857142857,ace_inpaint_candidate,1.0,1.0,0.0,s02,1.0,1.0,0.9911820346887753,0.6064839160047693
s02::cand07,s02::cand07,results/rerank_ace/audio/s02__A.wav,results/rerank_ace/audio/s02_cand07__B.wav,,rerank,s02,0.986168098238749,0.9985663451297874,0.0,7.0,0.7144876244207059,0.5714285714285714,ace_inpaint_candidate,1.0,1.0,0.0,s02,1.0,1.0,0.9975891570395203,0.6084731788814433
s02::cand06,s02::cand06,results/rerank_ace/audio/s02__A.wav,results/rerank_ace/audio/s02_cand06__B.wav,,rerank,s02,0.9773573941688761,0.9968339131972704,0.16666666666666666,6.0,0.6826899550234609,0.5714285714285714,ace_inpaint_candidate,1.0,1.0,0.0,s02,1.0,1.0,0.9971245741244598,0.6863186131788697
s03::cand00,s03::cand00,results/rerank_ace/audio/s03__A.wav,results/rerank_ace/audio/s03_cand00__B.wav,,rerank,s03,0.9682202685838996,0.9887270675516855,0.8333333333333334,0.0,0.6640354001593084,0.2727272727272727,ace_inpaint_candidate,0.0,0.0,0.0,s03,1.0,1.0,0.9923321702399636,0.4184329376858757
s03::cand01,s03::cand01,results/rerank_ace/audio/s03__A.wav,results/rerank_ace/audio/s03_cand01__B.wav,,rerank,s03,0.9531480431617335,0.9855772672701567,0.8333333333333334,1.0,0.6705082197979172,0.2727272727272727,ace_inpaint_candidate,0.0,0.0,0.0,s03,1.0,1.0,0.9963075268412608,0.5690191647137002
s03::cand04,s03::cand04,results/rerank_ace/audio/s03__A.wav,results/rerank_ace/audio/s03_cand04__B.wav,,rerank,s03,0.9654973714812398,0.9950597629408247,0.0,4.0,0.6962734340203025,0.2727272727272727,ace_inpaint_candidate,0.0,0.0,0.0,s03,1.0,1.0,0.9887968885208536,0.5172717893773094
s03::cand03,s03::cand03,results/rerank_ace/audio/s03__A.wav,results/rerank_ace/audio/s03_cand03__B.wav,,rerank,s03,0.979526152422577,0.9964777273286004,0.0,3.0,0.7117145328461265,0.45454545454545453,ace_inpaint_candidate,0.0,0.0,0.0,s03,1.0,1.0,0.9864111491136387,0.5489443762679735
s03::cand05,s03::cand05,results/rerank_ace/audio/s03__A.wav,results/rerank_ace/audio/s03_cand05__B.wav,,rerank,s03,0.9481835391085267,0.9912174653305791,0.0,5.0,0.6460778546283767,0.2727272727272727,ace_inpaint_candidate,0.0,0.0,0.0,s03,1.0,1.0,0.9789245425928462,0.6237360434489536
s03::cand02,s03::cand02,results/rerank_ace/audio/s03__A.wav,results/rerank_ace/audio/s03_cand02__B.wav,,rerank,s03,0.9785279987591557,0.995694458212012,0.0,2.0,0.6957006427914342,0.2727272727272727,ace_inpaint_candidate,0.0,0.0,0.0,s03,1.0,1.0,0.9875772691069961,0.5682153256454765
s03::cand07,s03::cand07,results/rerank_ace/audio/s03__A.wav,results/rerank_ace/audio/s03_cand07__B.wav,,rerank,s03,0.9303792714331598,0.9738344514086137,0.0,7.0,0.6287879423799734,0.2727272727272727,ace_inpaint_candidate,0.0,0.0,0.0,s03,1.0,1.0,0.9938214360345738,0.5317716026116214
s03::cand06,s03::cand06,results/rerank_ace/audio/s03__A.wav,results/rerank_ace/audio/s03_cand06__B.wav,"[""structural_form""]",rerank,s03,0.932716317449402,0.971948019536365,0.8333333333333334,6.0,0.5912196749708728,0.2727272727272727,ace_inpaint_candidate,0.0,0.0,0.0,s03,1.0,1.0,0.9907892959939816,0.47942921689291146
s04::cand00,s04::cand00,results/rerank_ace/audio/s04__A.wav,results/rerank_ace/audio/s04_cand00__B.wav,,rerank,s04,0.9720844693166731,0.9917084412575835,0.0,0.0,0.6807502523565379,0.2,ace_inpaint_candidate,0.0,0.0,0.0,s04,1.0,1.0,0.9975407544875997,0.08463687737157748
s04::cand01,s04::cand01,results/rerank_ace/audio/s04__A.wav,results/rerank_ace/audio/s04_cand01__B.wav,,rerank,s04,0.9477720134426083,0.987146923702812,0.0,1.0,0.6642756825596672,1.0,ace_inpaint_candidate,0.0,0.0,5.1066884881422965,s04,1.0,1.0,0.9972208866806536,0.051305535209103754
