pair_id,musecp_key,musecp_chroma_mean,musecp_chroma_dtw,musecp_bpm,musecp_beat_f,musecp_beat_ig,musecp_struct_f,musecp_ari,musecp_contour,musecp_motif,musecp_mfcc_skl,musecp_mfcc_cos,musecp_mean12,musecp_mean10
classical_01::pitch_shift::-4st,0.333333,0.860272,0.746164,1.000000,0.900000,0.603937,0.988788,0.842184,0.833138,0.588235,0.562308,0.995435,0.754778,0.749990
classical_01::pitch_shift::-1st,0.166667,0.794347,0.713844,1.000000,1.000000,0.912461,0.988788,0.842184,0.919865,0.411765,0.933196,0.999286,0.789063,0.753632
classical_01::pitch_shift::+1st,0.166667,0.790634,0.708658,1.000000,1.000000,0.744109,1.000000,1.000000,0.859700,0.411765,0.861997,0.999396,0.776695,0.745899
classical_01::pitch_shift::-2st,0.666667,0.836074,0.760031,1.000000,1.000000,0.706778,0.988788,0.842184,0.882722,0.764706,0.821449,0.998377,0.839738,0.825714
classical_01::pitch_shift::+4st,0.333333,0.862811,0.761845,1.000000,1.000000,0.744109,1.000000,1.000000,0.724270,0.411765,0.641930,0.992437,0.771811,0.762787
classical_01::control::ctrl,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
classical_01::pitch_shift::+2st,0.666667,0.843562,0.748243,1.000000,1.000000,0.865250,0.988788,0.842184,0.875214,0.647059,0.741858,0.998287,0.835400,0.828477
classical_01::time_stretch::-5pct,0.833333,0.983347,0.968254,0.600094,0.125000,0.379954,0.988661,0.842017,0.669606,0.705882,0.949863,0.999812,0.743653,0.697417
classical_01::time_stretch::-10pct,0.833333,0.984573,0.961827,0.375769,0.105263,0.379954,0.956670,0.555832,0.616202,0.529412,0.922616,0.999621,0.670807,0.612748
classical_01::time_stretch::+5pct,0.833333,0.980648,0.963483,0.571607,0.285714,0.417285,0.989152,0.842666,0.684728,0.411765,0.952958,0.999620,0.734429,0.686060
classical_01::time_stretch::+10pct,1.000000,0.994686,0.987670,0.048789,0.266667,0.379954,0.967480,0.630648,0.633422,0.352941,0.940000,0.999230,0.671513,0.611898
classical_01::lowpass::lp4000,1.000000,0.999998,0.999991,0.375769,0.444444,0.280983,0.956670,0.555832,0.998445,0.764706,0.011686,0.985204,0.693967,0.733169
classical_01::lowpass::lp8000,1.000000,1.000000,1.000000,1.000000,0.900000,0.580697,1.000000,1.000000,0.998567,0.764706,0.823127,0.999314,0.922163,0.924356
classical_01::time_stretch::+20pct,1.000000,0.992522,0.981745,0.025465,0.142857,0.454615,0.989152,0.842666,0.582909,0.352941,0.911348,0.998703,0.678082,0.622702
classical_01::time_stretch::-20pct,0.833333,0.990261,0.974037,0.113600,0.222222,0.379954,0.978309,0.723723,0.579099,0.235294,0.904727,0.998649,0.648323,0.587659
classical_01::lowpass::lp2000,1.000000,0.999957,0.999572,0.000142,0.000000,0.000000,0.956670,0.555832,0.992498,0.764706,0.000680,0.921086,0.594915,0.622240
classical_01::distortion::drv4,1.000000,0.999998,0.999979,1.000000,1.000000,0.912461,0.988788,0.842184,0.999166,1.000000,0.969167,0.999816,0.974995,0.973096
classical_01::distortion::drv12,1.000000,0.999783,0.998976,0.048789,0.125000,0.379954,0.988661,0.842017,0.982975,1.000000,0.694165,0.996220,0.753296,0.734941
classical_01::distortion::drv32,1.000000,0.997856,0.994005,0.156526,0.125000,0.379954,0.988661,0.842017,0.920989,0.823529,0.398299,0.991915,0.715135,0.719194
classical_02::control::ctrl,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
classical_01::style_swap::swap_cross,0.166667,0.754681,0.677009,1.000000,0.900000,0.596651,0.989371,0.786476,0.296512,0.000000,0.290658,0.902204,0.577875,0.574806
classical_01::style_swap::swap_same,0.166667,0.837013,0.750215,0.031602,0.235294,0.454615,0.662162,0.000000,0.328758,0.000000,0.349435,0.959606,0.339549,0.276820
classical_02::pitch_shift::-4st,1.000000,0.890284,0.833578,1.000000,0.700000,0.787195,1.000000,1.000000,0.881752,0.222222,0.518928,0.986452,0.807219,0.818214
classical_02::pitch_shift::+1st,0.833333,0.892503,0.854358,1.000000,0.700000,0.854532,0.973512,0.892056,0.930139,0.777778,0.898181,0.997289,0.871903,0.856754
classical_02::pitch_shift::+2st,0.000000,0.863368,0.832012,1.000000,0.700000,0.854532,1.000000,1.000000,0.872113,0.333333,0.793897,0.992680,0.757642,0.730561
classical_02::pitch_shift::+4st,0.333333,0.871412,0.815785,1.000000,0.700000,0.884391,1.000000,1.000000,0.865937,0.333333,0.581836,0.974682,0.767284,0.765256
classical_02::time_stretch::-20pct,0.333333,0.995356,0.969432,0.055287,0.235294,0.379954,0.949157,0.779728,0.576188,0.333333,0.890874,0.996945,0.609195,0.542273
classical_02::time_stretch::-10pct,0.333333,0.995683,0.968327,0.201898,0.133333,0.440043,1.000000,1.000000,0.648192,0.444444,0.922566,0.998439,0.664659,0.605501
classical_02::pitch_shift::-2st,0.666667,0.855959,0.828241,1.000000,0.700000,0.926973,0.674944,0.268437,0.908430,0.555556,0.799475,0.995988,0.724105,0.689406
classical_02::pitch_shift::-1st,0.500000,0.856017,0.814876,1.000000,0.700000,0.926973,0.676525,0.181627,0.903651,0.555556,0.899576,0.997958,0.709897,0.662136
classical_02::time_stretch::-5pct,0.333333,0.995239,0.980406,0.429798,0.533333,0.486706,0.986486,0.946501,0.666054,0.666667,0.944763,0.998907,0.737630,0.690796
classical_02::time_stretch::+20pct,0.333333,0.995713,0.966401,0.038499,0.461538,0.476000,1.000000,1.000000,0.590687,0.000000,0.918914,0.998520,0.637705,0.573513
classical_02::lowpass::lp8000,0.333333,0.997482,0.993152,1.000000,1.000000,1.000000,1.000000,1.000000,0.980596,0.777778,0.517260,0.989429,0.881647,0.907377
classical_02::lowpass::lp2000,0.333333,0.999332,0.998070,0.386743,0.600000,0.602788,0.687005,0.210047,0.979235,1.000000,0.000633,0.850571,0.608128,0.645613
classical_02::lowpass::lp4000,0.333333,0.997493,0.993177,1.000000,1.000000,1.000000,1.000000,1.000000,0.999768,1.000000,0.033377,0.975851,0.860690,0.932065
classical_02::time_stretch::+5pct,0.333333,0.997465,0.979144,0.386743,0.400000,0.338020,0.670134,0.177348,0.656600,0.555556,0.948102,0.998870,0.582118,0.503851
classical_02::distortion::drv4,1.000000,1.000000,0.999994,1.000000,1.000000,1.000000,0.972474,0.899474,0.994138,1.000000,0.999280,0.999999,0.986208,0.983521
classical_02::time_stretch::+10pct,1.000000,0.999425,0.987382,0.131776,0.190476,0.316013,0.652016,0.282613,0.672480,0.777778,0.941414,0.998887,0.623501,0.554178
classical_02::distortion::drv12,1.000000,0.999956,0.999721,0.386743,0.700000,0.591458,0.972474,0.899474,0.989430,0.666667,0.957543,0.999700,0.844236,0.817361
classical_02::style_swap::swap_cross,0.333333,0.846479,0.790915,1.000000,0.181818,0.529330,0.852174,0.000000,0.251610,0.000000,0.166336,0.743870,0.431605,0.428586
classical_02::style_swap::swap_same,0.666667,0.938367,0.869883,0.031602,0.235294,0.379954,1.000000,1.000000,0.280660,0.000000,0.231952,0.978124,0.528474,0.513305
classical_02::distortion::drv32,0.333333,0.997175,0.990355,0.386743,0.700000,0.504710,0.683587,0.213759,0.962594,0.666667,0.725277,0.996790,0.650735,0.608697
classical_03::control::ctrl,1.000000,1.000000,1.000000,1.000000,0.000000,0.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,0.833333,0.800000
classical_03::pitch_shift::-4st,0.333333,0.752619,0.533568,0.043075,0.000000,0.000000,0.852174,0.000000,0.727329,0.294118,0.281157,0.992596,0.360794,0.305627
classical_03::pitch_shift::-1st,0.166667,0.701339,0.516368,0.242308,0.000000,0.000000,1.000000,1.000000,0.849651,0.470588,0.795877,0.998971,0.535049,0.462581
classical_03::pitch_shift::-2st,0.666667,0.788248,0.543146,1.000000,0.000000,0.000000,1.000000,1.000000,0.796055,0.294118,0.400564,0.997533,0.600098,0.580324
classical_03::pitch_shift::+1st,0.166667,0.699844,0.518325,0.242308,0.000000,0.000000,1.000000,1.000000,0.878808,0.176471,0.747565,0.997721,0.509538,0.436932
classical_03::pitch_shift::+2st,0.666667,0.774795,0.528164,1.000000,0.000000,0.000000,1.000000,1.000000,0.813282,0.235294,0.460275,0.993828,0.598418,0.572733
classical_03::pitch_shift::+4st,0.333333,0.756493,0.499451,1.000000,0.000000,0.000000,1.000000,1.000000,0.737439,0.352941,0.280293,0.985419,0.551267,0.535045
classical_03::time_stretch::-20pct,1.000000,0.980507,0.893231,1.000000,0.000000,0.000000,0.815931,0.000000,0.582115,0.588235,0.522670,0.997650,0.585839,0.550991
classical_03::time_stretch::-10pct,1.000000,0.990536,0.988958,0.242308,0.000000,0.000000,0.833785,0.000000,0.688582,0.823529,0.568356,0.998029,0.571944,0.529708
classical_03::time_stretch::-5pct,1.000000,0.997195,0.995018,1.000000,0.000000,0.000000,0.871023,0.000000,0.741296,0.411765,0.648729,0.998995,0.621117,0.580575
classical_03::time_stretch::+5pct,1.000000,0.996450,0.986422,0.242308,0.000000,0.000000,1.000000,1.000000,0.765435,0.411765,0.598297,0.999116,0.660653,0.633049
classical_03::time_stretch::+10pct,1.000000,0.992283,0.959155,0.242308,0.000000,0.000000,0.571016,0.000000,0.716605,0.235294,0.824680,0.999086,0.498975,0.416399
classical_03::time_stretch::+20pct,1.000000,0.983699,0.905635,0.441185,0.000000,0.000000,0.871023,0.000000,0.625214,0.882353,0.604599,0.998549,0.586539,0.543542
classical_03::lowpass::lp8000,1.000000,1.000000,0.999999,1.000000,0.000000,0.000000,1.000000,1.000000,0.990095,1.000000,0.605172,1.000000,0.799371,0.798729
classical_03::lowpass::lp4000,1.000000,1.000000,0.999999,0.043075,0.000000,0.000000,1.000000,1.000000,0.991275,1.000000,0.018223,1.000000,0.670838,0.703184
classical_03::distortion::drv12,1.000000,0.999979,0.999941,0.043075,0.000000,0.000000,0.880597,0.000000,0.976689,1.000000,0.014183,0.997240,0.565058,0.576946
classical_03::lowpass::lp2000,1.000000,1.000000,0.999997,1.000000,0.000000,0.000000,1.000000,1.000000,0.998322,1.000000,0.005232,0.999957,0.750252,0.799784
classical_03::distortion::drv4,1.000000,1.000000,1.000000,0.043075,0.000000,0.000000,1.000000,1.000000,0.990791,1.000000,0.147170,0.999974,0.681530,0.703122
classical_03::distortion::drv32,1.000000,0.999707,0.999352,0.008452,0.000000,0.000000,0.979802,0.000000,0.991691,0.764706,0.004897,0.972139,0.558245,0.572373
classical_03::style_swap::swap_cross,0.666667,0.872268,0.682268,0.395282,0.000000,0.000000,0.871023,0.000000,0.296290,0.058824,0.001963,0.590972,0.327224,0.336057
classical_03::style_swap::swap_same,0.333333,0.802172,0.613318,0.043075,0.000000,0.000000,0.979802,0.000000,0.322268,0.000000,0.002997,0.772966,0.286985,0.268274
classical_04::control::ctrl,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
classical_04::pitch_shift::-1st,0.166667,0.884060,0.753691,1.000000,0.909091,0.912461,1.000000,1.000000,0.906124,0.600000,0.891780,0.996213,0.822487,0.798210
classical_04::pitch_shift::+2st,0.666667,0.904913,0.790611,1.000000,0.909091,0.835505,1.000000,1.000000,0.882961,0.600000,0.751572,0.985704,0.849149,0.845345
classical_04::pitch_shift::-2st,0.666667,0.899469,0.777124,1.000000,1.000000,0.912461,1.000000,1.000000,0.884635,0.400000,0.778226,0.991048,0.847244,0.839824
classical_04::pitch_shift::-4st,0.333333,0.902808,0.779268,1.000000,0.909091,0.878672,0.663318,0.073036,0.860596,0.400000,0.517486,0.974002,0.648721,0.629487
classical_04::pitch_shift::+1st,0.166667,0.880431,0.731340,1.000000,0.909091,0.912461,0.625516,0.057277,0.907637,0.266667,0.889484,0.995351,0.648761,0.590060
classical_04::pitch_shift::+4st,0.333333,0.904408,0.831210,1.000000,0.909091,0.865250,1.000000,1.000000,0.836987,0.066667,0.497360,0.960003,0.755224,0.760795
