key,id,ref,est,degraded_metrics,dim_target,genre,harmony_tonality.chroma_similarity.chroma_dtw_cosine,harmony_tonality.chroma_similarity.mean_chroma_cosine,harmony_tonality.key_relatedness.distance_norm_0to1,magnitude,melodic_content.contour_dtw_similarity,melodic_content.motif_3gram_recall,perturbation,rhythm_meter.beat_mir_eval.F-measure,rhythm_meter.beat_mir_eval.Information gain,rhythm_meter.delta_bpm_folded,source_id,structural_form.ari,structural_form.pairwise_f,timbre_texture.mean_mfcc_cosine,timbre_texture.mfcc_skl_similarity
classical_01::pitch_shift::-4st,classical_01::pitch_shift::-4st,perturbations/audio/classical_01__A.wav,perturbations/audio/classical_01__pitch_shift__-4st.wav,,H,classical,0.7461635539015676,0.860271748667303,0.6666666666666666,-4.0,0.8331381661377913,0.5882352941176471,pitch_shift,0.9,0.6039370046136163,0.0,classical_01,0.8421844125413117,0.9887879145521067,0.9954351609635064,0.5623075947761108
classical_01::pitch_shift::-1st,classical_01::pitch_shift::-1st,perturbations/audio/classical_01__A.wav,perturbations/audio/classical_01__pitch_shift__-1st.wav,,H,classical,0.7138435281315354,0.7943472930679609,0.8333333333333334,-1.0,0.9198654057906059,0.4117647058823529,pitch_shift,1.0,0.9124608415961211,0.0,classical_01,0.8421844125413117,0.9887879145521067,0.9992864592115906,0.9331964260550083
classical_01::pitch_shift::+1st,classical_01::pitch_shift::+1st,perturbations/audio/classical_01__A.wav,perturbations/audio/classical_01__pitch_shift__+1st.wav,,H,classical,0.7086582106188981,0.7906338983891352,0.8333333333333334,1.0,0.8597002515199655,0.4117647058823529,pitch_shift,1.0,0.7441087658555733,0.0,classical_01,1.0,1.0,0.9993959242753558,0.8619973427808314
classical_01::pitch_shift::-2st,classical_01::pitch_shift::-2st,perturbations/audio/classical_01__A.wav,perturbations/audio/classical_01__pitch_shift__-2st.wav,,H,classical,0.7600305524090876,0.8360736739597695,0.3333333333333333,-2.0,0.882721529714329,0.7647058823529411,pitch_shift,1.0,0.7067782836077847,0.0,classical_01,0.8421844125413117,0.9887879145521067,0.9983768602620926,0.821449214658177
classical_01::pitch_shift::+4st,classical_01::pitch_shift::+4st,perturbations/audio/classical_01__A.wav,perturbations/audio/classical_01__pitch_shift__+4st.wav,,H,classical,0.7618449880597122,0.8628114844644533,0.6666666666666666,4.0,0.7242696520474861,0.4117647058823529,pitch_shift,1.0,0.7441087658555733,0.0,classical_01,1.0,1.0,0.9924365006965874,0.6419303613893336
classical_01::control::ctrl,classical_01::control::ctrl,perturbations/audio/classical_01__A.wav,perturbations/audio/classical_01__control__ctrl.wav,,control,classical,1.0,0.9999999782281933,0.0,0.0,1.0,1.0,control,1.0,1.0,0.0,classical_01,1.0,1.0,0.9999999998703925,1.0
classical_01::pitch_shift::+2st,classical_01::pitch_shift::+2st,perturbations/audio/classical_01__A.wav,perturbations/audio/classical_01__pitch_shift__+2st.wav,,H,classical,0.748243365187111,0.8435621239928636,0.3333333333333333,2.0,0.8752135003684732,0.6470588235294118,pitch_shift,1.0,0.8652503803481372,0.0,classical_01,0.8421844125413117,0.9887879145521067,0.9982874116961115,0.7418580032265999
classical_01::time_stretch::-5pct,classical_01::time_stretch::-5pct,perturbations/audio/classical_01__A.wav,perturbations/audio/classical_01__time_stretch__-5pct.wav,,R,classical,0.9682538406935849,0.9833472948395415,0.16666666666666666,-5.0,0.6696059403410206,0.7058823529411765,time_stretch,0.125,0.3799541111268843,5.1066884881422965,classical_01,0.8420166283229545,0.9886610373944511,0.9998116509285808,0.9498631218198217
classical_01::time_stretch::-10pct,classical_01::time_stretch::-10pct,perturbations/audio/classical_01__A.wav,perturbations/audio/classical_01__time_stretch__-10pct.wav,,R,classical,0.9618273098938315,0.9845729016918144,0.16666666666666666,-10.0,0.6162024506300492,0.5294117647058824,time_stretch,0.10526315789473685,0.3799541111268844,9.787819602272734,classical_01,0.5558321695306332,0.9566704675028507,0.9996213042047056,0.9226160183471082
classical_01::time_stretch::+5pct,classical_01::time_stretch::+5pct,perturbations/audio/classical_01__A.wav,perturbations/audio/classical_01__time_stretch__+5pct.wav,,R,classical,0.9634833051130061,0.9806477074500515,0.16666666666666666,5.0,0.6847283251130712,0.4117647058823529,time_stretch,0.28571428571428564,0.417284593374673,5.593039772727266,classical_01,0.8426661742103823,0.9891520920965243,0.9996200238735314,0.9529583209710727
classical_01::time_stretch::+10pct,classical_01::time_stretch::+10pct,perturbations/audio/classical_01__A.wav,perturbations/audio/classical_01__time_stretch__+10pct.wav,,R,classical,0.987670111560131,0.9946861279186234,0.0,10.0,0.6334215145945608,0.35294117647058826,time_stretch,0.26666666666666666,0.3799541111268843,30.202414772727266,classical_01,0.6306479934900852,0.967479674796748,0.9992302891411523,0.9399999590045924
