pair_id,musecp_key,musecp_chroma_mean,musecp_chroma_dtw,musecp_bpm,musecp_beat_f,musecp_beat_ig,musecp_struct_f,musecp_ari,musecp_contour,musecp_motif,musecp_mfcc_skl,musecp_mfcc_cos,musecp_mean12,musecp_mean10
classical_02::shuffle::shuf_beat,1.000000,0.999575,0.895019,0.429798,0.000000,0.529330,0.985431,0.889015,0.432831,0.000000,0.847739,0.999974,0.646347,0.590941
classical_02::control::ctrl,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
classical_01::shuffle::shuf_bar,1.000000,0.999954,0.959977,1.000000,0.307692,0.529330,0.899721,0.000000,0.565477,0.666667,0.961053,0.999994,0.717946,0.665455
classical_01::shuffle::shuf_beat,1.000000,0.989953,0.933088,1.000000,0.444444,0.641945,0.912033,0.000000,0.374278,0.000000,0.808530,0.999973,0.646245,0.594763
classical_01::displacement::disp_far,0.833333,0.954284,0.895361,0.073528,0.250000,0.517511,1.000000,1.000000,0.270805,0.000000,0.505369,0.980020,0.571888,0.544605
classical_01::reverse::rev,1.000000,0.989835,0.865411,0.031602,0.222222,0.517511,1.000000,1.000000,0.424870,0.222222,0.793535,0.999996,0.649878,0.600620
classical_01::displacement::disp_near,0.833333,0.900127,0.849453,0.048789,0.400000,0.517511,1.000000,1.000000,0.281744,0.000000,0.468016,0.973765,0.561228,0.538260
classical_01::control::ctrl,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
classical_02::shuffle::shuf_bar,1.000000,0.999959,0.889695,1.000000,0.000000,0.529330,1.000000,1.000000,0.410590,0.000000,0.947459,0.999992,0.711078,0.658582
classical_02::reverse::rev,1.000000,0.999707,0.886004,0.469752,0.000000,0.486706,1.000000,1.000000,0.381579,0.000000,0.691395,0.999989,0.638180,0.596859
classical_02::displacement::disp_far,0.833333,0.941198,0.823659,0.166222,0.400000,0.440043,1.000000,1.000000,0.281269,0.000000,0.513558,0.974790,0.573632,0.548124
classical_03::control::ctrl,1.000000,1.000000,1.000000,1.000000,1.000000,0.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,0.916667,0.900000
classical_02::displacement::disp_near,0.500000,0.930701,0.780851,0.429798,0.000000,0.529330,0.971608,0.764058,0.288441,0.000000,0.450306,0.977811,0.505991,0.472017
classical_03::shuffle::shuf_beat,1.000000,0.999731,0.903185,0.624160,0.000000,0.000000,1.000000,1.000000,0.538920,0.266667,0.009489,0.999979,0.594950,0.613571
classical_03::reverse::rev,1.000000,0.999994,0.852526,1.000000,0.000000,0.000000,0.984676,0.911981,0.317718,0.400000,0.229099,0.999996,0.615026,0.615567
classical_03::shuffle::shuf_bar,1.000000,0.999590,0.837325,0.134434,0.000000,0.000000,0.899721,0.000000,0.431992,0.200000,0.010501,0.999961,0.426898,0.411814
classical_03::displacement::disp_far,0.333333,0.743677,0.692765,0.782579,0.000000,0.000000,0.899721,0.000000,0.245685,0.000000,0.009739,0.950088,0.299919,0.280963
classical_03::displacement::disp_near,0.833333,0.785319,0.663740,0.045311,0.000000,0.000000,0.899721,0.000000,0.281835,0.000000,0.016547,0.974803,0.298148,0.267524
classical_04::shuffle::shuf_bar,0.333333,0.993962,0.915580,1.000000,0.000000,0.626695,0.840154,0.000000,0.482850,0.285714,0.931031,0.999984,0.583806,0.507511
classical_04::shuffle::shuf_beat,1.000000,0.998836,0.894167,1.000000,0.000000,0.641945,0.887520,0.000000,0.397800,0.142857,0.852972,0.999973,0.619689,0.558426
classical_04::control::ctrl,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
classical_04::reverse::rev,1.000000,0.999975,0.880688,1.000000,0.363636,0.582659,0.924438,0.000000,0.309091,0.285714,0.820284,0.999996,0.649718,0.597739
classical_04::displacement::disp_near,1.000000,0.969644,0.873660,1.000000,0.000000,0.673358,0.795961,0.000000,0.329371,0.071429,0.652524,0.995657,0.565390,0.515283
classical_04::displacement::disp_far,1.000000,0.963709,0.830220,1.000000,0.363636,0.626695,0.924438,0.000000,0.316200,0.000000,0.660177,0.993412,0.600678,0.557825
classical_05::control::ctrl,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
classical_05::shuffle::shuf_beat,1.000000,0.999503,0.926821,0.571607,0.000000,0.517511,1.000000,1.000000,0.365021,0.000000,0.749615,0.999993,0.657583,0.614286
classical_05::shuffle::shuf_bar,1.000000,0.999880,0.997065,0.571607,1.000000,0.766380,0.946140,0.452769,0.837212,0.583333,0.955784,0.999999,0.832887,0.803912
classical_05::reverse::rev,1.000000,0.999985,0.869657,0.571607,0.769231,0.766380,0.946140,0.452769,0.350808,0.166667,0.685156,0.999999,0.686659,0.655657
classical_05::displacement::disp_near,1.000000,0.999148,0.965215,1.000000,1.000000,0.727647,0.986505,0.782855,0.540242,0.166667,0.794757,0.999896,0.815255,0.798994
classical_05::displacement::disp_far,1.000000,0.952270,0.905517,1.000000,0.363636,0.517511,0.986505,0.782855,0.315417,0.000000,0.499552,0.998596,0.663863,0.647573
classical_06::shuffle::shuf_beat,1.000000,0.999377,0.912874,0.007285,0.000000,0.000000,0.738271,0.000000,0.337957,0.125000,0.727831,0.999995,0.440472,0.355942
classical_06::control::ctrl,1.000000,1.000000,1.000000,1.000000,1.000000,0.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,0.916667,0.900000
classical_06::shuffle::shuf_bar,1.000000,0.999994,0.927840,1.000000,0.000000,0.000000,0.912033,0.000000,0.273420,0.625000,0.966120,0.999998,0.611363,0.537044
classical_06::reverse::rev,1.000000,0.999970,0.882244,0.228422,0.000000,0.000000,1.000000,1.000000,0.269178,0.500000,0.707585,0.999999,0.607846,0.558826
classical_06::displacement::disp_far,0.666667,0.709338,0.771053,0.085355,0.000000,0.000000,0.987342,0.000000,0.291337,0.000000,0.182389,0.915305,0.295704,0.273498
classical_06::displacement::disp_near,0.166667,0.857760,0.750315,0.184170,0.000000,0.000000,1.000000,1.000000,0.266492,0.000000,0.168297,0.805622,0.331992,0.365628
classical_07::control::ctrl,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
classical_07::shuffle::shuf_beat,1.000000,0.999556,0.910282,0.823664,0.857143,0.704163,1.000000,1.000000,0.413510,0.142857,0.770965,0.999750,0.782323,0.761931
classical_07::reverse::rev,1.000000,0.999997,0.927532,1.000000,1.000000,0.626695,0.974692,0.000000,0.432678,0.000000,0.642406,0.999990,0.696379,0.671625
classical_07::shuffle::shuf_bar,1.000000,0.999979,0.853707,0.823664,0.000000,0.626695,1.000000,1.000000,0.326134,0.857143,0.922349,0.999988,0.759931,0.719732
classical_07::displacement::disp_near,1.000000,0.943374,0.816297,1.000000,0.000000,0.626695,1.000000,1.000000,0.316910,0.000000,0.439578,0.983432,0.639490,0.630878
classical_08::control::ctrl,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
classical_08::shuffle::shuf_beat,1.000000,0.999136,0.897206,0.457021,0.000000,0.704163,0.985431,0.889015,0.459541,0.000000,0.740623,0.999997,0.657324,0.614876
classical_07::displacement::disp_far,1.000000,0.961815,0.877769,1.000000,0.000000,0.626695,1.000000,1.000000,0.433275,0.142857,0.339821,0.974668,0.664307,0.674461
classical_08::shuffle::shuf_bar,1.000000,0.999535,0.917158,0.106755,0.000000,0.517511,0.972322,0.716515,0.522805,0.142857,0.676101,0.999998,0.611901,0.566858
classical_08::reverse::rev,1.000000,0.999948,0.845825,0.002422,0.166667,0.379954,1.000000,1.000000,0.421219,0.000000,0.710827,0.999999,0.604999,0.555083
classical_08::displacement::disp_near,1.000000,0.967149,0.873631,0.000398,0.000000,0.379954,1.000000,1.000000,0.320731,0.000000,0.514105,0.998518,0.559960,0.521459
classical_08::displacement::disp_far,1.000000,0.960988,0.824555,0.038288,0.400000,0.486706,0.985431,0.889015,0.415012,0.142857,0.400921,0.998743,0.598604,0.579118
classical_09::shuffle::shuf_beat,1.000000,0.999732,0.905672,0.814584,0.571429,0.626695,0.887520,0.000000,0.480518,0.300000,0.806968,0.999900,0.670495,0.624052
classical_09::control::ctrl,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
classical_09::shuffle::shuf_bar,1.000000,0.999991,0.722058,1.000000,0.000000,0.704163,1.000000,1.000000,0.289350,0.800000,0.975684,0.999997,0.759649,0.714025
classical_10::control::ctrl,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
classical_09::reverse::rev,1.000000,0.999997,0.620748,1.000000,0.000000,0.720021,1.000000,1.000000,0.322057,0.200000,0.624432,0.999990,0.671907,0.644066
classical_10::shuffle::shuf_beat,1.000000,0.998863,0.796039,0.407067,0.000000,0.517511,0.985431,0.889015,0.388948,0.066667,0.708876,0.999966,0.619569,0.572777
classical_09::displacement::disp_near,0.000000,0.690013,0.586195,0.814584,0.000000,0.626695,1.000000,1.000000,0.308590,0.100000,0.392013,0.977752,0.460966,0.423875
classical_09::displacement::disp_far,0.500000,0.616302,0.359828,0.685384,0.000000,0.626695,1.000000,1.000000,0.304424,0.100000,0.329684,0.966714,0.437871,0.407177
classical_10::reverse::rev,1.000000,0.999997,0.748156,0.244279,0.545455,0.641267,0.985057,0.902341,0.345119,0.133333,0.655464,0.999979,0.653114,0.618398
classical_10::displacement::disp_near,1.000000,0.890646,0.837457,0.178591,0.307692,0.476000,1.000000,1.000000,0.270589,0.066667,0.328267,0.968048,0.561883,0.555561
classical_10::displacement::disp_far,0.833333,0.953360,0.829052,0.064830,0.307692,0.476000,0.934467,0.250743,0.331160,0.000000,0.459079,0.986206,0.494298,0.453493
classical_11::shuffle::shuf_beat,1.000000,0.999389,0.843280,0.747197,1.000000,0.813348,0.887520,0.000000,0.378619,0.307692,0.094169,0.999986,0.637777,0.656444
classical_10::shuffle::shuf_bar,1.000000,0.999954,0.827248,0.671974,0.235294,0.388226,0.663903,0.236648,0.456965,0.533333,0.908766,0.999989,0.605207,0.535429
classical_11::control::ctrl,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
classical_11::shuffle::shuf_bar,0.833333,0.999101,0.881837,0.656692,0.666667,0.000000,1.000000,1.000000,0.408789,0.076923,0.286093,0.999988,0.629608,0.627338
classical_11::reverse::rev,1.000000,0.999996,0.845803,0.112896,0.000000,0.000000,1.000000,1.000000,0.306750,0.153846,0.093420,0.999996,0.517254,0.511887
classical_11::displacement::disp_near,0.666667,0.914022,0.775781,0.145737,0.000000,0.813348,0.924438,0.000000,0.346848,0.384615,0.005731,0.902776,0.417895,0.443283
classical_11::displacement::disp_far,0.833333,0.878172,0.759762,0.112896,0.222222,0.529330,0.936922,0.000000,0.344715,0.000000,0.034217,0.978218,0.413970,0.403265
classical_12::control::ctrl,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
classical_12::shuffle::shuf_beat,1.000000,0.999068,0.980553,0.757412,0.000000,0.704163,0.984676,0.911981,0.505423,1.000000,0.704685,0.999991,0.780291,0.766055
classical_12::shuffle::shuf_bar,1.000000,0.999260,0.975627,0.757412,0.857143,0.720021,0.954106,0.764525,0.530895,1.000000,0.946822,0.999998,0.857686,0.834572
classical_12::reverse::rev,1.000000,0.999998,0.974897,0.409392,0.250000,0.626695,1.000000,1.000000,0.465295,1.000000,0.676661,0.999998,0.768508,0.754730
classical_12::displacement::disp_near,0.500000,0.762039,0.908228,0.314208,0.363636,0.476000,0.970877,0.795471,0.283180,0.000000,0.670489,0.999338,0.532801,0.472787
classical_12::displacement::disp_far,0.500000,0.708498,0.752431,0.314208,0.333333,0.486706,0.958966,0.370404,0.291921,0.000000,0.520911,0.998987,0.450780,0.389556
classical_13::control::ctrl,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
classical_13::shuffle::shuf_beat,1.000000,0.999896,0.966981,0.860659,0.000000,0.626695,1.000000,1.000000,0.508096,1.000000,0.812879,0.999974,0.800305,0.779197
classical_13::shuffle::shuf_bar,1.000000,0.997074,0.945877,1.000000,1.000000,0.813348,1.000000,1.000000,0.339146,0.750000,0.976381,0.999998,0.881948,0.860713
classical_13::displacement::disp_near,0.666667,0.812653,0.802439,0.358656,0.200000,0.440043,0.694485,0.000000,0.285653,0.000000,0.222093,0.980243,0.369693,0.330367
classical_13::displacement::disp_far,0.833333,0.836843,0.816856,0.373673,0.000000,0.704163,0.721941,0.000000,0.262188,0.000000,0.263009,0.988342,0.405689,0.365964
classical_13::reverse::rev,1.000000,0.998236,0.934511,1.000000,0.000000,0.704163,1.000000,1.000000,0.381924,0.500000,0.702163,0.999997,0.749117,0.728898
classical_14::shuffle::shuf_beat,1.000000,0.999828,0.856217,0.002128,0.153846,0.388226,0.863514,0.000000,0.508415,0.125000,0.660836,0.999998,0.513593,0.450425
classical_14::control::ctrl,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
classical_14::shuffle::shuf_bar,1.000000,0.999978,0.879193,0.922238,0.000000,0.000000,0.912033,0.000000,0.355749,0.750000,0.657742,0.999996,0.592092,0.544935
classical_14::reverse::rev,1.000000,0.999999,0.829271,0.009910,0.181818,0.491282,0.899721,0.000000,0.281229,0.000000,0.660643,0.999997,0.493047,0.425789
classical_14::displacement::disp_near,0.666667,0.813818,0.746309,1.000000,0.500000,0.813348,0.924438,0.000000,0.371553,0.000000,0.497919,0.998490,0.552865,0.514586
classical_15::control::ctrl,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
classical_15::shuffle::shuf_beat,0.166667,0.997889,0.935804,0.540514,0.000000,0.517511,0.950585,0.804073,0.444890,0.000000,0.784848,0.999912,0.572742,0.508967
classical_15::shuffle::shuf_bar,1.000000,0.999953,0.925409,0.157914,0.444444,0.579728,1.000000,1.000000,0.393726,0.000000,0.868479,0.999972,0.678320,0.627225
classical_15::reverse::rev,0.166667,0.995147,0.878111,1.000000,0.500000,0.579728,0.840154,0.000000,0.284635,0.181818,0.683074,0.999983,0.551982,0.494261
classical_14::displacement::disp_far,0.666667,0.838060,0.731325,0.366741,0.571429,0.641267,0.617975,0.000000,0.309713,0.250000,0.500396,0.998419,0.453397,0.395004
classical_15::displacement::disp_near,0.833333,0.866675,0.860796,0.039558,0.222222,0.517511,0.969300,0.632696,0.284361,0.000000,0.409672,0.949418,0.490861,0.470158
classical_15::displacement::disp_far,0.333333,0.864975,0.831864,0.039558,0.181818,0.517511,0.982249,0.938152,0.282976,0.000000,0.319529,0.964099,0.467073,0.444365
ambient_01::control::ctrl,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
ambient_01::shuffle::shuf_beat,1.000000,0.999678,0.981423,1.000000,0.888889,0.641267,1.000000,1.000000,0.382628,0.125000,0.875394,0.999995,0.807694,0.781767
ambient_01::reverse::rev,1.000000,0.999980,0.973349,0.201298,0.000000,0.626695,0.947497,0.301132,0.287057,0.000000,0.752562,0.999999,0.565972,0.504053
ambient_01::shuffle::shuf_bar,1.000000,0.999985,0.980295,0.096477,0.400000,0.579728,0.987342,0.000000,0.286243,0.250000,0.966072,0.999998,0.608326,0.533404
ambient_01::displacement::disp_near,0.500000,0.995798,0.978365,0.273538,0.000000,0.626695,0.987342,0.000000,0.257205,0.000000,0.413623,0.992394,0.477871,0.435692
