key,id,ref,est,degraded_metrics,dim_target,genre,harmony_tonality.chroma_similarity.chroma_dtw_cosine,harmony_tonality.chroma_similarity.mean_chroma_cosine,harmony_tonality.key_relatedness.distance_norm_0to1,magnitude,melodic_content.contour_dtw_similarity,melodic_content.motif_3gram_recall,perturbation,rhythm_meter.beat_mir_eval.F-measure,rhythm_meter.beat_mir_eval.Information gain,rhythm_meter.delta_bpm_folded,source_id,structural_form.ari,structural_form.pairwise_f,timbre_texture.mean_mfcc_cosine,timbre_texture.mfcc_skl_similarity
classical_02::shuffle::shuf_beat,classical_02::shuffle::shuf_beat,perturbations_temporal/audio/classical_02__A.wav,perturbations_temporal/audio/classical_02__shuffle__shuf_beat.wav,,S,classical,0.895019384212911,0.9995745210630934,0.0,,0.4328311047888246,0.0,shuffle,0.0,0.5293296949484161,8.444393382352928,classical_02,0.8890154286094301,0.9854314531191632,0.9999735969048203,0.8477392879265782
classical_02::control::ctrl,classical_02::control::ctrl,perturbations_temporal/audio/classical_02__A.wav,perturbations_temporal/audio/classical_02__control__ctrl.wav,,control,classical,1.0,0.9999999765279087,0.0,0.0,1.0,1.0,control,1.0,1.0,0.0,classical_02,1.0,1.0,0.9999999998171192,1.0
classical_01::shuffle::shuf_bar,classical_01::shuffle::shuf_bar,perturbations_temporal/audio/classical_01__A.wav,perturbations_temporal/audio/classical_01__shuffle__shuf_bar.wav,,S,classical,0.9599769566113225,0.9999538941902633,0.0,,0.5654770566424139,0.6666666666666666,shuffle,0.30769230769230765,0.5293296949484161,0.0,classical_01,0.0,0.8997214484679666,0.9999943621107619,0.9610530286737601
classical_01::shuffle::shuf_beat,classical_01::shuffle::shuf_beat,perturbations_temporal/audio/classical_01__A.wav,perturbations_temporal/audio/classical_01__shuffle__shuf_beat.wav,,S,classical,0.9330875473237574,0.989953110891571,0.0,,0.3742780075526597,0.0,shuffle,0.4444444444444444,0.6419454571041097,0.0,classical_01,0.0,0.9120330521604407,0.9999727666978137,0.8085298317172149
classical_01::displacement::disp_far,classical_01::displacement::disp_far,perturbations_temporal/audio/classical_01__A.wav,perturbations_temporal/audio/classical_01__displacement__disp_far.wav,,S,classical,0.8953614657893157,0.9542843053591813,0.16666666666666666,7.5,0.27080474274495303,0.0,displacement,0.25,0.5175105162781474,26.100852272727266,classical_01,1.0,1.0,0.9800200431654419,0.5053690942131182
classical_01::reverse::rev,classical_01::reverse::rev,perturbations_temporal/audio/classical_01__A.wav,perturbations_temporal/audio/classical_01__reverse__rev.wav,,S,classical,0.8654111504238776,0.9898347557468411,0.0,,0.4248702161485537,0.2222222222222222,reverse,0.2222222222222222,0.5175105162781474,34.545245655080194,classical_01,1.0,1.0,0.9999963841175808,0.7935349372650304
classical_01::displacement::disp_near,classical_01::displacement::disp_near,perturbations_temporal/audio/classical_01__A.wav,perturbations_temporal/audio/classical_01__displacement__disp_near.wav,,S,classical,0.849452617610781,0.9001273757650791,0.16666666666666666,2.0,0.28174438106950306,0.0,displacement,0.4,0.5175105162781474,30.202414772727266,classical_01,1.0,1.0,0.9737649129703644,0.468015995505891
classical_01::control::ctrl,classical_01::control::ctrl,perturbations_temporal/audio/classical_01__A.wav,perturbations_temporal/audio/classical_01__control__ctrl.wav,,control,classical,1.0,0.9999999775957903,0.0,0.0,1.0,1.0,control,1.0,1.0,0.0,classical_01,1.0,1.0,0.9999999998725526,1.0
classical_02::shuffle::shuf_bar,classical_02::shuffle::shuf_bar,perturbations_temporal/audio/classical_02__A.wav,perturbations_temporal/audio/classical_02__shuffle__shuf_bar.wav,,S,classical,0.8896951118615499,0.9999586857961298,0.0,,0.41058975422459076,0.0,shuffle,0.0,0.5293296949484162,0.0,classical_02,1.0,1.0,0.9999915321040026,0.9474587186444925
classical_02::reverse::rev,classical_02::reverse::rev,perturbations_temporal/audio/classical_02__A.wav,perturbations_temporal/audio/classical_02__reverse__rev.wav,,S,classical,0.8860035360347728,0.9997073846542995,0.0,,0.3815793801108571,0.0,reverse,0.0,0.48670586909290575,7.555509868421041,classical_02,1.0,1.0,0.9999893754220038,0.6913953521272687
classical_02::displacement::disp_far,classical_02::displacement::disp_far,perturbations_temporal/audio/classical_02__A.wav,perturbations_temporal/audio/classical_02__displacement__disp_far.wav,,S,classical,0.8236591688407141,0.9411984892763988,0.16666666666666666,7.5,0.2812687671152928,0.0,displacement,0.39999999999999997,0.4400427662831699,17.9443359375,classical_02,1.0,1.0,0.9747900396403193,0.5135577954743042
