pair_id,source_id,genre,dim_target,perturbation,magnitude,score_H,score_T,score_R,score_S
classical_01::control::ctrl,classical_01,classical,control,control,0.0,1.000000,1.000000,1.000000,0.287844
classical_01::pitch_shift::-4st,classical_01,classical,H,pitch_shift,-4.0,0.862062,0.612549,0.992494,0.197062
classical_01::pitch_shift::-2st,classical_01,classical,H,pitch_shift,-2.0,0.824331,0.735423,0.983546,0.212361
classical_01::pitch_shift::-1st,classical_01,classical,H,pitch_shift,-1.0,0.795448,0.849356,0.996963,0.217077
classical_01::pitch_shift::+1st,classical_01,classical,H,pitch_shift,1.0,0.788337,0.819778,0.996755,0.211818
classical_01::pitch_shift::+2st,classical_01,classical,H,pitch_shift,2.0,0.840758,0.725842,0.983723,0.251941
classical_01::pitch_shift::+4st,classical_01,classical,H,pitch_shift,4.0,0.861297,0.637273,0.980190,0.248829
classical_01::time_stretch::-20pct,classical_01,classical,R,time_stretch,-20.0,0.996128,0.857819,0.914693,0.291742
classical_01::time_stretch::-10pct,classical_01,classical,R,time_stretch,-10.0,0.997444,0.898502,0.904769,0.301785
classical_01::time_stretch::-5pct,classical_01,classical,R,time_stretch,-5.0,0.998224,0.932719,0.907293,0.297749
classical_01::time_stretch::+5pct,classical_01,classical,R,time_stretch,5.0,0.997039,0.908418,0.932433,0.291969
classical_01::time_stretch::+10pct,classical_01,classical,R,time_stretch,10.0,0.995500,0.882854,0.913765,0.293632
classical_01::time_stretch::+20pct,classical_01,classical,R,time_stretch,20.0,0.994233,0.851098,0.887089,0.309662
classical_01::lowpass::lp8000,classical_01,classical,T,lowpass,8000.0,1.000000,0.818931,0.998947,0.291000
classical_01::lowpass::lp4000,classical_01,classical,T,lowpass,4000.0,0.999999,0.583820,0.984677,0.297269
classical_01::lowpass::lp2000,classical_01,classical,T,lowpass,2000.0,0.999966,0.484488,0.982548,0.283222
classical_01::distortion::drv4,classical_01,classical,T,distortion,4.0,0.999999,0.939766,0.999491,0.281883
classical_01::distortion::drv12,classical_01,classical,T,distortion,12.0,0.999808,0.741767,0.993548,0.280460
classical_01::distortion::drv32,classical_01,classical,T,distortion,32.0,0.997670,0.597950,0.984828,0.203295
classical_01::style_swap::swap_cross,classical_01,classical,S,style_swap,nan,0.756144,0.384217,0.934589,0.133455
classical_01::style_swap::swap_same,classical_01,classical,S,style_swap,nan,0.845911,0.516401,0.904930,0.227825
classical_02::control::ctrl,classical_02,classical,control,control,0.0,1.000000,1.000000,1.000000,0.313907
classical_02::pitch_shift::-4st,classical_02,classical,H,pitch_shift,-4.0,0.871717,0.518691,0.991982,0.245441
classical_02::pitch_shift::-2st,classical_02,classical,H,pitch_shift,-2.0,0.854366,0.672871,0.994172,0.246990
classical_02::pitch_shift::-1st,classical_02,classical,H,pitch_shift,-1.0,0.861364,0.784459,0.994915,0.263134
classical_02::pitch_shift::+1st,classical_02,classical,H,pitch_shift,1.0,0.858125,0.795764,0.993865,0.220389
classical_02::pitch_shift::+2st,classical_02,classical,H,pitch_shift,2.0,0.860851,0.690338,0.992833,0.262580
classical_02::pitch_shift::+4st,classical_02,classical,H,pitch_shift,4.0,0.872927,0.579022,0.990261,0.265782
classical_02::time_stretch::-20pct,classical_02,classical,R,time_stretch,-20.0,0.998827,0.794317,0.907132,0.311062
classical_02::time_stretch::-10pct,classical_02,classical,R,time_stretch,-10.0,0.999000,0.792003,0.916804,0.303760
classical_02::time_stretch::-5pct,classical_02,classical,R,time_stretch,-5.0,0.999121,0.832235,0.921918,0.298351
classical_02::time_stretch::+5pct,classical_02,classical,R,time_stretch,5.0,0.999806,0.896479,0.923776,0.296562
classical_02::time_stretch::+10pct,classical_02,classical,R,time_stretch,10.0,0.999391,0.888793,0.907349,0.282836
classical_02::time_stretch::+20pct,classical_02,classical,R,time_stretch,20.0,0.994538,0.863815,0.918092,0.269663
classical_02::lowpass::lp8000,classical_02,classical,T,lowpass,8000.0,1.000000,0.540419,0.998866,0.317789
classical_02::lowpass::lp4000,classical_02,classical,T,lowpass,4000.0,0.996767,0.498750,0.996442,0.312798
classical_02::lowpass::lp2000,classical_02,classical,T,lowpass,2000.0,0.999545,0.435651,0.992241,0.276123
classical_02::distortion::drv4,classical_02,classical,T,distortion,4.0,1.000000,0.971852,0.999929,0.303947
classical_02::distortion::drv12,classical_02,classical,T,distortion,12.0,0.999950,0.833633,0.998966,0.290114
classical_02::distortion::drv32,classical_02,classical,T,distortion,32.0,0.992631,0.649915,0.994843,0.307073
classical_02::style_swap::swap_cross,classical_02,classical,S,style_swap,nan,0.867470,0.357397,0.917487,0.140530
classical_02::style_swap::swap_same,classical_02,classical,S,style_swap,nan,0.942536,0.471133,0.900222,0.162271
classical_03::control::ctrl,classical_03,classical,control,control,0.0,1.000000,0.999997,1.000000,0.363799
classical_03::pitch_shift::-4st,classical_03,classical,H,pitch_shift,-4.0,0.763278,0.578650,0.889923,0.281268
classical_03::pitch_shift::-2st,classical_03,classical,H,pitch_shift,-2.0,0.782893,0.713880,0.874173,0.257917
classical_03::pitch_shift::-1st,classical_03,classical,H,pitch_shift,-1.0,0.697189,0.819816,0.924334,0.235004
classical_03::pitch_shift::+1st,classical_03,classical,H,pitch_shift,1.0,0.685872,0.811784,0.988392,0.249115
classical_03::pitch_shift::+2st,classical_03,classical,H,pitch_shift,2.0,0.784037,0.713773,0.879468,0.283738
classical_03::pitch_shift::+4st,classical_03,classical,H,pitch_shift,4.0,0.755407,0.595073,0.862042,0.222559
classical_03::time_stretch::-20pct,classical_03,classical,R,time_stretch,-20.0,0.988873,0.715888,0.829531,0.347212
classical_03::time_stretch::-10pct,classical_03,classical,R,time_stretch,-10.0,0.994096,0.828248,0.830914,0.373038
classical_03::time_stretch::-5pct,classical_03,classical,R,time_stretch,-5.0,0.998272,0.902038,0.858321,0.366550
classical_03::time_stretch::+5pct,classical_03,classical,R,time_stretch,5.0,0.997052,0.887516,0.796007,0.331769
classical_03::time_stretch::+10pct,classical_03,classical,R,time_stretch,10.0,0.995176,0.894040,0.781351,0.345988
classical_03::time_stretch::+20pct,classical_03,classical,R,time_stretch,20.0,0.986146,0.849383,0.769112,0.301259
classical_03::lowpass::lp8000,classical_03,classical,T,lowpass,8000.0,1.000000,0.987020,0.999866,0.363305
classical_03::lowpass::lp4000,classical_03,classical,T,lowpass,4000.0,1.000000,0.981225,0.999840,0.384530
classical_03::lowpass::lp2000,classical_03,classical,T,lowpass,2000.0,1.000000,0.956241,0.999435,0.387374
classical_03::distortion::drv4,classical_03,classical,T,distortion,4.0,1.000000,0.963298,0.998158,0.363305
classical_03::distortion::drv12,classical_03,classical,T,distortion,12.0,0.999997,0.820762,0.992398,0.364623
classical_03::distortion::drv32,classical_03,classical,T,distortion,32.0,0.999737,0.639981,0.892112,0.304680
classical_03::style_swap::swap_cross,classical_03,classical,S,style_swap,nan,0.876701,0.363710,0.767467,0.113244
classical_03::style_swap::swap_same,classical_03,classical,S,style_swap,nan,0.791802,0.405002,0.900867,0.110484
classical_04::control::ctrl,classical_04,classical,control,control,0.0,1.000000,1.000000,1.000000,0.257854
classical_04::pitch_shift::-4st,classical_04,classical,H,pitch_shift,-4.0,0.901489,0.521403,0.984482,0.255536
classical_04::pitch_shift::-2st,classical_04,classical,H,pitch_shift,-2.0,0.902143,0.678577,0.987468,0.227439
classical_04::pitch_shift::-1st,classical_04,classical,H,pitch_shift,-1.0,0.887219,0.788843,0.989224,0.293074
classical_04::pitch_shift::+1st,classical_04,classical,H,pitch_shift,1.0,0.877595,0.801290,0.986898,0.241950
classical_04::pitch_shift::+2st,classical_04,classical,H,pitch_shift,2.0,0.905721,0.680111,0.982468,0.282305
classical_04::pitch_shift::+4st,classical_04,classical,H,pitch_shift,4.0,0.908542,0.550581,0.974580,0.290087
classical_04::time_stretch::-20pct,classical_04,classical,R,time_stretch,-20.0,0.998670,0.886804,0.682280,0.239665
classical_04::time_stretch::-10pct,classical_04,classical,R,time_stretch,-10.0,0.999432,0.906711,0.743844,0.255095
classical_04::time_stretch::-5pct,classical_04,classical,R,time_stretch,-5.0,0.999685,0.907272,0.799026,0.253550
classical_04::time_stretch::+5pct,classical_04,classical,R,time_stretch,5.0,0.999197,0.887242,0.829843,0.246729
classical_04::time_stretch::+10pct,classical_04,classical,R,time_stretch,10.0,0.998760,0.879805,0.671739,0.222584
classical_04::time_stretch::+20pct,classical_04,classical,R,time_stretch,20.0,0.997952,0.873481,0.675817,0.241137
classical_04::lowpass::lp8000,classical_04,classical,T,lowpass,8000.0,0.999962,0.494824,0.956801,0.259869
classical_04::lowpass::lp4000,classical_04,classical,T,lowpass,4000.0,0.999988,0.451422,0.946613,0.254352
classical_04::lowpass::lp2000,classical_04,classical,T,lowpass,2000.0,0.999784,0.424381,0.776986,0.194338
classical_04::distortion::drv4,classical_04,classical,T,distortion,4.0,0.998683,0.915623,0.998689,0.256280
classical_04::distortion::drv12,classical_04,classical,T,distortion,12.0,0.999733,0.727059,0.990520,0.252899
classical_04::distortion::drv32,classical_04,classical,T,distortion,32.0,0.997847,0.596923,0.933518,0.222972
classical_04::style_swap::swap_cross,classical_04,classical,S,style_swap,nan,0.718854,0.437217,0.680686,0.228820
classical_04::style_swap::swap_same,classical_04,classical,S,style_swap,nan,0.865958,0.423247,0.690671,0.213099
classical_05::control::ctrl,classical_05,classical,control,control,0.0,1.000000,1.000000,1.000000,0.369980
classical_05::pitch_shift::-4st,classical_05,classical,H,pitch_shift,-4.0,0.821281,0.543714,0.987096,0.320527
classical_05::pitch_shift::-2st,classical_05,classical,H,pitch_shift,-2.0,0.930625,0.682357,0.991845,0.329579
classical_05::pitch_shift::-1st,classical_05,classical,H,pitch_shift,-1.0,0.779984,0.785097,0.993590,0.325586
