seed,C_cand,S_cand,clap_htsat_cand,random_cand,C_loser_cand,C_pair_id,S_pair_id,clap_htsat_pair_id,random_pair_id,C_loser_pair_id
s01,04,04,05,00,07,s01::cand04,s01::cand04,s01::cand05,s01::cand00,s01::cand07
s02,01,01,01,03,04,s02::cand01,s02::cand01,s02::cand01,s02::cand03,s02::cand04
s03,02,00,03,00,06,s03::cand02,s03::cand00,s03::cand03,s03::cand00,s03::cand06
s04,07,06,06,01,03,s04::cand07,s04::cand06,s04::cand06,s04::cand01,s04::cand03
s05,01,02,03,01,07,s05::cand01,s05::cand02,s05::cand03,s05::cand01,s05::cand07
s06,02,02,07,03,01,s06::cand02,s06::cand02,s06::cand07,s06::cand03,s06::cand01
s07,06,06,05,04,04,s07::cand06,s07::cand06,s07::cand05,s07::cand04,s07::cand04
s08,05,05,03,00,02,s08::cand05,s08::cand05,s08::cand03,s08::cand00,s08::cand02
s09,07,01,03,06,05,s09::cand07,s09::cand01,s09::cand03,s09::cand06,s09::cand05
s10,02,02,02,01,07,s10::cand02,s10::cand02,s10::cand02,s10::cand01,s10::cand07
s11,02,02,03,05,05,s11::cand02,s11::cand02,s11::cand03,s11::cand05,s11::cand05
s12,00,00,03,04,06,s12::cand00,s12::cand00,s12::cand03,s12::cand04,s12::cand06
s13,07,00,07,03,06,s13::cand07,s13::cand00,s13::cand07,s13::cand03,s13::cand06
s14,04,04,07,03,06,s14::cand04,s14::cand04,s14::cand07,s14::cand03,s14::cand06
s15,01,01,07,06,03,s15::cand01,s15::cand01,s15::cand07,s15::cand06,s15::cand03
s16,06,05,06,02,03,s16::cand06,s16::cand05,s16::cand06,s16::cand02,s16::cand03
s17,03,03,03,02,04,s17::cand03,s17::cand03,s17::cand03,s17::cand02,s17::cand04
s18,04,02,02,05,05,s18::cand04,s18::cand02,s18::cand02,s18::cand05,s18::cand05
s19,02,02,04,06,00,s19::cand02,s19::cand02,s19::cand04,s19::cand06,s19::cand00
s20,02,02,01,03,04,s20::cand02,s20::cand02,s20::cand01,s20::cand03,s20::cand04
s21,01,06,07,05,00,s21::cand01,s21::cand06,s21::cand07,s21::cand05,s21::cand00
s22,00,00,05,03,03,s22::cand00,s22::cand00,s22::cand05,s22::cand03,s22::cand03
s23,05,05,04,07,00,s23::cand05,s23::cand05,s23::cand04,s23::cand07,s23::cand00
s24,04,04,04,05,07,s24::cand04,s24::cand04,s24::cand04,s24::cand05,s24::cand07
s25,03,03,06,06,00,s25::cand03,s25::cand03,s25::cand06,s25::cand06,s25::cand00
s26,01,01,01,06,07,s26::cand01,s26::cand01,s26::cand01,s26::cand06,s26::cand07
s27,06,06,01,01,02,s27::cand06,s27::cand06,s27::cand01,s27::cand01,s27::cand02
s28,05,03,00,02,02,s28::cand05,s28::cand03,s28::cand00,s28::cand02,s28::cand02
s29,03,04,04,07,07,s29::cand03,s29::cand04,s29::cand04,s29::cand07,s29::cand07
s30,06,06,00,01,04,s30::cand06,s30::cand06,s30::cand00,s30::cand01,s30::cand04
s31,02,02,02,00,07,s31::cand02,s31::cand02,s31::cand02,s31::cand00,s31::cand07
s32,01,01,03,04,06,s32::cand01,s32::cand01,s32::cand03,s32::cand04,s32::cand06
s33,02,01,01,03,05,s33::cand02,s33::cand01,s33::cand01,s33::cand03,s33::cand05
s34,04,05,06,00,00,s34::cand04,s34::cand05,s34::cand06,s34::cand00,s34::cand00
s35,07,07,07,05,04,s35::cand07,s35::cand07,s35::cand07,s35::cand05,s35::cand04
s36,07,07,05,04,06,s36::cand07,s36::cand07,s36::cand05,s36::cand04,s36::cand06
s37,06,04,05,01,05,s37::cand06,s37::cand04,s37::cand05,s37::cand01,s37::cand05
s38,00,02,01,01,06,s38::cand00,s38::cand02,s38::cand01,s38::cand01,s38::cand06
s39,04,04,01,02,03,s39::cand04,s39::cand04,s39::cand01,s39::cand02,s39::cand03
s40,04,04,00,00,01,s40::cand04,s40::cand04,s40::cand00,s40::cand00,s40::cand01
