trial_id,seed,opt_A_role,opt_A_pair_id,opt_A_C,opt_B_role,opt_B_pair_id,opt_B_C,winner_option
t01,s01,winner,s01::cand04,0.7367,loser,s01::cand07,0.6043,A
t02,s02,loser,s02::cand04,0.7415,winner,s02::cand01,0.8024,B
t03,s03,loser,s03::cand06,0.6912,winner,s03::cand02,0.7381,B
t04,s04,winner,s04::cand07,0.7709,loser,s04::cand03,0.7081,A
t05,s05,loser,s05::cand07,0.7673,winner,s05::cand01,0.7896,B
t06,s06,winner,s06::cand02,0.7344,loser,s06::cand01,0.6562,A
t07,s07,winner,s07::cand06,0.8344,loser,s07::cand04,0.8067,A
t08,s08,loser,s08::cand02,0.7648,winner,s08::cand05,0.8251,B
t09,s09,winner,s09::cand07,0.7674,loser,s09::cand05,0.6681,A
t10,s10,winner,s10::cand02,0.7625,loser,s10::cand07,0.6732,A
t11,s11,winner,s11::cand02,0.8244,loser,s11::cand05,0.7530,A
t12,s12,loser,s12::cand06,0.6924,winner,s12::cand00,0.7605,B
t13,s13,loser,s13::cand06,0.7400,winner,s13::cand07,0.8346,B
t14,s14,loser,s14::cand06,0.6743,winner,s14::cand04,0.7715,B
t15,s15,winner,s15::cand01,0.7485,loser,s15::cand03,0.6606,A
t16,s16,loser,s16::cand03,0.6366,winner,s16::cand06,0.7812,B
t17,s17,winner,s17::cand03,0.7905,loser,s17::cand04,0.7073,A
t18,s18,winner,s18::cand04,0.7830,loser,s18::cand05,0.7324,A
t19,s19,winner,s19::cand02,0.6233,loser,s19::cand00,0.5684,A
t20,s20,loser,s20::cand04,0.7985,winner,s20::cand02,0.8319,B
