pair_id,source_id,genre,dim_target,perturbation,magnitude,score_H,score_T,score_R,score_S
s01::cand00,s01,s01,rerank,ace_inpaint_candidate,0.0,0.951496,0.542127,0.856101,0.507860
s01::cand01,s01,s01,rerank,ace_inpaint_candidate,1.0,0.982540,0.613239,0.792489,0.538396
s01::cand02,s01,s01,rerank,ace_inpaint_candidate,2.0,0.912148,0.526638,0.692485,0.562100
s01::cand03,s01,s01,rerank,ace_inpaint_candidate,3.0,0.936891,0.563434,0.706022,0.507785
s01::cand04,s01,s01,rerank,ace_inpaint_candidate,4.0,0.971020,0.611935,0.827763,0.598805
s01::cand05,s01,s01,rerank,ace_inpaint_candidate,5.0,0.961166,0.580914,0.814400,0.545623
s01::cand06,s01,s01,rerank,ace_inpaint_candidate,6.0,0.951629,0.575730,0.837720,0.476887
s01::cand07,s01,s01,rerank,ace_inpaint_candidate,7.0,0.922368,0.483117,0.694116,0.431081
s02::cand00,s02,s02,rerank,ace_inpaint_candidate,0.0,0.998696,0.783767,0.963010,0.538572
s02::cand01,s02,s02,rerank,ace_inpaint_candidate,1.0,0.998015,0.763052,0.983003,0.553818
s02::cand02,s02,s02,rerank,ace_inpaint_candidate,2.0,0.998373,0.815821,0.979669,0.484674
s02::cand03,s02,s02,rerank,ace_inpaint_candidate,3.0,0.996306,0.810482,0.970727,0.446258
s02::cand04,s02,s02,rerank,ace_inpaint_candidate,4.0,0.999320,0.789726,0.953071,0.401814
s02::cand05,s02,s02,rerank,ace_inpaint_candidate,5.0,0.999197,0.783876,0.976267,0.530769
s02::cand06,s02,s02,rerank,ace_inpaint_candidate,6.0,0.997751,0.778030,0.951203,0.477051
s02::cand07,s02,s02,rerank,ace_inpaint_candidate,7.0,0.998584,0.785327,0.944617,0.446609
s03::cand00,s03,s03,rerank,ace_inpaint_candidate,0.0,0.989928,0.702075,0.907421,0.455443
s03::cand01,s03,s03,rerank,ace_inpaint_candidate,1.0,0.985828,0.727321,0.924429,0.402643
s03::cand02,s03,s03,rerank,ace_inpaint_candidate,2.0,0.995107,0.730806,0.977851,0.417399
s03::cand03,s03,s03,rerank,ace_inpaint_candidate,3.0,0.997649,0.697645,0.949985,0.390820
s03::cand04,s03,s03,rerank,ace_inpaint_candidate,4.0,0.995842,0.690780,0.925929,0.390824
s03::cand05,s03,s03,rerank,ace_inpaint_candidate,5.0,0.992161,0.675097,0.897102,0.454750
s03::cand06,s03,s03,rerank,ace_inpaint_candidate,6.0,0.974740,0.726604,0.943339,0.341605
s03::cand07,s03,s03,rerank,ace_inpaint_candidate,7.0,0.976393,0.708909,0.929148,0.417400
s04::cand00,s04,s04,rerank,ace_inpaint_candidate,0.0,0.992837,0.658320,0.936351,0.469767
s04::cand01,s04,s04,rerank,ace_inpaint_candidate,1.0,0.989985,0.632673,0.945998,0.448413
s04::cand02,s04,s04,rerank,ace_inpaint_candidate,2.0,0.986832,0.645310,0.905821,0.485014
s04::cand03,s04,s04,rerank,ace_inpaint_candidate,3.0,0.997231,0.633502,0.819964,0.485366
s04::cand04,s04,s04,rerank,ace_inpaint_candidate,4.0,0.925805,0.609662,0.885934,0.506997
s04::cand05,s04,s04,rerank,ace_inpaint_candidate,5.0,0.980352,0.665067,0.910199,0.455069
s04::cand06,s04,s04,rerank,ace_inpaint_candidate,6.0,0.942038,0.627743,0.961145,0.530610
s04::cand07,s04,s04,rerank,ace_inpaint_candidate,7.0,0.998717,0.717661,0.955701,0.515644
s05::cand00,s05,s05,rerank,ace_inpaint_candidate,0.0,0.994763,0.713177,0.938291,0.560684
s05::cand01,s05,s05,rerank,ace_inpaint_candidate,1.0,0.996964,0.693728,0.953034,0.589622
s05::cand02,s05,s05,rerank,ace_inpaint_candidate,2.0,0.997302,0.687357,0.907084,0.618529
s05::cand03,s05,s05,rerank,ace_inpaint_candidate,3.0,0.996519,0.666971,0.939263,0.611814
s05::cand04,s05,s05,rerank,ace_inpaint_candidate,4.0,0.996694,0.696710,0.930908,0.597424
s05::cand05,s05,s05,rerank,ace_inpaint_candidate,5.0,0.997083,0.693671,0.916307,0.575709
s05::cand06,s05,s05,rerank,ace_inpaint_candidate,6.0,0.997121,0.679767,0.930573,0.612665
s05::cand07,s05,s05,rerank,ace_inpaint_candidate,7.0,0.977024,0.654274,0.954902,0.567908
s06::cand00,s06,s06,rerank,ace_inpaint_candidate,0.0,0.958980,0.612057,0.936082,0.454432
s06::cand01,s06,s06,rerank,ace_inpaint_candidate,1.0,0.964247,0.610485,0.938103,0.335859
s06::cand02,s06,s06,rerank,ace_inpaint_candidate,2.0,0.953742,0.630147,0.911948,0.530775
s06::cand03,s06,s06,rerank,ace_inpaint_candidate,3.0,0.944747,0.598964,0.849820,0.505018
s06::cand04,s06,s06,rerank,ace_inpaint_candidate,4.0,0.934029,0.622321,0.946976,0.446286
s06::cand05,s06,s06,rerank,ace_inpaint_candidate,5.0,0.954786,0.611290,0.904298,0.393787
s06::cand06,s06,s06,rerank,ace_inpaint_candidate,6.0,0.920094,0.561623,0.923123,0.439091
s06::cand07,s06,s06,rerank,ace_inpaint_candidate,7.0,0.946733,0.641910,0.881480,0.461543
s07::cand00,s07,s07,rerank,ace_inpaint_candidate,0.0,0.999449,0.850532,0.988178,0.552366
s07::cand01,s07,s07,rerank,ace_inpaint_candidate,1.0,0.998873,0.817759,0.979450,0.560684
s07::cand02,s07,s07,rerank,ace_inpaint_candidate,2.0,0.996878,0.842161,0.987172,0.537918
s07::cand03,s07,s07,rerank,ace_inpaint_candidate,3.0,0.999315,0.815337,0.988413,0.552365
s07::cand04,s07,s07,rerank,ace_inpaint_candidate,4.0,0.998811,0.855236,0.991643,0.500036
s07::cand05,s07,s07,rerank,ace_inpaint_candidate,5.0,0.999407,0.850204,0.989626,0.560106
s07::cand06,s07,s07,rerank,ace_inpaint_candidate,6.0,0.999128,0.863330,0.989482,0.567907
s07::cand07,s07,s07,rerank,ace_inpaint_candidate,7.0,0.998347,0.866307,0.988375,0.552363
s08::cand00,s08,s08,rerank,ace_inpaint_candidate,0.0,0.988113,0.749713,0.956892,0.618371
s08::cand01,s08,s08,rerank,ace_inpaint_candidate,1.0,0.987458,0.781882,0.953960,0.563763
s08::cand02,s08,s08,rerank,ace_inpaint_candidate,2.0,0.951554,0.721900,0.934316,0.533197
s08::cand03,s08,s08,rerank,ace_inpaint_candidate,3.0,0.995717,0.777309,0.942640,0.608304
s08::cand04,s08,s08,rerank,ace_inpaint_candidate,4.0,0.983629,0.755071,0.932681,0.566713
s08::cand05,s08,s08,rerank,ace_inpaint_candidate,5.0,0.993567,0.774422,0.958018,0.628768
s08::cand06,s08,s08,rerank,ace_inpaint_candidate,6.0,0.992928,0.776327,0.966608,0.618366
s08::cand07,s08,s08,rerank,ace_inpaint_candidate,7.0,0.965338,0.763718,0.948304,0.522055
s09::cand00,s09,s09,rerank,ace_inpaint_candidate,0.0,0.988120,0.675279,0.939128,0.484609
s09::cand01,s09,s09,rerank,ace_inpaint_candidate,1.0,0.990806,0.689293,0.869059,0.538210
s09::cand02,s09,s09,rerank,ace_inpaint_candidate,2.0,0.981597,0.675347,0.943563,0.393658
s09::cand03,s09,s09,rerank,ace_inpaint_candidate,3.0,0.972882,0.632304,0.920144,0.461859
s09::cand04,s09,s09,rerank,ace_inpaint_candidate,4.0,0.980685,0.676966,0.894702,0.409083
s09::cand05,s09,s09,rerank,ace_inpaint_candidate,5.0,0.981508,0.580332,0.853847,0.409598
s09::cand06,s09,s09,rerank,ace_inpaint_candidate,6.0,0.993694,0.644793,0.934391,0.347453
