pair_id,source_id,genre,dim_target,perturbation,magnitude,score_H,score_T,score_R
classical_01::control::ctrl,classical_01,classical,control,control,0.0,1.000000,1.000000,1.000000
classical_01::shuffle::shuf_beat,classical_01,classical,S,shuffle,nan,0.999671,0.872727,0.953483
classical_01::shuffle::shuf_bar,classical_01,classical,S,shuffle,nan,0.999967,0.946091,0.956550
classical_01::reverse::rev,classical_01,classical,S,reverse,nan,1.000000,0.999952,0.922116
classical_01::displacement::disp_near,classical_01,classical,S,displacement,2.0,0.933715,0.589818,0.917982
classical_01::displacement::disp_far,classical_01,classical,S,displacement,7.5,0.968548,0.625940,0.910065
classical_02::control::ctrl,classical_02,classical,control,control,0.0,1.000000,1.000000,1.000000
classical_02::shuffle::shuf_beat,classical_02,classical,S,shuffle,nan,0.999472,0.855683,0.850294
classical_02::shuffle::shuf_bar,classical_02,classical,S,shuffle,nan,0.999902,0.951475,0.910461
classical_02::reverse::rev,classical_02,classical,S,reverse,nan,1.000000,0.999946,0.907924
classical_02::displacement::disp_near,classical_02,classical,S,displacement,2.0,0.941210,0.542017,0.874342
classical_02::displacement::disp_far,classical_02,classical,S,displacement,7.5,0.941390,0.550801,0.893493
classical_03::control::ctrl,classical_03,classical,control,control,0.0,1.000000,0.999995,1.000000
classical_03::shuffle::shuf_beat,classical_03,classical,S,shuffle,nan,0.999655,0.921304,0.910322
classical_03::shuffle::shuf_bar,classical_03,classical,S,shuffle,nan,0.999445,0.925267,0.791625
classical_03::reverse::rev,classical_03,classical,S,reverse,nan,1.000000,0.999956,0.831176
classical_03::displacement::disp_near,classical_03,classical,S,displacement,2.0,0.821961,0.445109,0.791977
classical_03::displacement::disp_far,classical_03,classical,S,displacement,7.5,0.770599,0.453553,0.791942
classical_04::control::ctrl,classical_04,classical,control,control,0.0,1.000000,1.000000,1.000000
classical_04::shuffle::shuf_beat,classical_04,classical,S,shuffle,nan,0.998624,0.888974,0.790890
classical_04::shuffle::shuf_bar,classical_04,classical,S,shuffle,nan,0.999327,0.957926,0.834368
classical_04::reverse::rev,classical_04,classical,S,reverse,nan,0.999178,0.999956,0.672210
classical_04::displacement::disp_near,classical_04,classical,S,displacement,2.0,0.971350,0.642707,0.790890
classical_04::displacement::disp_far,classical_04,classical,S,displacement,7.5,0.963363,0.647341,0.790890
classical_05::control::ctrl,classical_05,classical,control,control,0.0,1.000000,1.000000,1.000000
classical_05::shuffle::shuf_beat,classical_05,classical,S,shuffle,nan,0.999440,0.829276,0.736652
classical_05::shuffle::shuf_bar,classical_05,classical,S,shuffle,nan,0.999842,0.905288,0.804702
classical_05::reverse::rev,classical_05,classical,S,reverse,nan,1.000000,0.999923,0.785916
classical_05::displacement::disp_near,classical_05,classical,S,displacement,2.0,0.999057,0.856542,0.865571
classical_05::displacement::disp_far,classical_05,classical,S,displacement,7.5,0.955473,0.638155,0.846417
classical_06::control::ctrl,classical_06,classical,control,control,0.0,1.000000,1.000000,1.000000
classical_06::shuffle::shuf_beat,classical_06,classical,S,shuffle,nan,0.999551,0.947449,0.830190
classical_06::shuffle::shuf_bar,classical_06,classical,S,shuffle,nan,0.999996,0.989325,0.895804
classical_06::reverse::rev,classical_06,classical,S,reverse,nan,1.000000,0.999959,0.872415
classical_06::displacement::disp_near,classical_06,classical,S,displacement,2.0,0.849577,0.360190,0.899945
classical_06::displacement::disp_far,classical_06,classical,S,displacement,7.5,0.724454,0.378907,0.853559
classical_07::control::ctrl,classical_07,classical,control,control,0.0,1.000000,1.000000,1.000000
classical_07::shuffle::shuf_beat,classical_07,classical,S,shuffle,nan,0.999607,0.953446,0.880575
classical_07::shuffle::shuf_bar,classical_07,classical,S,shuffle,nan,0.999981,0.986093,0.853253
classical_07::reverse::rev,classical_07,classical,S,reverse,nan,1.000000,0.999955,0.812829
classical_07::displacement::disp_near,classical_07,classical,S,displacement,2.0,0.949289,0.571258,0.892213
classical_07::displacement::disp_far,classical_07,classical,S,displacement,7.5,0.963709,0.521452,0.892213
classical_08::control::ctrl,classical_08,classical,control,control,0.0,1.000000,1.000000,1.000000
classical_08::shuffle::shuf_beat,classical_08,classical,S,shuffle,nan,0.999147,0.889649,0.897380
classical_08::shuffle::shuf_bar,classical_08,classical,S,shuffle,nan,0.999478,0.885774,0.924282
classical_08::reverse::rev,classical_08,classical,S,reverse,nan,0.999992,0.999742,0.895504
classical_08::displacement::disp_near,classical_08,classical,S,displacement,2.0,0.970874,0.592405,0.899866
